x	Y_20181208_15694_1_12g	Y_20181208_15694_1_15g	Y_20181208_15694_1_22g	Y_20181208_15694_1_6g	Y_20181208_15694_1_7g	Y_20181208_15694_1_8g	Y_20181208_15694_10_18g	Y_20181208_15694_10_3g	Y_20181208_15694_10_8g	Y_20181208_15694_11_3g	Y_20181208_15694_12_11g	Y_20181208_15694_13_3g	Y_20181208_15694_13_5g	Y_20181208_15694_13_6g	Y_20181208_15694_14_4g	Y_20181208_15694_14_9g	Y_20181208_15694_15_2g	Y_20181208_15694_16_10g	Y_20181208_15694_16_6g	Y_20181208_15694_16_7g	Y_20181208_15694_17_3g	Y_20181208_15694_18_4g	Y_20181208_15694_19_13g	Y_20181208_15694_19_14g	Y_20181208_15694_19_4g	Y_20181208_15694_19_6g	Y_20181208_15694_19_8g	Y_20181208_15694_2_11g	Y_20181208_15694_2_4g	Y_20181208_15694_2_6g	Y_20181208_15694_2_8g	Y_20181208_15694_2_9g	Y_20181208_15694_20_3g	Y_20181208_15694_20_5g	Y_20181208_15694_22_10g	Y_20181208_15694_22_4g	Y_20181208_15694_23_12g	Y_20181208_15694_23_16g	Y_20181208_15694_23_20g	Y_20181208_15694_23_2g	Y_20181208_15694_23_4g	Y_20181208_15694_23_5g	Y_20181208_15694_23_7g	Y_20181208_15694_23_9g	Y_20181208_15694_24_15g	Y_20181208_15694_24_6g	Y_20181208_15694_24_9g	Y_20181208_15694_25_11g	Y_20181208_15694_25_1g	Y_20181208_15694_25_4g	Y_20181208_15694_25_7g	Y_20181208_15694_25_8g	Y_20181208_15694_26_4g	Y_20181208_15694_26_7g	Y_20181208_15694_27_5g	Y_20181208_15694_28_2g	Y_20181208_15694_28_5g	Y_20181208_15694_28_6g	Y_20181208_15694_28_7g	Y_20181208_15694_29_11g	Y_20181208_15694_29_12g	Y_20181208_15694_29_5g	Y_20181208_15694_3_7g	Y_20181208_15694_4_2g	Y_20181208_15694_4_9g	Y_20181208_15694_5_18g	Y_20181208_15694_5_20g	Y_20181208_15694_5_5g	Y_20181208_15694_5_7g	Y_20181208_15694_6_12g	Y_20181208_15694_6_16g	Y_20181208_15694_6_22g	Y_20181208_15694_6_2g	Y_20181208_15694_6_4g	Y_20181208_15694_6_5g	Y_20181208_15694_6_6g	Y_20181208_15694_7_12g	Y_20181208_15694_7_3g	Y_20181208_15694_7_7g	Y_20181208_15694_8_4g	Y_20181208_15694_9_12g	Y_20181208_15694_9_14g	Y_20181208_15694_9_1g	Y_20181208_15694_9_7g	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_2g	Y_20181208_15694b_10_5g	Y_20181208_15694b_3_2g	Y_20181208_15694b_6_2g	Y_20181208_15694b_6_4g	Y_20181208_15694b_6_8g
0	11756.4014	13218.8027	11598.0361	13040.0283	13201.3242	12456.7275	11726.0273	15208.9971	12076.6387	11649.3096	12019.2803	11219.0283	10428.9043	12554.2432	10792.2305	11159.9316	12459.6016	11464.9004	12773.4766	11376.334	12389.3184	12697.0781	10121.1328	9842.7344	10578.8838	11763.1455	12568.0996	15346.2168	11315.7432	13571.3027	13599.8232	12320.2832	10356.2734	11079.7246	11689.6943	11146.9297	10879.0859	13368.5654	11153.707	12315.0146	11690.2246	12113.1533	10582.4893	12353.4629	11822.7734	14118.2803	10915.9404	14691.0254	14187.3301	12298.8086	10778.3584	11408.123	13264.0244	12856.4365	11092.3125	12800.9766	11911.0625	10496.0566	11002.7998	11335.5488	10956.8096	11812.6758	11878.8398	11442.6152	12087.7969	10271.7227	13203.1064	11681.2637	11390.7295	12873.7578	11398.5801	12278.6172	11617.0879	12311.4199	11434.5967	11775.7344	13754.4531	11672.1299	13580.0312	12420.7861	11075.6914	10956.9756	10616.5908	10993.6396	12456.4307	10345.9805	11420.5137	12245.7617	10151.2754	13281.9775	9857.1377
0.1334	12046.8945	13208.126	12199.2686	14347.3018	12334.7881	13131.5986	13723.2393	16860.9688	12281.9209	11384.9648	13639.5283	10866.4287	11206.1855	14353.083	10402.7568	11275.1816	12419.543	11074.2451	12958.71	11194.5615	12587.5078	13976.7344	10378.4619	9913.6016	10449.3926	12190.667	12442.6611	17732.4746	11770.4023	13928.666	14589.2393	14810.1201	11338.665	11807.9004	12874.1318	11770.3574	11129.5098	16368.9688	12100.3652	13180.3262	11813.3418	12098.3369	10891.0244	12639.583	12910.1191	17150.8477	11298.3438	16886.623	17079.0762	13289.1172	10952.9902	12029.7686	14116.5391	14462.4463	10796.5889	12997.1328	13065.6484	11214.8545	10821.0029	12135.1377	12358.8555	11433.5986	13996.918	11913.3828	13150.2266	10290.1572	13315.9023	12385.6123	11457.3672	12496.5928	11911.1826	12265.6318	12416.0674	12248.5244	11546.0518	11810.5918	13998.0791	12598.8955	13218.6016	13164.8115	11935.2568	11135.6523	11274.9434	11220.3564	12794.9453	10433.7295	13223.9102	12911.3115	10827.9795	15001.0273	10464.8955
0.2668	14553.4639	13871.8115	12959.2461	16836.8906	14233.04	15422.4678	16971.0625	18003.8457	13362.3555	11217.4043	15692.1377	11085.6084	11894.8896	15009.8916	10057.2422	11282.5117	12876.1719	10653.6699	13884.2461	11098.3135	13410.1943	17183.3906	10836.5459	10095.4199	11479.0381	12028.9775	11853.4941	21310.916	12007.0625	16381.4844	16795.9199	17497.8242	12372.918	11988.9102	14774.6572	13391.1523	11618.332	17641.2617	14331.7773	13578.6143	12603.7754	12777.3213	12540.71	15443.7891	14052.1553	21091.5898	11513.332	17619.1523	18623.2266	14909.8809	11116.8906	12477.8701	14473.8848	16726.7578	11409.1592	14111.9854	14439.3115	11763.2822	10740.8887	12418.8701	14041.7871	12532.0596	16885.0469	12387.8301	15290.1309	11061.9424	14071.4463	13796.6309	12134.9902	13101.7422	12460.8389	12068.2998	12101.3564	12068.3311	12449.5674	14295.5674	15363.2988	12991.0088	14075.8545	13155.4385	12675.8809	11937.8838	12789.1904	11755.5879	13179.8574	11816.6348	14884.4863	14148.6348	12799.4287	15189.8916	10601.6279
0.4003	15190.9287	15690.5645	13790.1006	18823.8027	17209.7109	19152.8867	18046.377	15244.2402	14941.5176	11280.4004	14743.5244	12301.0508	12383.4531	15973.9502	10867.9785	10829.0674	13509.0518	11115.8691	14932.3848	11165.1318	13806.5439	19477.0156	12010.5068	10615.54	13053.374	12191.2412	12737.2402	20315.1484	13972.252	17333.5234	17981.8711	17083.2852	15077.8906	12620.749	16858.5293	15187.5625	11975.0947	16416.6289	16890.8672	14235.2402	13999.1064	14359.9111	13977.2139	16262.9492	17280.3965	22039.3867	13292.6611	15719.7959	18841.6738	16875.0332	11581.3809	12249.1855	15817.8174	15733.1943	11995.3047	14260.1328	14030.2881	14154.3887	11834.6279	14061.0371	15160.6553	14151.3271	20337.3418	12480.8281	18061.4102	13536.625	14366.083	15588.2998	14376.001	14767.2139	14008.3779	14716.96	12636.624	14795.5	13859.1064	16920.7422	16694.0625	15776.7354	14285.9473	14852.0801	14468.1934	11228.7939	16315.1982	13102.7217	14603.4873	12478.3838	14321.4141	16311.4697	14242.3252	15944.835	12613.8633
0.5337	14051.9961	17410.166	13161.0996	17971.123	18693.5195	19828.1133	16132.7676	14255.9131	17194.6348	12053.377	12598.6904	13833.3574	15642.2568	15559.7852	11549.2881	10794.7422	14134.2734	10381.3525	14883.1367	11616.6973	15171.21	17515.0391	14477.3418	12027.4932	16075.9912	14200.7314	15697.4385	17454.3242	13827.1162	16052.2656	16371.0479	17533.6699	16410.6113	13083.0488	16395.0938	15901.624	12948.3516	15438.3389	19540.9668	13426.5273	15908.5723	15733.7373	14658.8994	14546.9346	17437.7832	18466.041	16368.0107	14145.918	17050.8359	16821.0996	12868.334	12900.7197	17061.1309	15194.5098	12767.834	16571.957	13081.7529	15747.1895	13080.5938	15764.6729	13464.5791	15496.2949	20390.4316	12239.7148	19573.3848	14649.0059	16310.0254	15063.7803	17680.9688	16690.9453	16277.7012	15445.5098	13000.7178	15445.6611	16722.4727	15485.3418	18830.1953	16750.7031	14973.3291	17566.9609	17385.1484	12178.6904	18647.9531	14708.2158	16924.4277	13034.0039	13547.3398	18017.1855	15600.9717	18344.8164	13509.5342
0.6671	12393.4336	17705.0293	11406.3242	16700.9648	22067.3828	16199.7734	14019.8701	12697.8164	16636.1758	12279.5264	12602.3594	17485.0957	18551.6934	15283.6992	11956.0986	12571.9287	16869.3496	10452.0986	15236.8242	13596.3281	14612.8682	14762.2607	17177.3516	13431.2314	21240.0996	15776.8945	16773.2773	14844.707	13322.7012	15893.0381	14586.8984	18412.6523	15280.625	14856.8955	14330.1494	15236.4697	13016.6924	14755.4297	17412.1562	12596.0977	18468.1465	15207.6367	13839.29	12874.7197	14080.6045	16083.3232	17183.0469	14232.7051	14165.7656	16862.0645	14380.5234	14552.4902	17226.2773	14830.8135	13181.0195	18888.0781	12949.668	14851.248	14119.0283	17876.002	12133.0918	15768.7344	18575.0859	12536.3564	19978.9043	13050.6338	16080.3584	13290.3369	19436.7363	17483.9883	16486.6309	16296.4297	13801.1445	16275.6055	19507.127	13647.1143	20445.4844	16408.3828	14789.5449	17673.6484	21627.6562	12973.9863	18304.2539	16678.8477	15265.3799	12673.918	13281.873	17096.9648	13160.2764	19547.1172	12275.4766
0.8005	11170.8486	16862.2441	10870.5098	15785.5947	19847.5781	15038.5811	14301.2578	13260.6855	15906.4629	12554.2061	11707.4102	15918.9883	17199.7676	13103.5801	14660.9648	13407.2842	20586.3652	11197.3926	14211.0869	15712.8574	14923.918	13618.4668	17990.8477	14069.749	19959.6191	16074.8037	15857.0635	13903.2168	11448.7812	13953.875	14263.4873	17553.8379	14932.3799	16176.5762	13346.125	14087.627	12540.7256	13859.3027	15814.7725	12784.4404	17168.2324	14462.9092	12692.3525	12528.668	13179.748	15393.418	15851.3145	14227.3828	13775.1943	17322.5195	14959.0938	16024.8809	14243.6191	13934.6191	12523.2598	20126.5117	12337.0049	14114.1748	13556.2881	16556.918	10863.6514	14969.1025	16717.418	13992.9209	17317.1055	12657.916	14330.1133	11868.5068	16061.4512	15904.8809	16230.7158	14658.8906	15323.584	14593.2793	20159.6797	12874.2373	20224.1484	15659.7148	14625.0049	16312.3721	21065.9609	14282.5254	17904.0469	17059.1055	13466.8301	11855.5059	13817.7842	15970.2637	13266.9277	18087.668	11553.5146
0.934	11017.4111	15511.458	12310.1836	14669.8203	18603.2773	15116.2617	13744.1289	12165.0342	15263.4189	12079.1006	12297.4736	14985.4609	14877.4141	12847.8477	17170.4688	12730.9131	23633.957	11152.7627	14114.0156	15627.6709	15843.1416	13408.6738	17074.1738	14162.2275	16718.9258	14296.5869	14215.1914	13500.6406	11234.6963	13973.6826	13634.3828	15352.8174	15691.751	18076.291	12133.6045	14357.2402	12235.4521	14679.5	13716.0312	12423.5547	16235.4326	15224.4795	12489.6416	12431.2822	12913.8438	14363.2705	15191.0664	13475.8311	12757.335	15514.4492	14097.1318	13923.4902	13823.0928	13931.9219	11151.0244	18897.4688	12665.9219	12788.5771	13441.2607	15291.2842	10894.9961	13728.8291	17329.6797	15868.6523	16953.248	12819.4678	13014.1973	11396.0273	13779.8154	13620.4756	14935.9326	13896.5801	15714.2207	13864.2676	17153.2715	12249.9512	19433.2793	15041.4775	13820.2021	13981.1055	17957.9062	14557.1152	16756.6504	16465.0195	13682.6953	11330.1836	14521.042	14131.0527	12697.1807	14972.5352	11390.3555
1.0674	10891.9717	13921.6143	13073.335	14363.165	18673.1738	14709.8672	13021.9297	12134.8789	13389.0791	12170.5879	12231.8438	14670.5098	13667.6514	13098.7529	18768.9297	13150.416	20671.9258	11978.4746	14456.3574	14380.5352	14627.1357	13635.9482	14185.3779	14297.5107	14713.0459	13267.2471	13780.8848	12486.5488	11027.1992	13647.4639	14111.6006	15082.4912	14845.4111	15985.7178	11725.8477	14482.8018	12068.3145	13896.9043	13732.9795	12043.5918	15426.3428	15543.4297	11894.8018	12913.2754	13734.4072	14981.293	13984.4697	12688.7412	12788.0068	14419.4346	13215.5156	13081.5771	13559.1143	14131.4141	11096.2227	17587.6973	13377.6963	12740.4434	12926.4219	12935.6729	10971.4102	13589.582	16784.3633	16093.8486	16842.9121	13838.1992	13025.5996	12153.2393	12374.9785	13052.3125	14107.2666	13734.9062	16712.1328	13709.3496	16411.7441	12251.6719	19429.8848	14535.5156	13132.8047	12522.5303	17778.293	14289.9238	15380.5078	16958.3203	12374.8301	11294.8682	15214.8555	13920.3184	12529.1045	14216.043	11890.5039
1.2008	10787.5654	13364.666	14481.4785	13577.2178	16884.1621	13690.3086	12720.71	12283.248	13266.04	12590.1641	11905.5127	13143.1777	14196.2119	14110.6836	18926.6504	13641.4326	17793.7812	12305.666	13746.5439	13938.5518	13493.0479	14870.3857	13039.1133	12974.0986	13478.418	13118.5576	14764.708	12138.5303	10797.2861	13520.8213	14280.502	14422.1475	13963.752	14006.7471	12046.1328	14182.1504	11976.6152	13980.5107	14020.1846	12467.8418	14586.7227	16333.7773	12489.2158	13536.249	14547.6719	14294.001	14348.5967	12509.916	13278.0459	14946.791	12561.4658	12254.1191	13089.1992	12980.3066	11248.875	17826.0176	14239.2256	12823.3633	13034.4609	12246.4365	11473.502	13563.4795	16558.0586	16598.4082	16251.6367	12447.8525	13102.8984	11916.4141	12544.8096	12650.1553	13241.5244	13336.2197	16460.1074	13307.7686	16864.0195	13370.3281	16945.2461	12890.7549	12129.2354	13069.7051	15983.8418	13755.0488	14522.0576	15744.2217	11624.1455	11483.4141	15326.8975	13859.0654	13083.1289	14127.9941	11987.084
