x	Y_20181208_15100_1_7g	Y_20181208_15100_11_4g	Y_20181208_15100_14_1g	Y_20181208_15100_16_1g	Y_20181208_15100_17_5g	Y_20181208_15100_18_3g	Y_20181208_15100_19_5g	Y_20181208_15100_4_1g	Y_20181208_15100_5_9g	Y_20181208_15100_6_10g	Y_20181208_15100_6_11g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_4g	Y_20181208_15100_7_8g
0	27171.4707	31341.8281	35144.7773	27618.9277	28190.7852	29798.6543	25424.0449	26601.1973	28329.9219	32206.8574	30326.4863	29562.1562	31247.4082	30109.9766	31386.3027
0.1334	25602.6934	31402.2617	31087.2148	28150.6035	28565.8359	30259.6035	25584.6465	26496.7324	30745.541	32959.0977	31274.877	28950.123	30913.6387	28669.3594	29232.3047
0.2668	25943.7441	31618.168	29266.1602	27366.4336	27397.1113	29030.0625	26295.377	27018.6973	31065.7891	31631.1309	32018.207	29229.3789	31579.3984	29933.0488	29406.377
0.4003	26881.6973	31558.3105	29533.127	27491.2969	28053.2305	28740.0977	27287.9492	25841.4707	31379.1504	33315.6562	31910.5645	30124.6523	32078.0996	30850.2832	31554.0938
0.5337	27567.8945	31807.293	29336.6523	27635.4922	28771.9062	29333.9023	26252.7734	26902.8242	31441.293	33245.4688	31982.4551	31579.1367	30201.5664	30119.0273	31695.4824
0.6671	27558.2324	32661.5566	28843.7852	27525.2656	27677.6289	30015.1211	25227.9375	27828.791	31846.5352	33409.3984	32805.7109	30957.1328	29578.8145	32668.5254	31633.2363
0.8005	27323.9414	32354.9277	30572.9375	26460.3691	28725.1348	30369.9551	25455.4082	27741.3516	32859.7227	32161.8984	34243.7109	31553.1562	31319.0078	30883.0371	32088.1094
0.934	26970.4043	33290.2969	28006.3848	26239.5781	29485.5996	30638.0547	26259.8594	26278.1875	32282.7324	31763.3379	32282.502	31270.7324	30845.4863	31378.0957	32296.166
1.0674	27668.0039	34152.9766	31219.1328	27574.1621	28880.6914	30969.3984	25852.7324	28690.8262	33244.7227	31500.9395	32316.457	31858.4492	30706.0098	32435.1504	32093.5156
1.2008	26355.959	33774.125	30398.2383	27604.2754	27522.8789	30741.2852	26116.3926	28154.0762	31401.1562	31998.7676	32699.1387	32197.5371	30935.2383	32179.6211	31935.6719
