x	Y_20180212_14590b_1_3g	Y_20180212_14590b_11_9g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_5g	Y_20180212_14590b_15_8g	Y_20180212_14590b_16_3g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_17_2g	Y_20180212_14590b_17_8g	Y_20180212_14590b_18_7g	Y_20180212_14590b_18_8g	Y_20180212_14590b_19_2g	Y_20180212_14590b_20_2g	Y_20180212_14590b_22_5g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_5g	Y_20180212_14590b_25_2g	Y_20180212_14590b_25_3g	Y_20180212_14590b_26_4g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_4g	Y_20180212_14590b_3_7g	Y_20180212_14590b_30_1g	Y_20180212_14590b_31_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_37_1g	Y_20180212_14590b_37_3g	Y_20180212_14590b_38_2g	Y_20180212_14590b_38_3g	Y_20180212_14590b_38_6g	Y_20180212_14590b_39_3g	Y_20180212_14590b_4_8g	Y_20180212_14590b_43_1g	Y_20180212_14590b_45_2g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_47_6g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g	Y_20180212_14590b_5_3g	Y_20180212_14590b_5_7g	Y_20180212_14590b_7_1g	Y_20180212_14590b_7_4g
0	12134.811	14537.607	13868.959	14468.751	12727.554	15148.412	13222.148	12684.294	11666.043	13594.623	15376.728	11686.827	11089.747	14201.06	13035.079	12345.222	12767.961	14682.002	13021.197	15436.017	13422.305	12371.166	11662.749	12638.168	15786.188	13997.095	14309.4	12588.6	14377.125	11852.401	12452.79	13802.207	13508.141	11854.608	13329.058	13465.916	12386.153	13332.646	13558.45	15281.06	15519.081	14915.034	14476.742	13593.303	13711.712	12929.327
0.1334	12644.733	15724.428	15795.303	14802.718	16282.008	15948.242	13925.663	13931.991	11992.669	16411.051	19604.709	12776.326	11996.271	15063.51	14698.332	14631.802	14725.08	16697.395	12842.954	16128.198	15010.839	14445.882	12348.006	13343.52	16373.987	15073.51	16176.801	14409.455	16095.866	12553.396	14372.489	13507.865	14793.98	12848.053	14634.28	14627.775	13492.541	15469.312	14074.948	16206.387	17855.709	15335.272	15144.527	13877.002	15987.42	13179.116
0.2668	14782.197	18008.74	18343.383	17924.18	20147.221	18608.402	15904.81	13948.724	13692.729	19110.988	24722.432	14796.827	13635.985	16608.213	17113.398	16966.906	19373.336	20762.17	13463.005	19057.988	16420.459	18256.961	12842.171	15421.846	18008.84	15875.017	19829.789	18471.75	21262.203	15468.108	16495.154	14831.753	15371.52	13779.018	16344.505	16343.784	17641.695	19895.605	16526.428	22282.889	20866.955	18635.596	18766.287	14427.103	18643.326	15690.274
0.4003	17633.766	24724.787	21716.508	22462.258	21989.842	25222.361	20410.826	15911.173	16802.758	20789.812	25706.787	19275.064	15238.562	20030.898	22274.621	19677.381	25108.242	27046.926	14745.562	21840.734	19359.672	23074.713	14820.745	16946.701	20566.627	19810.314	24492.607	21530.719	29464.896	19046.613	21267.049	15751.158	16146.035	16404.752	18487.402	17577.393	22533.369	25652.275	17484.277	25020.074	26545.398	21380.881	23250.658	18597.439	21557.438	20804.824
0.5337	20590.908	34202.008	21500.111	22244.188	19424.693	36336.086	25754.217	18253.023	19445.66	22357.305	22194.742	22437.594	16545.129	23641.23	26383.883	21489.459	24930.254	27896.805	15894.583	21554.586	22353.807	24193.512	17686.359	16748.328	24807.127	24694.365	28522.633	24629.584	36834.633	21622.199	27336.291	18614.602	16838.922	19978.25	26326.176	21603.906	21450.785	29324.562	20168.957	22159.775	27888.887	24502.205	23842.357	23795.051	23384.346	24261.109
0.6671	20338.42	32013.479	21474.973	20404.527	16265.021	43301.848	25191.189	22175.154	18807.965	23443.953	18346.434	28323.254	16594.602	22641.465	26488.395	22055.684	21282.723	27890.354	17735.225	17992.721	21937.482	22873.113	17962.904	16381.317	26299.627	21361.318	27249.994	22590.818	33323.281	22328.201	29114.701	21599.449	18787.043	19725.68	34005.988	25268.986	18622.033	28731.592	23988.924	20113.113	26639.742	24462.301	22714.951	25916.838	20039.508	24456.59
0.8005	18588.068	26395.414	18875.793	18789.018	15166.992	37700.785	22925.184	24412.258	16914.783	22822.531	16783.045	27743.471	15106.354	21108.486	22321.57	19634.479	18281.873	23571.066	18681.691	18149.738	18737.727	21267.131	17131.65	15643.323	24284.189	20508.361	25028.506	20496.332	25182.363	20970.5	24036.713	24247.271	18104.336	18932.977	33062.355	24119.727	17199.057	24178.838	25202.672	19871.176	23379.201	22334.285	20037.723	24198.611	18091.984	21961.008
0.934	16125.384	22320.994	16540.289	16967.09	15243.035	29584.775	21447.838	19721.547	15369.04	20741.885	14341.027	23004.01	14232.599	19645.805	19886.342	17245.016	16619.949	22750.645	18163.66	18818.875	19051.656	19810.225	14710.749	15759.288	22162.406	20144.863	22582.256	16910.754	19862.707	20510.42	19081.117	22671.547	18123.824	17396.508	27738.754	21973.621	15890.653	18481.629	23387.168	19534.557	20819.973	19669.504	19602.775	21016.736	17853.992	20115.352
1.0674	15984.094	21233.195	16031.457	14771.857	15306.657	26601.463	20950.17	17241.221	14764.926	19362.379	13329.139	19884.027	13848.076	19910.627	18067.418	16503.074	16212.786	19428.559	17582.277	17769.574	18044.283	17556.307	14581.216	14593.247	20115.92	18773.553	19939.107	16737.033	17607.684	20803.25	18708.559	18680.855	18403.725	18534.549	25360.961	21145.674	16557.352	17791.059	20920.975	17969.523	21187.428	18198.824	18364.059	19687.629	17605.816	18204.721
1.2008	15020.847	18560.422	14314.147	16446.197	16283.983	23699.012	18708.545	15972.208	13771.78	17524.629	12962.294	18337.65	14201.74	19224.459	16899.621	15110.481	16250.256	19386.004	17110.818	17251.715	17416.316	16110.4	13212.08	13482.98	18476.504	18268.613	18284.633	15266.594	16509.449	20067.422	17199.555	18014.971	17569.338	17530.723	21677.869	19503.586	15870.09	16861.832	18104.748	17027.436	20815.322	15816.38	16041.082	19232.369	17787	17108.316
