x	Y_20180130_15100b_17_10g	Y_20180130_15100b_20_10g	Y_20180130_15100b_22_10g	Y_20180130_15100b_22_12g	Y_20180130_15100b_23_5g	Y_20180130_15100b_23_6g	Y_20180130_15100b_5_8g	Y_20180130_15100b_8_4g
0	39464.488	33637.441	36652.812	35787.59	40372.656	33553.707	36692.676	38255.098
0.1334	37586.824	32757.25	36779.367	36891.707	40178.242	33098.523	37736.965	38452.961
0.2668	37440.562	33650.918	38261.879	34772.996	40636.465	32312.17	37366.832	37401.473
0.4003	37061.68	33197.441	38359.074	35925.07	41174.441	32732.373	37452.984	37521.223
0.5337	37415.145	34002.57	38439.52	37108.875	39539.426	34625.609	37961.102	37265.676
0.6671	37673.836	33432.012	37566.102	36500.16	38754.973	33038.922	37344.355	37602.062
0.8005	37976.039	33474.621	38010.246	37260.441	39488.387	33452.371	36547.965	38165.93
0.934	36900.902	34812.176	37977.551	37024.895	39394.961	33570.188	35399.555	38780.074
1.0674	36507.414	34619.062	37452.371	37100.277	40315.711	32634.627	38200.625	37567.734
1.2008	37006.098	31683.846	36217.617	36960.348	39176.863	34464.566	36889.219	37020.477
1.3342	35975.324	31367.59	35769.371	36308.859	38858.512	32582.729	37286.152	36703.355
1.4676	35086.062	31697.609	36282.34	37538.188	39208.07	33910.676	37335.191	36930.828
1.6011	35198.711	31897.918	37550.43	37102.336	38517.496	33297.875	36884.637	38151.621
1.7345	37735.109	33414.676	36920.914	37806.805	38747.969	33784.898	38020.586	36149.754
1.8679	37575.262	32491.588	37497.609	38612.039	39677.453	32133.822	38546.18	37515.09
2.0013	36894.145	32111.346	38103.941	36607.434	40466.805	32205.6	36932.473	36579.168
2.1348	36325.672	32545.066	36249.875	35153.598	39749.844	33758.254	36371.168	36834.91
2.2682	37680.184	34331.473	39302.941	36049.426	40834.992	33514.949	36079.758	38037.199
2.4016	39174.535	34159.711	39771.023	34892.059	41676.832	34493.242	37297.254	37988.863
2.535	39564.426	35185.676	43674.367	35194.012	43245.066	34879.441	38463.637	38067.52
2.6684	40561.625	36924.328	49638.734	36453.582	41507.793	36194.664	39133.133	39563.98
2.8019	42671.191	37699.578	59713.082	37310.434	46362.547	37723.863	37189.512	41273.812
2.9353	44972.004	42001.062	59723.492	38784.086	53967.023	39994.293	37813.637	43801.039
3.0687	51526.395	53695.094	50848.859	37046.504	76901.172	46868.055	39835.434	48891.004
3.2021	63694.941	79688.844	49409.441	39273.547	103018.039	62512.77	44783.098	66092.414
3.3356	84066.062	122496.695	53747.41	42614.652	95015.625	83480.992	52745.262	105231.43
3.469	90688.859	137064.906	54880.699	57856.504	74254.641	84268.883	74793.719	119371.297
3.6024	67827.805	100632.68	47836.559	88587.844	59452.012	60544.434	103784.414	90051.805
3.7358	49532.078	62003.738	41391.703	126578.773	51583.473	44477.328	102543.828	67503.305
3.8692	42214.98	46144.086	NaN	119688.469	46047	NaN	75434.484	58149.34
4.0027	NaN	NaN	NaN	81401.258	NaN	NaN	60825.785	48733.832
4.1361	NaN	NaN	NaN	55792.762	NaN	NaN	62750.633	NaN
4.2695	NaN	NaN	NaN	46563.695	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.07	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.2035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5.3369	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
