x	Y_20180130_15100b_17_8g	Y_20180130_15100b_2_8g
0	36273.332	37883.242
0.1334	35080.641	39237.887
0.2668	35113.617	37196.164
0.4003	36260.961	37023.23
0.5337	35972.574	39588.672
0.6671	35627.582	37684.648
0.8005	36220.488	39049.914
0.934	37937.855	40081.941
1.0674	37268.953	38283.121
1.2008	35431.039	40280.75
1.3342	35980.891	40972.199
1.4676	35377.434	38977.145
1.6011	37628.602	38797.871
1.7345	36366.078	41781.645
1.8679	37604.047	41748.965
2.0013	39290.004	42176.23
2.1348	39367.32	39913.285
2.2682	37403.074	38961.207
2.4016	37970.957	39133.473
2.535	39070.258	38488.117
2.6684	36981.371	38884.926
2.8019	38970.625	37950.758
2.9353	38269.867	40088.988
3.0687	39280.223	42976.105
3.2021	38799.742	49139.969
3.3356	40701.957	62571.496
3.469	46480.934	77847.391
3.6024	49093.816	85262.047
3.7358	48200.848	91956.344
3.8692	43862.973	86679.039
4.0027	NaN	64660.043
