x	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_11_12g
0	10656.124	12024.4678	11281.5811
0.1334	10699.0371	11645.4922	11802.4541
0.2668	11813.5225	11520.6494	13598.4619
0.4003	15101.6582	12786.5576	16695.6543
0.5337	20249.4453	13465.4648	19309.6719
0.6671	23208.1133	14642.667	18302.8906
0.8005	20792.8184	13880.002	18316.5859
0.934	17488.1875	13412.0479	17353.582
1.0674	16188.7529	13960.125	18351.6953
1.2008	15320.3887	13296.1543	19366.4375
1.3342	15576.502	13172.8828	19994.5332
1.4676	15722.3516	13005.2949	17870.7383
1.6011	14309.2764	11980.3516	17663.418
1.7345	14069.3174	12482.4521	17107.0332
1.8679	14361.1953	12724.0615	16283.5303
2.0013	14619.293	13413.3887	16360.6289
2.1347	15080.0762	13852.4258	16314.5781
2.2682	15297.0703	13411.0811	16764.6055
2.4016	16248.4639	13647.0986	16365.6006
2.535	16652.2148	12937.8379	17181.6914
2.6684	16778.7773	12524.1279	16172.7451
2.8019	16696.0547	12607.1006	16201.3779
2.9353	16368.6426	12003.4072	15515.5146
3.0687	16687.8184	12719.9023	13900.5918
3.2021	15632.2012	12794.5039	13876.1016
3.3355	13314.5908	11956.375	13291.5117
3.469	12567.4004	11064.4766	12305.6875
3.6024	11736.9434	11359.7471	12801.9248
3.7358	11352.7324	10707.6514	12337.4014
3.8692	NaN	10353.6729	11617.7793
4.0027	NaN	10341.8789	11999.8623
4.1361	NaN	10520.1992	12772.2207
4.2695	NaN	NaN	11658.876
4.4029	NaN	NaN	NaN
4.5363	NaN	NaN	NaN
4.6698	NaN	NaN	NaN
4.8032	NaN	NaN	NaN
4.9366	NaN	NaN	NaN
5.07	NaN	NaN	NaN
5.2035	NaN	NaN	NaN
