x	Y_20181208_15693b_1_10g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_6g	Y_20181208_15693b_10_10g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_13g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_15g	Y_20181208_15693b_12_12g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_6g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_6g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_22g	Y_20181208_15693b_5_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_6_8g	Y_20181208_15693b_7_15g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_19g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_30g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_14g	Y_20181208_15693b_9_4g
0	32285.7227	32986.9492	34224.4922	31553.2109	33181.7969	32527.8555	30910.9297	29257.7402	30513.2422	30843.752	29080.3965	31584.2969	29874.7031	32770.9336	29669.8086	30169.6855	27014.1934	30823.3535	28177.041	28772.4805	36036.3086	27125.377	28867.9004	27175.0449	31094.6914	24651.0547	25963.1934	30675.8418	31413.9961	32610.3984	26304.3535	29141.4355	31997.6465	29937.0234	32024.8945	27595.2734	28375.7734	27146.2754	30143.7852	25956.1641	29576.6309	30319.0469	30166.0723	29991.5684	30071.4844
0.1334	33579.6797	33900.6055	33908.1289	33468.1211	31442.4004	31610.3008	31902.0625	31454.6406	30521.877	32365.7266	29654.6328	30383.543	29933.5469	32776.1797	30452.9531	30866.4121	28161.4531	29722.2949	30707.1738	27622.3652	33034.8359	28759.8594	28451.1543	26710.043	30563.9941	25755.1484	25016.8457	31317.1758	31321.1191	32603.7461	25608.8965	27302.1133	29973.3672	30209.8555	32000.0684	28690.7246	27602.9297	26381.7676	30167.2559	25605.6895	29332.3809	30542.8691	30291.0625	28436.623	30219.8809
0.2668	32338.5762	33151.6328	34838.4023	32194.2012	30745.5918	31329.9336	32133.2012	31276.8477	29627.8906	31204.5938	29827.1797	31802.9961	31230.0586	32740.2227	31174.7422	31186.5996	27774.4609	28793.3477	29922.4316	28948.8711	32007.1406	29202.0312	28965.5586	26355.0293	29095.1699	26569.5684	25478.2715	30624.5859	31501.6641	32438.2617	25806.8594	27655.6367	29805.2773	31368.377	29727.0059	29445.9355	27947.5488	25790.207	29561.8691	24453.291	30403.502	31515.2266	31117.8555	29580.8809	29264.8008
0.4003	32430.5176	32288.2754	34885.8672	32329.9551	29506.1094	31137.584	32367.1172	30512.7773	29766.7363	30578.5	29782.0332	31369.9023	30158.4668	31714.9453	30868.4082	31289.6035	27123.1367	28552.7168	28188.1973	29053.3457	31699.8281	28070.6543	29959.75	27085.7148	30230.7148	25346.0918	26807.6094	30458.7207	30551.8047	32625.8691	25055.7812	26653.1777	29750.0527	31442.1152	30445.5527	28518.3965	26372.4258	25839.7754	30446.918	25471.9785	30669.8203	31211.8223	30685.252	29408.5254	30072.2891
0.5337	31145.6836	33674.7188	32355.0176	31395.3613	31152.7715	31289.4102	31653.1895	30070.3145	29268.0273	30588.582	28179.9297	32219.75	28854.3535	31524.5586	30060.7676	31448.2461	30647.0898	28543.4297	28214.3457	29749.1484	33750.9766	28686.6074	29180.3262	25534.082	29478.7754	25438.9707	26065.6582	31760.3848	30470.543	30980.5605	24591.3223	27461.8008	31981.6465	32005.6484	31059.127	30688.1992	27251.8828	26041.2051	30334.748	24720.1406	31368.1328	30238.9023	30230.1055	31081.7734	30543.9648
0.6671	32839.9805	33151.543	31482.6953	32446.8594	31928.6484	30308.8652	31868.209	30908.2715	28884.5566	31023.998	27526.1465	31205.7324	30986.2344	32775.6445	29943.8906	30252.4258	27339.5273	28553.7559	29555.9316	28766.3242	32094.2637	29001.4707	30499.7559	26233.4199	29960.9082	25702.8594	25340.9395	30906.8496	30591.6836	31015.3086	27086.9785	29175.4414	30709.8203	32830.9062	30362.3594	29253.793	27666.1465	25153.1797	28950.3574	25484.5762	32250.2324	30252.9922	31209.9785	30637.5371	29444.3359
0.8005	33212.1602	33482.0469	32009.9473	32893.1797	31645.8164	33274.0039	31722.9902	31670.8672	28492.5254	30998.916	27946.5977	32004.6875	30882.9102	33038.4453	28020.1465	31520.4023	28036.7246	28649.502	29518.834	28087.4336	32760.4453	30202.2344	27678.125	26572.2188	31399.8789	26658.0508	24909.5938	32537.2793	29644.5234	33274.8594	27206.5391	30232.543	28598.1973	32194.2871	30643.9922	28544.7676	28067.6133	26008.4629	28206.1191	26338.6562	31184.3008	29933.6777	30922.9746	30372.5723	29577.4609
0.934	33121.6211	35379.3711	33172.9062	32052.0078	31652.6211	31597.4316	32692.7578	31673.6953	29736.7656	29545.877	27640.7773	33308.9727	28619.0742	33662.5547	30035.6074	33617.8867	31077.8184	28046.6035	28975.6602	29648.6328	32085.6582	28003.0293	29931.9883	26252.5234	32004.3418	27028.6816	25504.1543	33819.5156	30998.1348	31133.209	26804.707	30187.5195	29982.6562	32822.625	30808.0195	28998.0176	29789.1406	25837.127	29378.9219	26850.3711	32258.7715	29746.9277	31989.6133	29968.7812	30045.1504
1.0674	33626.3477	34387.5234	32745.3105	31201.2695	32381.9551	32164.8926	35375.7812	31531.957	29609.1641	30306.5625	28346.0293	35500.3633	29924.377	32891.5234	32490.2715	34291.4688	36213.7109	29415.8965	29275.9199	28387.5664	32787.6836	28503.3398	30495.6816	28115.5723	32230.8789	27732.6504	25950.4688	37987.7891	29784.0352	31983.4277	26816.2871	30454.4023	31617.2402	34608.3242	34043.2539	27409.5293	29561.4648	25637.6465	30890.0859	27864.3906	32073.4004	30846.9414	32698.5234	29610.4844	30098.0566
1.2008	33558.1328	33871.3945	32321	32457.7051	34568.6094	32684.8281	37007.5117	31457.9199	30686.6055	30385.8379	28339.2227	37644.4102	29298.1895	33196.7617	33200.8633	36260.5898	42635.5156	29027.9941	29850.8887	29922.8711	33372.3398	29491.8535	29769.1133	27625.4473	31376.5078	27522.2637	26542.9512	43963.2383	30244.8887	32780.8633	27146.707	31147.0996	31398.8574	37375.1758	33595.4688	28597.2598	30860.3496	25347.7988	31353.7148	28297.5059	32250.3125	31011.7324	32663.2539	29404.7773	30096.1387
