x	Y_20181208_15692_30_1g	Y_20181208_15692_31_2g	Y_20181208_15692_32_7g	Y_20181208_15692_32_9g	Y_20181208_15692_33_7g	Y_20181208_15692_34_3g	Y_20181208_15692_36_12g	Y_20181208_15692_36_3g	Y_20181208_15692_36_7g	Y_20181208_15692_37_16g	Y_20181208_15692_37_20g	Y_20181208_15692_40_4g	Y_20181208_15692_41_2g	Y_20181208_15692_41_6g	Y_20181208_15692_41_7g	Y_20181208_15692_42_2g	Y_20181208_15692_44_11g	Y_20181208_15692_44_19g	Y_20181208_15692_44_8g	Y_20181208_15692_45_12g	Y_20181208_15692_45_16g	Y_20181208_15692_46_5g	Y_20181208_15692_47_1g	Y_20181208_15692_6_1g	Y_20181208_15692_6_5g	Y_20181208_15692_6_6g	Y_20181208_15692_7_1g	Y_20181208_15692_8_10g	Y_20181208_15692_8_1g
0	29532.666	30068.0938	29609.3984	28523.8789	25707.7246	30320.1855	31276.9902	30429.4492	24824.4844	26516.7617	30885.1367	30523.3867	29747.7539	29727.5234	29359.2383	28535.0586	30005.2129	27579.0938	28386.6836	28972.2441	28500.7344	26669.0742	25852.0117	23630.7734	31214.2695	28874.0762	24891.8984	32036.6055	30469.3887
0.1334	28742.5762	28964.6367	29329.0195	27908.332	26315.2539	31192.916	31723.2559	29419.7793	24678.0938	25858.8906	31758.4102	30604.7617	29907.75	30430.2852	29706.459	27362.0098	28724.1445	26394.9336	29428.6426	28563.1055	29203.3945	27861.6582	26109.3711	24251.4082	31545.9512	29617.1582	23467.2969	32097.9336	30044.4785
0.2668	31221.0742	28089.9766	29066.2227	29347.291	25849.3379	30542.4668	31710.8789	30039.9766	25608.0801	25920.125	31518.748	31593.7871	30881.7383	30671.5254	29641.1348	27261.4434	29426.5488	26690.7754	28498.9551	30371.3145	28665.8379	27004.084	25713.6211	26073.1055	31591.8047	31020.2441	25297.6582	32188.748	30393.4805
0.4003	29914.4258	28863.0508	28887.4688	27784.9082	26818.9551	30347.2285	30397.5938	30947.4277	26630.1758	26283.6016	31747.4473	31625.5762	31616.6523	30707.3281	28849.1484	29389.1055	31099.3574	26157.2441	28217.0449	29965.748	27969.0039	25874.793	25474.3809	25637.1387	32360.043	30632.7773	26378.4531	33154.5234	31835.4199
0.5337	30335.6973	29345.2148	30574.4023	30289.6406	26152.0234	30638.748	31561.8496	29982.8965	27386.7832	27504.4668	32014.1445	31458.541	31823.3281	30026.6055	28680.2676	29081.957	31256.7383	26744.6953	28945.4004	30843.9004	28572.916	27753.0137	27323.625	26216.8145	31642.6484	31246.8145	25569.6895	32191.3125	30834.3535
0.6671	29547.3262	29787.5508	29388.125	30656.7617	24771.1914	31425.5059	30336.7832	29722.5781	27333.2734	27561.916	32292.4219	30080.6484	30866.0703	30305.1602	27517.0723	28912.9258	30779.043	26910.8398	29660.248	31845.3359	27880.9902	28033.6523	27062.5664	25314.6133	32079.3281	32178.3105	26303.3223	30559.5703	30915.8477
0.8005	30414.5918	28524.0098	31672.209	29993.832	25662.1855	30822.4688	30830.4238	30365.377	27130.2617	26932.1523	33426.9062	30581.3359	32634.0234	31065.1465	29729.6523	30023.4941	31524.4238	28129.6445	29326.1602	31457.6504	28840.6348	27938.707	26556.2637	27435.4805	34146.3633	33541.4102	26133.0195	31256.2871	31670.9238
0.934	30070.3398	27346.0234	30534.4473	28729.5957	25475.5117	30778.2441	34194.9453	31158.8965	26684.2383	27282.4941	34669.5391	30255.4355	33670.2422	31509.3965	29093.418	30056.7637	31941.0039	26438.25	29501.25	31586.877	29139.1602	28192.6445	26916.6816	25559.9609	34529.2969	31391.0098	27017.3691	33161.6055	32118.6816
1.0674	29403.4102	28098.0215	31340.3066	29359.334	26101.4531	31508.0508	33961.2031	30765.3867	26923.5625	27793.0957	35336.2734	31437.584	32311.1211	30460.2852	29147.502	30402.6016	32167.582	26738.9141	29591.6426	32073.1133	29328.1797	28494.7363	27892.7285	26606.0508	32423.7207	34952.4844	25745.6699	33037.7656	31792.4082
1.2008	28698.8184	28810.293	31997.1484	31300.748	26573.1152	31100.7246	34715.0625	29469.6523	27626.709	28064.9961	33382.9258	31501.625	32424.0195	30888.5	30131.2266	29954.9473	31965.1953	28761.9219	31743.4824	31410.2656	29495.8809	28056.9629	27674.3477	27929.8262	34138.3086	34031.125	26825.748	36686.3984	32135.8086
1.3342	28623.3652	28680.2246	33117.5352	29050.8027	26977.9395	31141.3477	37881.4727	31745.8594	28991.8574	28106.8613	33536.0273	31439.6426	33352.7852	32673.1875	29830.959	31889.8418	32124.1367	29016.752	34867.0156	33016.1953	30221.8105	29109.4707	30951.0117	29018.5137	32303.373	35587.3008	28261.6309	41575.1719	33297.7539
1.4676	27827.5703	30626.3594	36393.4922	30752.1953	28742.6836	33903.207	41702.8867	32451.3887	29250.4961	29126.0801	34226.2891	32036.1758	33755.2188	33614.9062	28807.1582	33613.8281	32444.0527	30394.1113	44921.8867	35376.625	32510.9551	27607.1172	36860.6797	31036.8945	33708.5312	35005.2617	29782.3652	52906.4023	36299.457
1.6011	29373.8633	30459.373	42610.9961	33326.457	32965.7578	38631.2227	49943.5	32296.4863	30064.7695	29846.0156	36300.8008	32440.5801	34938.7578	36776.9375	29965.4043	36149.4453	35215.8125	33223.5234	61146.2656	39718.0781	36624.8633	30056.707	56510.1445	35309.9961	35482.4766	37113.0703	31921.9785	53552.0586	42270.7578
1.7345	28872.5625	33975.1094	55801.9375	37353.3438	40220.2031	52894.4922	63206.6758	33499.4805	29146.6719	33459.9766	39099.1836	34815.4648	35478.9961	46732.0508	30863.4141	45280.0625	43932.9961	43082.4336	62611.457	54235.5547	45125.9375	30933.8262	75846.5469	48216.207	38797.1133	39245.207	38408.3867	44778.3008	59251.7305
1.8679	27663.8672	44208.1367	57651.7656	44414.6016	48350.0781	62432.4453	66333	39230.0508	31128.2891	40188.1758	51479.7969	37620.7109	37013.8477	56785.4336	32357.627	54833.7266	60819.9922	55480.2344	49634.8438	73989.2188	47935.5234	31411.8828	77226.6797	60385.4805	45446.418	40229.8125	53005.1758	38065.3281	96063.9375
2.0013	29119.8555	65824.0625	46139.2656	45948.9961	50802.6992	56316.9453	52852.875	47695.7031	36441.625	55764.4219	72739.375	42174.5	39204.668	57909.3242	37829.5039	50356.5781	74904.5312	64126.6211	36731.4258	75467.4766	40947.668	34516.5352	55655.5195	54718.2852	60247.8828	45707.2305	58704.7148	35384.4219	124642.0078
2.1347	30708.3301	75023.4922	37676.4531	40530.9258	49210.9219	42735.5234	42136.1523	49831.7109	48800.4844	62515.8945	81821.9922	44755.3047	54749.9844	46471.3516	50573.0234	40046.8438	64606.2734	51598.1719	31755.3965	53202.8398	35419.5312	45263.9062	38459.2695	40806.4805	72202.7812	57820.9648	49454.4531	32711.3379	115562.9219
2.2682	33686.9062	61477.0352	32303.8027	35446.25	52517.1758	38344.3906	36500.0859	41963.9609	68648.6484	51086.6367	67697.2656	40258.0469	65664.3125	36261.418	66515.0625	35295.7266	48119.2734	39463.7578	30225.6934	42139.1641	34366.2695	57945.8516	33035.832	31278.5918	64331.375	55936.8086	36441.8281	NaN	80250.0781
2.4016	36549.0078	43882.7969	30562.7148	34548	NaN	37302.4883	36796.0312	35704.7422	67967.9766	38668.3281	48946.8398	38454.9531	60144.3047	33799.6562	60905.7656	31501.8594	39866.3711	32500.9453	29828.0723	37197.7148	33068.1758	58297.7578	30587.3652	28995.7031	44344.6016	45106.0156	29572.5312	NaN	52601.043
2.535	34944.25	34760.668	30108.002	NaN	NaN	NaN	NaN	31695.0645	52520.9531	33059.75	40445.9883	35583.9375	47454.0078	34686.9766	49069.3555	30157.9707	38707.1211	30020.9219	28316.7891	33808.2656	31947.4004	44973.4531	NaN	NaN	39307.4766	40919.7617	28382.8203	NaN	40927.9688
2.6684	29314.1914	31100.4902	NaN	NaN	NaN	NaN	NaN	NaN	56274.4219	29968.4688	36034.2305	32411.1758	40095.5117	32785.3711	36843.2734	31520.3438	NaN	NaN	NaN	NaN	NaN	35707.4609	NaN	NaN	34042.9102	41534.6992	28247.4746	NaN	35988.0898
2.8019	27325.0762	30422.2168	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35071.0742	31732.9492	NaN	29881.1465	32637.6406	31815.6777	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32261.0195	NaN	NaN	NaN	NaN
2.9353	27234.625	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32702.4922	NaN	30390.7578	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
