x	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_11g	Y_20181208_15693b_12_1g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_19g	Y_20181208_15693b_2_2g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_7g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	25478.9824	26417.9648	32210.498	28804.2754	28845.3164	34894.2422	28045.1641	29814.2891	30999.8789	34752.5508	34238.7383	29524.1758	30778.3652	29933.5195	29814.5195	28012.9609	27277.5859	26718.0957	28138.0703	31872.8965	30822.4648	30265.0918	29027.9414	29835.7383
0.1334	25313.4902	26003.8125	33996.7852	27292.9805	28600.4551	34694.8281	28748.1367	29539.3984	29143.4902	34659.7188	34755	29428.6582	28996.6875	28893.3613	29566.0781	29926.1406	28132.2148	26450.6855	26357.0645	30832.1367	31346.2051	29973.7637	28131.9844	29993.0391
0.2668	25086.3477	27377.2188	33754.7188	28798.9375	27646.6758	33296.293	29032.8887	29485.8047	30677.8125	35641.6523	34264.7578	30502.4258	29892.2129	29668.6953	30806.3926	28328.8047	28374.3945	27157.0527	26136.1016	31383.2578	31228.6406	29811.4922	29095.8398	29314.7949
0.4003	25006.9512	27501.4375	33697.7344	28898.2832	29275.668	35000.5234	27621.9355	29274.6133	29556.166	34848.5547	35759.1797	30404.7109	29748.4551	31023.4453	30382.2969	30068.1016	28445.5508	26589.6953	26399.3262	31118.3926	32286.2188	30357.4238	30066.5098	28794.873
0.5337	25530.6992	27326.9277	33574.9258	30603.5996	30182.8887	34967.5938	28248.0801	28807.207	29739.6387	35934.3281	35091.3828	29920.8105	30164.1855	30503.6719	30884.3184	30843.8906	29035.3828	26301.5859	25585.6074	30419.6445	32375.2383	31137.8867	29444.2344	29454.7227
0.6671	26178.5625	27159.2168	33001.9219	28910.625	30774.2793	35655.3867	28149.75	29178.4531	30528.0234	36177.4609	36632.1328	31390.8887	30889.875	31773.4023	31252.2812	31593.0879	29783.3887	27393.084	24390.3418	32476.375	32414.7305	32280.0605	29534.6426	30160.3301
0.8005	26986.5293	26918.6719	34695.5117	29006.2363	29408.0762	34617.0664	28391.082	28322.7812	31606.9863	35518.4961	36357.1523	32724.627	32261.7852	31846.8516	32022.5879	31693.791	29627.5332	27532.8926	24700	31699.9922	32462.8262	32613.543	29374.6211	31508.6348
0.934	26653.873	26915.4141	35356.7227	30130.9609	28700.3926	34066.875	28222.6719	28327.5977	31382.5078	35186.2617	34419.3594	32342.9727	31960.4609	32223.2109	33013.1641	32779.0508	29192.5293	28677.6992	25267.125	32937.0742	32286.082	32943.4844	29648.0723	31045.625
1.0674	26678.8535	27894.6328	34354.6992	28343.5996	29067.3574	35150.6289	28019.2305	29524.209	30960.3887	35678.3359	34643.0547	32436.7637	31460.3418	31958.6309	32230.4531	33588.3789	29024.0391	29473.8633	25749.4707	33915.7461	34073.4648	33584.9492	29340.8281	30714.2207
1.2008	26795.4199	28135.8633	34560.125	30309.3223	29357.5293	37437.7266	29369.1289	29799.8984	30802.9082	34416.8203	35383.1133	32605.1094	30910.8906	31412.0957	30920.4375	34782.4922	29939.918	29340.375	25255.1406	33582.457	35534.1602	36175.0664	31015.8652	31484.1445
1.3342	26883.4219	28472.666	33792.9258	30234.9941	29982.8125	37467.3672	30558.1055	30547.4121	30020.6094	34059.3203	36389.8281	31804.25	31525.7656	31863.9844	30513.4805	34327.2266	31913.1094	30046.8008	26439.7578	34408.8398	36498.8867	40797.0781	31906.1094	31538.1758
