x	Y_20181208_15794b_1_2g	Y_20181208_15794b_10_5g	Y_20181208_15794b_3_6g	Y_20181208_15794b_6_10g	Y_20181208_15794b_6_11g	Y_20181208_15794b_6_12g	Y_20181208_15794b_6_5g
0	30197.5859	29467.0625	26346.75	26685.498	25768.3711	28276.041	31657.1523
0.1334	29268.9805	28686.3008	26190.4551	27446.75	27024.1758	28812.0879	30527.5762
0.2668	31048.4785	28562.7324	26780.3457	27167.7285	28131.9707	28898.8262	30371.8027
0.4003	32302.6699	29148.8965	25739.8594	28492.7754	28746.4453	28104.8789	31962.4766
0.5337	34077.6992	29028.3691	26915.7246	26855.9805	28651.9238	28925.5215	33331.2578
0.6671	38878.9531	30601.7148	26025.3906	28394.9199	29154.0059	29658.0703	33400.9961
0.8005	56859.3906	30394.5449	27247.0664	27639.3027	30849.8242	30884.877	34297.7031
0.934	86611.3828	32036.25	27581.8535	29421.334	29867.0664	32542.9219	34036.7891
1.0674	98007.0625	36685.9805	29354.9863	28688.3535	28351.5566	38243.8906	34709.418
1.2008	71190.0781	46522.8008	32198.7949	31695.168	29521.5762	51533.6094	42024.9688
1.3342	49236.9375	53675.1484	39488.7148	37815.8867	30853.0293	68581.625	52340.3594
1.4676	38824.6094	50565.6211	47944.9688	47658.5	29459.957	61439.457	60343.2383
1.6011	37288.043	40291.7031	49148.9766	48941.3555	35597.0898	42903.3008	57872.9219
1.7345	NaN	34254.8789	39195.2266	40014.1055	43752.4961	33626.3008	45080.9336
1.8679	NaN	NaN	31539.4531	33265.6367	43958.1523	30627.6465	40116.9609
2.0013	NaN	NaN	28639.6758	30989.3887	36864.9844	NaN	NaN
2.1347	NaN	NaN	27679.9746	30687.6113	31510.0508	NaN	NaN
2.2682	NaN	NaN	NaN	NaN	28697.3457	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
