x	Y_20181208_15693_1_10g	Y_20181208_15693_1_14g	Y_20181208_15693_1_4g	Y_20181208_15693_1_6g	Y_20181208_15693_10_14g	Y_20181208_15693_11_11g	Y_20181208_15693_12_6g	Y_20181208_15693_13_3g	Y_20181208_15693_13_6g	Y_20181208_15693_14_13g	Y_20181208_15693_14_1g	Y_20181208_15693_15_5g	Y_20181208_15693_2_10g	Y_20181208_15693_2_7g	Y_20181208_15693_20_5g	Y_20181208_15693_3_9g	Y_20181208_15693_6_2g	Y_20181208_15693_7_2g	Y_20181208_15693_8_3g	Y_20181208_15693_9_11g	Y_20181208_15693_9_13g	Y_20181208_15693_9_1g	Y_20181208_15693_9_6g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_16g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_18g	Y_20181208_15693b_13_6g	Y_20181208_15693b_3_20g	Y_20181208_15693b_3_2g	Y_20181208_15693b_4_1g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_3g	Y_20181208_15693b_7_13g	Y_20181208_15693b_8_15g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	11850.7363	10836.0176	10886.4375	9833.4414	13068.7646	16170.4961	11874.1895	14198.5049	11064.502	12880.5371	13523.7559	15215.4395	13015.7656	11072.2227	9580.4043	10079.8525	10633.8965	10484.1631	11314.1338	10400.3047	9025.6963	12538.082	12342.2393	10651.8438	10274.8096	9907.4863	13068.4434	10978.1582	9634.7871	11451.3643	9656.6494	10668.6348	12294.9668	12439.8438	14195.6562	10725.1729	10688.7891	9270.4893	11368.4287	11808.0205	10609.167	11511.7412	11460.5225
0.1334	12950.0137	11365.4609	10930.0078	10302.2803	14522.5049	16580.5781	13165.2354	18680.8125	11810.6367	15057.6543	14235.8955	17841.6055	13149.5146	10691.7578	10431.0146	10285.2227	11169.6621	11865.4756	12259.7285	11845.5918	9408.7568	15683.1992	13391.4912	10621.3135	11282.502	10588.8555	13577.835	11818.3613	9972.4551	11387.4316	10540.3018	11855.083	12441.8564	14599.208	17481.2168	11038.6758	12618.5703	9306.6035	12347.7578	11366.8643	10706.4893	12761.9707	13445.1504
0.2668	14227.2432	14272.5537	11580.8535	11034.4717	17196.2012	16855.2559	15837.2461	23514.6602	12324.791	16626.5254	17036.1465	18025.0391	14406.0625	12180.8291	11591.5234	10507.6621	11739.6846	13898.7607	13519.3594	14252.9248	10061.5381	19034.0566	14191.3447	11060.7344	14172.3398	11122.3418	15898.6992	12463.7471	10503.165	11928.0557	11299.4287	13545.9453	12869.0967	18522.9062	17835.5352	12155.0176	13587.3818	9761.0469	14675.2129	12298.3447	11366.7305	15947.3486	17165.4844
0.4003	15821.9014	18075.3789	11319.0273	13389.4502	20975.1484	14362.8213	19086.2559	21577.793	11933.4062	16923.5742	18765.0312	15343.8691	15987.1201	14337.4453	13192.7432	10735.7939	13266.1348	16914.2754	16756.127	16274.0723	11222.0996	19819.6426	18016.6289	12696.5303	17781.1875	11423.9004	18876.6426	13512.8369	12680.8691	12764.8926	13112.5674	16016.0947	14177.4141	20562.0332	16819.5859	13387.2832	13274.9287	9908.3564	18675.9375	14490.1104	11588.4111	18328.5098	18451.1543
0.5337	14429.4258	22061.1797	13267.3926	16600.0059	22846.2422	14021.5176	18543.3555	16679.377	13889.4561	15585.7031	18228.1816	14141.8926	15367.2451	16748.6035	15924.7803	11099.415	13094.9639	18856.7969	21513.3926	16268.5264	12150.3701	17922.5605	19313.4551	15461.833	18754.373	12059.8438	23015.2969	13001.001	15132.8711	14565.5537	14552.7842	18206.3223	16875.2734	19806.293	16082.1709	16095.2363	13524.4219	10928.4922	19492.5273	17111.2852	12394.877	16750.5684	17022.5273
0.6671	12925.5098	22541	13530.8613	18906.6914	21097.6875	14790.3506	20001.9668	15928.3057	14486.8779	14285.2383	17646.6836	13645.3916	14920.7559	19059.0742	16347.5723	12477.5352	13381.1914	19311.7832	24800.1758	15860.8555	13151.3604	16303.6807	19194.1855	17841.5391	16982.5605	12925.6777	20738.7832	11922.0361	15890.5049	15376.5625	13925.3809	20254.5098	16639.582	18790.8926	15346.7422	17687.8184	13739.6006	12928.8135	18885.8945	18234.1035	13388.1152	14300.8057	13376.5605
0.8005	12709.9561	19040.8008	12864.0703	16184.6504	16871.4102	14898.7822	18727.459	14573.8232	13367.8438	13770.8564	17055.8242	13936.0244	15297.7734	18038.916	14544.7598	13359.1641	13401.5449	16576.8242	25333.3633	15089.9404	14177.4971	15688.8848	17392.9277	15780.3867	15578.7432	13570.0713	18853.8047	11641.3564	15725.9023	15757.1709	12540.6318	18904.6641	14603	18729.7012	17048.2891	17939.0332	13262.9561	13456.1816	18097.8809	15874.4346	14960.7373	13743.7969	12969.9219
0.934	12376.3662	16215.1348	12187.458	14345.9766	14916.6592	13644.8838	17036.7754	13900.6787	11701.7217	13344.9297	16779.0527	13950.7451	14599.2324	16060.5938	12926.8672	13095.3271	12907.5049	15443.4863	21049.666	14890.7998	14251.7012	15079.7168	16350.4941	14189.4932	13958.0186	12682.1953	17829.7441	10873.4014	13995.2168	15174.6768	12290.1943	18080.166	13293.0576	18013.8066	16329.3945	15810.2383	12789.5068	14856.4219	16751.1738	13868.748	15694.6289	13766.6787	13310.7715
1.0674	12556.668	15116.0967	11236.8594	13754.5342	13765.9141	13531.1201	16692.5859	14024.1279	11973.0703	13288.3135	16096.6465	13646.7617	13035.9785	14023.5371	12957.2842	12180.4258	11623.5625	13754.1416	19330.8398	14015.7842	14973.2803	13548.7158	16866.1953	13402.6289	13956.4189	11593.5762	16051.3848	10828.0684	13593.3467	13617.9482	11215.3047	17830.2422	12904.1211	16183.752	15595.4775	15076.4033	13279.9795	16522.9414	14951.3008	12923.8154	14654.6309	14133.7324	13043.5527
1.2008	12187.502	14143.2012	11107.8535	13812.6338	12914.9648	13160.0537	15597.9248	13103.0381	12108.5986	12797.1094	15852.8789	13000.6064	12281.1064	15043.0322	13085.8545	12582.0879	11148.7588	12920.5928	18589.3223	12812.1006	14501.7969	12866.6777	16532.3066	13691.8955	14360.0264	12152.0928	15312.0986	11298.1758	14347.1572	13309.4932	12882.6494	16861.8789	13003.0303	15584.1162	15200.6602	14036.5928	13440.3838	17534.5625	14554.8008	11999.501	13463.2363	14002.8174	12999.4863
