x	Y_20180130_15100b_1_11g	Y_20180130_15100b_1_4g	Y_20180130_15100b_11_4g	Y_20180130_15100b_11_8g	Y_20180130_15100b_12_11g	Y_20180130_15100b_13_15g	Y_20180130_15100b_13_8g	Y_20180130_15100b_14_3g	Y_20180130_15100b_15_11g	Y_20180130_15100b_15_1g	Y_20180130_15100b_17_9g	Y_20180130_15100b_18_13g	Y_20180130_15100b_18_16g	Y_20180130_15100b_18_20g	Y_20180130_15100b_19_14g	Y_20180130_15100b_19_5g	Y_20180130_15100b_2_10g	Y_20180130_15100b_21_9g	Y_20180130_15100b_22_18g	Y_20180130_15100b_23_4g	Y_20180130_15100b_3_2g	Y_20180130_15100b_3_9g	Y_20180130_15100b_5_14g	Y_20180130_15100b_6_1g	Y_20180130_15100b_7_10g	Y_20180130_15100b_7_8g	Y_20180130_15100b_9_17g
0	11062.65	12163.893	12481.268	12708.05	10887.322	13149.126	11496.966	11481.457	12474.837	11600.773	14814.998	11785.491	12442.948	12048.433	12014.749	11226.695	13351.877	13032.358	11759.035	11333.791	13987.132	12067.034	10750.069	12067.906	14754.137	11234.366	12743.05
0.1334	10615.982	12519.679	13086.283	13553.779	11536.71	13201.574	12514.388	11360.053	13573.399	12056.621	17784.883	12095.335	13301.772	12368.051	12074.915	12890.83	14808.276	14973.468	12188.025	12415.348	15800.921	12854.935	11228.801	13613.447	18013.801	12935.944	15013.308
0.2668	11717.404	13768.895	14158.504	13706.507	12977.95	14184.671	15631.069	13123.417	14538.944	13379.9	15456.983	12688.561	15874.7	13646.286	14944.57	15120.77	16208.322	17191.035	13607.09	15625.166	19808.379	16731.441	12401.387	15000.919	21807.154	15130.281	18315.557
0.4003	13122.631	15719.5	16100.839	15155.959	16095.093	17069.072	18674.855	15153.014	18309.566	15982.06	15957.32	13519.456	18004.723	15713.221	18569.254	18629.855	18779.133	19986.777	15616.935	17423.117	20282.977	21255.48	15806.823	17564.682	21421.48	18699.383	17169.451
0.5337	15996.043	18219.711	18590.09	19239.264	16360.977	19998.02	19575.23	14282.62	21586.191	17520.67	17379.152	14692.279	19062.072	19890.145	20735.016	22228.641	18155.113	19588.654	16280.529	17395.088	19859.143	25501.244	18801.08	18858.84	18950.934	19406.545	16240.819
0.6671	18338.854	17460.441	20839.969	21890.971	15247.824	19578.973	17587.953	14357.545	20898.215	16547	17831.898	15130.084	18195.762	23695.043	20542.219	20980.441	17464.895	16169.054	15124.195	15687.862	18757.674	21737.807	18797.346	16757.791	15527.878	17989.855	16036.562
0.8005	17604.301	15271.656	19436.109	21122.555	14127.483	17713.857	16395.84	12739.467	18591.441	16442.605	16870.082	15557.942	16063.197	23144.107	18694.924	18877.506	15577.018	15416.392	14651.524	14533.524	19001.381	19147.045	17235.924	15645.269	15945.781	16249.812	15129.941
0.934	16686.783	13532.722	17083.053	19208.381	13229.721	15781.18	15851.835	12978.746	16151.293	15210.154	16856.346	15077.906	16217.799	17852.008	17537.697	18898.643	15706.726	14629.829	13719.527	14086.463	19161.635	16675.582	15611.418	15796.792	15744.371	14188.856	15327.775
1.0674	15564.129	12921.189	15040.004	18166.051	12454.822	15335.924	15535.323	13747.688	15652.836	14532.901	17729.609	14117.638	15378.065	15861.22	16914.053	17933.811	14230.099	14334.631	12188.271	13817.806	18272.312	15432.467	15211.264	15097.699	14364.415	13472.593	14070.2
1.2008	14923.097	12510.811	14181.431	15955.562	13038.047	14928.828	15064.226	12994.529	15403.117	14453.199	15804.354	14296.378	15602.596	14509.548	16251.649	18292.172	14325.013	13980.071	12488.304	13270.151	18589.381	16266.955	14958.738	14207.792	15027.01	14988.548	14140.942
1.3342	15263.723	13404.43	13770.279	16204.471	12998.074	14312.533	15686.536	13115.758	14670.744	13330.558	13756.433	14405.653	15787.787	13616.239	16303.123	16648.818	16504.797	13473.627	12703.029	13735.067	20299.953	15602.453	14444.887	14535.555	16584.475	13686.785	13602.939
1.4676	15217.201	13440.939	14152.481	15206.161	13756.97	13080.227	15281.747	13121.99	13781.521	13137.341	13996.02	14752.659	14932.896	14076.316	16043.025	15934.499	16009.9	15224.301	12103.152	13403.957	19738.982	17358.133	14295.37	14182.546	17223.854	13504.569	13777.615
1.6011	15332.136	12988.492	14560.255	14824.695	14562.312	13541.702	14377.136	13051.485	13996.286	13119.891	14165.431	14617.342	15982.667	14595.769	15455.062	15686.504	15652.688	14345.342	11870.42	13620.736	18698.553	17323.475	14107.514	13511.993	16816.242	13689.168	13839.622
1.7345	14623.426	12692.286	15182.54	14600.647	13478.867	13671.789	14491.335	12612.267	14961.475	12573.251	15537.759	14524.74	15620.107	14593.956	14866.229	14594.673	16240.393	14500.016	12367.998	13313.313	19497.799	16495.176	14011.923	14184.955	17195.707	13219.219	13586.011
1.8679	13850.812	13924.834	14866.685	13906.734	12346.294	13130.64	14033.649	12579.054	14092.979	12226.56	16473.463	15797.349	14107.873	15272.471	14034.951	14588.852	14510.687	15152.913	12897.979	13659.103	20551.182	16246.956	13426.792	14663.688	16691.83	13932.02	13347.756
2.0013	13484.834	13578.131	16133.67	15245.895	11925.405	13433.724	13798.591	11723.161	13038.402	12682.962	15719.395	15761.661	13595.123	15015.775	14571.668	14427.904	15183.641	15297.055	13338.981	13134.189	19458.895	16154.449	13453.748	15408.465	16524.324	13620.197	13378.708
2.1348	12164.622	13786.834	15668.68	16331.515	11872.941	12323.881	14283.12	12677.451	14017.54	13101.358	14016.021	15552.747	13931.732	14917.19	13757.764	14706.773	15346.842	16036.019	13059.832	13272.786	18952.646	16111.911	13912.586	15940.003	16019.158	12900.694	13684.944
2.2682	12108.681	12867.871	16249.341	16646.336	13122.871	11628.426	13792.274	13153.815	13441.407	13288.984	12831.522	15663.098	14071.587	14604.362	14654.245	14161.077	15238.189	15422.936	13108.039	12857.062	17780.848	17164.512	13059.596	15585.913	15451.544	12311.351	13487.116
2.4016	12398.554	11930.783	17174.439	16257.148	13345.552	11964.812	13750.909	13470.06	13345.358	11998.688	12497.617	15284.32	13342.661	14089.569	15850.922	13869.126	15073.853	15162.07	13474.559	12676.028	16333.941	18242.768	12753.304	15340.421	15901.385	12443.674	13395.6
2.535	12678.496	11672.324	16815.713	15707.646	13301.747	12834.921	14249.998	15890.066	13569.699	12755.029	12364.017	15972.659	14074.003	13531.083	17872.027	14291.203	15262.901	14616.659	14122.086	12506.758	16276.369	17507.301	12674.282	15002.394	15560.685	12191.702	13924.208
2.6684	12627.618	11641.983	16785.033	15846.622	13217.356	13894.877	15246.518	16687	13755.567	13334.181	13367.57	14761.702	16906.145	13158.487	16806.855	14450.378	14449.553	14149.547	14800.278	13438.533	17157.924	16519.293	11976.984	14510.226	14498.361	13155.227	13006.067
2.8019	12148.781	11294.755	16983.885	16110.82	13178.737	14652.906	14985.534	19176.691	13383.886	13935.833	12904.858	14772.829	17240.207	13668.231	15028.633	14070.134	13572.706	14743.291	14342.144	14402.106	16741.879	15555.296	12107.447	14551.505	14159.064	13128.947	12462.087
2.9353	12226.559	11428.825	15690.573	14369.747	12622.637	13770.934	14362.475	17212.498	13032.535	14282.52	12660.95	14254.551	15119.847	13049.917	14030.347	13625.937	13081.22	15300.475	13220.535	15940.086	16780.4	15290.09	12675.126	14782.929	13890.246	12054.618	12713.59
3.0687	13517.333	11308.726	15486.499	13512.388	12542.63	13152.6	12919.472	15170.21	13219.58	14316.707	12309.372	13459.937	13977.105	12641.855	13215.504	13680.676	13042.477	13961.016	13699.475	15946.204	16419.832	16128.902	12486.146	14218.019	12995.965	12176.965	12871.092
3.2021	13367.484	11862.25	15052.019	13313.032	11894.983	12375.826	11950.038	14124.226	13681.195	13112.263	NaN	12928.455	13888.097	13554.062	13384.229	14004.958	NaN	12582.531	13259.448	14311.684	15608.303	17473.398	12815.585	13532.677	13622.809	12053.105	NaN
3.3356	13403.337	11197.956	14770.007	12483.864	12223.372	11295.036	12220.586	13598.896	14134.745	12466.587	NaN	12175.837	14113.485	14737.557	13583.055	NaN	NaN	12791.439	12996.306	14081.34	15445.818	17331.705	12484.342	13853.437	13369.569	NaN	NaN
3.469	12095.711	NaN	15002.248	12096.379	13194.563	11147.929	NaN	12522.03	14866.28	11991.693	NaN	12458.333	14219.23	14679.564	13480.226	NaN	NaN	12995.582	12688.745	13289.58	14331.145	NaN	12563.334	13464.54	NaN	NaN	NaN
3.6024	11260.81	NaN	14653.58	NaN	12798.503	NaN	NaN	13074.85	NaN	11382.295	NaN	12982.601	NaN	13096.438	13076.263	NaN	NaN	12967.88	NaN	NaN	14501.39	NaN	12548.47	NaN	NaN	NaN	NaN
3.7358	11656.384	NaN	13981.408	NaN	NaN	NaN	NaN	NaN	NaN	11699.524	NaN	NaN	NaN	12846.015	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
