x	Y_20180130_15100b_10_15g	Y_20180130_15100b_12_15g	Y_20180130_15100b_17_12g	Y_20180130_15100b_18_8g	Y_20180130_15100b_2_7g	Y_20180130_15100b_5_2g
0	10543.613	10839.399	10423.028	11211.15	13056.931	12301.222
0.1334	10998.585	11488.111	11725.771	11413.561	13279.23	13898.949
0.2668	12431.316	13002.202	12160.466	12979.671	15224.454	14886.707
0.4003	13684.18	14886.108	13214.681	13973.48	17797.715	16403.377
0.5337	16374.421	14879.459	15300.21	15453.794	20566.637	16112.932
0.6671	15385.707	15018.752	15030.386	15279.476	21660.258	14112.37
0.8005	15015.274	14032.869	14253.334	15358.825	19846.701	14024.745
0.934	13639.062	13808.695	14300.885	15430.977	18405.496	14140.579
1.0674	13912.173	14221.082	13933.759	15602.339	16993.287	13247.886
1.2008	13946.208	14164.463	13704.184	14171.222	16569.754	13591.685
1.3342	13306.937	14173.992	14026.364	14049.36	16751.879	13520.768
1.4676	12997.911	13334.019	13775.675	13799.696	17142.652	13791.285
1.6011	12770.326	13352.922	13241.295	14405.878	16302.486	14271.892
1.7345	12496.293	12883.9	13581.855	15734.664	16849.725	13038.912
1.8679	12368.655	12667.528	13828.756	16155.59	16770.83	13218.94
2.0013	13377.911	12459.669	14045.629	16747.922	16929.75	13565.729
2.1348	12688.02	12374.816	13882.483	17357.426	15826.193	12185.223
2.2682	11885.433	12891.504	13610.944	16224.613	14946.376	12250.416
2.4016	11634.647	12851.31	12740.001	15041.727	14878.277	12290.768
2.535	11534.021	12340.176	12858.946	13393.979	13604.556	12052.021
2.6684	11423.775	11910.938	13054.56	12392.157	12912.979	11412.515
2.8019	10911.88	NaN	12839.794	12480.848	13953.714	NaN
2.9353	11253.533	NaN	NaN	12688.024	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN
3.3356	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN
