x	Y_20181208_15692_33_6g	Y_20181208_15692_37_18g	Y_20181208_15692_37_4g	Y_20181208_15692_38_14g	Y_20181208_15692_39_10g	Y_20181208_15692_39_8g	Y_20181208_15692_42_1g	Y_20181208_15692_43_2g	Y_20181208_15692_44_16g	Y_20181208_15692_46_3g	Y_20181208_15692_7_11g	Y_20181208_15692_7_7g	Y_20181208_15692_8_5g	Y_20181208_15692_8_8g
0	27866.8867	32255.1895	26533.9355	31046.209	31531.6152	28499.6191	28251.2207	30769.8535	29094.0312	28406.3125	30116.9141	28638.6133	28503.0273	30074.6738
0.1334	28491.2793	32338.3887	26946.9355	30400.3633	31174.6895	30356.9277	28542.3457	31359.0801	29881.6602	27464.1445	31567.7773	29742.4473	28875.1504	31469.8555
0.2668	27851.0156	32918.7266	26272.6797	31078.9062	31741.2969	29952.9121	28972.1875	29511.2285	29847.4043	27374.2754	32637.8301	30869.6426	29567.1797	31407.2051
0.4003	28098.9492	32336.5488	26942.4941	31895.3086	31400.8633	31111.9707	28345.127	27819.7773	30692.2031	28117.8906	32622.5703	30344.916	30041.0078	32996.2383
0.5337	28786.5781	31415.3906	27529.5684	34073.6055	32529.1914	31617.7715	30232.8125	29419.2832	30604.2227	28522.6133	31655.5176	32067.4277	30843.0254	31062.0605
0.6671	28773.9043	31588.0488	26626.6211	35323.7539	34360.1836	30882.623	30520.4512	29105.9824	32778.0781	29321.207	31530.5645	31589.5508	30861.1035	31084.3672
0.8005	28828.4355	31564.5957	27352.5215	33534.4688	35156.2422	30461.3145	29754.3574	28966.3555	31814.7793	29654.8145	30749.4102	32798.6133	31612.043	31183.4492
0.934	30199.2734	32124.5957	27685.5449	33828.1875	35872.3281	31016.2461	29224.3867	29398.3496	32114.9727	29762.332	31431.791	33081.2734	33265.9609	30985.582
1.0674	29067.375	32100.168	28916.0293	35118.957	40986.6055	32087.6934	30380.5898	30045.8223	32616.8789	32663.1367	31388.8281	35311.9062	36123.1719	34045.082
1.2008	27379.873	32886.4453	29904.1602	36791.9336	56403.5469	35425.6953	30541.668	30563.0352	33157.0742	36120.7812	35342.9453	41628.9141	42951.4219	35553.3203
1.3342	30922.3613	34372.6172	31376.1641	42606.6562	78702.3359	44374.1562	33820.3164	31546.6133	32506.9609	50556.9727	40977.957	47673.8828	54762.2773	36047.6367
1.4676	36319.8789	38549.2734	37335.8438	51552.2266	105946.6562	55515.7461	42677.8125	36147.2031	35983.7031	63444.25	53913.8789	46199.3008	56650.7656	37719.4062
1.6011	41176.582	44436.0117	45545.332	60517.0352	107368.2031	59932.2266	43313.0156	42424.2852	42865.6836	58434.3789	66943.0234	38898.0195	46830.9648	44028.5078
1.7345	40971.6172	47189.0859	43429.6367	55599.0898	87217.0938	47699.0195	34056.5547	40829.3633	62055.1797	42419.1602	61444.4688	39674.1992	37127.25	53255.1484
1.8679	34551.6719	41389.418	36064.2812	43458.1211	NaN	38408.0938	29151.3438	34287.6914	82127.0859	34221.9258	44797.8516	37340.2031	33057.8242	56556.5664
2.0013	31072.4336	35759.668	29732.2441	43402.9141	NaN	33452.2773	27236.0449	30125.3594	78095.8359	30043.6758	38055.6289	34921.082	NaN	46956.3789
