x	Y_20181208_15693b_13_1g
0	9495.1572
0.1334	10292.5586
0.2668	10913.3066
0.4003	12599.46
0.5337	14979.9688
0.6671	17029.5566
0.8005	17281.4043
0.934	15964.8604
1.0674	15305.9307
1.2008	15428.6201
1.3342	15794.1377
1.4676	18207.6777
1.6011	17603.8262
1.7345	16009.6152
1.8679	14943.7764
2.0013	15794.4883
2.1347	14461.5537
2.2682	14623.3477
2.4016	14134.7178
2.535	13008.2588
2.6684	12229.0752
2.8019	12415.6348
2.9353	12846.4219
3.0687	12527.3643
3.2021	12894.3057
3.3355	13645.7559
3.469	13774.833
3.6024	13522.875
3.7358	13547.8174
3.8692	12939.2686
4.0027	12978.5078
4.1361	12753.8271
4.2695	12040.2148
4.4029	11910.3584
4.5363	12087.1553
4.6698	11588.4561
4.8032	NaN
4.9366	NaN
