x	Y_20180212_14590_13_1g	Y_20180212_14590_14_1g	Y_20180212_14590_39_1g	Y_20180212_14590b_16_2g	Y_20180212_14590b_20_3g	Y_20180212_14590b_28_3g
0	14231.506	13944.156	11371.864	11421.674	13576.913	12611.169
0.1334	14996.176	13600.894	12258.142	11811.882	14663.073	14113.854
0.2668	15060.924	15408.649	12310.364	12557.911	15904.816	15758.84
0.4003	16493.793	17581.309	14159.106	15152.697	19145.766	18064.959
0.5337	19217.967	18145.945	16747.016	16799.691	19915.338	17975.053
0.6671	17824.836	17201.48	19343.465	15700.384	20491.914	17486.869
0.8005	16916.848	18105.463	19975.586	15607.891	18491.055	17177.953
0.934	17741.33	18253.189	19525.281	15799.425	17851.084	16723.584
1.0674	16637.984	17415.666	20029.326	14708.492	18141.566	17030.098
1.2008	16629.725	17315.307	19012.807	14345.269	18744.516	15914.582
1.3342	16296.954	16933.773	17293.67	14424.08	19680.256	15288.926
1.4676	14793.523	18608.047	16382.838	15046.889	20309.09	15599.398
1.6011	16000.358	19337.615	16463.652	14479.887	20293.973	15485.707
1.7345	18146.258	20599.559	16222.384	15448.262	21261.229	15644.92
1.8679	17982.926	22889.363	15589.171	16237.372	21789.375	14831.61
2.0013	18977.104	22448.803	15893.338	17723.393	23442.812	14145.186
2.1348	21004.064	20446.197	16339.867	19585.17	20981.857	13619.174
2.2682	23478.115	18535.844	17746.881	20494.559	18473.977	NaN
2.4016	27189.848	17316.887	21287.596	NaN	16760.02	NaN
2.535	31078.74	NaN	24686.816	NaN	16443.846	NaN
2.6684	33311.812	NaN	NaN	NaN	16726.688	NaN
2.8019	28847.141	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN
