x	Y_20180212_14590b_17_1g	Y_20180212_14590b_26_6g	Y_20180212_14590b_9_7g
0	34461.766	42104.387	34048.516
0.1334	34444.988	39733.156	33512.504
0.2668	35051.094	39522.637	33422.145
0.4003	35686.449	38911.855	33893.863
0.5337	36984.957	38851.02	32830.031
0.6671	37027.824	41387.895	35647.688
0.8005	36432.199	41582.332	36487.734
0.934	36106.145	46232.863	37284.461
1.0674	35689.895	54061.992	41543.52
1.2008	37370.984	83309.031	49418.477
1.3342	41976.625	154283.625	61237.801
1.4676	54059.727	205164.5	66400.773
1.6011	71017.883	161461.719	58287.25
1.7345	84074.102	92945.977	46534.355
1.8679	63991.566	58274.508	40553.395
2.0013	47159.824	NaN	NaN
2.1348	39047.82	NaN	NaN
2.2682	NaN	NaN	NaN
2.4016	NaN	NaN	NaN
2.535	NaN	NaN	NaN
2.6684	NaN	NaN	NaN
2.8019	NaN	NaN	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
