x	Y_20181208_15693_1_11g	Y_20181208_15693_1_1g	Y_20181208_15693_10_10g	Y_20181208_15693_10_1g	Y_20181208_15693_10_2g	Y_20181208_15693_13_11g	Y_20181208_15693_13_5g	Y_20181208_15693_14_2g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_1g	Y_20181208_15693_2_2g	Y_20181208_15693_20_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_11g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_7_8g	Y_20181208_15693_8_10g	Y_20181208_15693_8_2g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_8g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_13g	Y_20181208_15693b_11_9g	Y_20181208_15693b_12_12g	Y_20181208_15693b_12_6g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_13g	Y_20181208_15693b_13_17g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_12g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_16g	Y_20181208_15693b_4_8g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_12g	Y_20181208_15693b_6_6g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_7g	Y_20181208_15693b_8_11g	Y_20181208_15693b_8_17g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_2g	Y_20181208_15693b_9_3g
0	30217.3262	26770.8242	32972.1094	29783.1504	28928.916	31978.1641	28536.7305	26824.3848	31948.4102	29836.4941	29657.8535	33187.2578	26535.6719	28563.1328	30960.8164	31727.8145	32005.6777	31991.248	31368.9043	26555.0918	28179.7539	27375.2695	26435.6133	27263.9297	29105.2969	31174.4609	25234.3906	32050.8008	28484.8906	30082.1582	30065.2578	30972.7598	28010.9551	25000.0488	29536.6738	31314.3789	28725.291	28468.5684	32298.9766	31116.1445	28209.9297	30942.1777	30285.123	33423.6641	28304.1133	29898.0703	9814.2402	27623.9043	27846.957	31796.9512	23502.7422	30246.9629	25138.0195	28939.9746
0.1334	29835.1875	26752.9746	31276.2949	28554.6758	28386.8945	32324.7559	29069.3574	27647.1641	31380.7676	30309.7812	30270.3105	31962.5391	26291.3301	28482.7578	31907.3008	30632.6016	31394.0352	31974.5859	31104.2695	27422.25	28629.1426	27122.8027	26852.5234	28374.5547	29409.5273	29559.2832	25860.7109	33287.8164	29864.375	29780.2266	29236.2676	31185.3535	27268.2461	23914.0117	29650.0312	31755.6445	29367.7598	29057.9688	32435.7598	30189.3828	28646.6133	31917.3574	30486.2578	33720.3438	29888.3652	29999.7852	15501.6035	27375.5762	28154.0605	32128.8477	23854.2344	29666.8398	25477.5293	28003.0488
0.2668	30056.1348	25801.3047	33074.1953	29291.9668	29650.2422	32687.3457	28470.4648	27224.1016	30559.5645	30733.4688	30049.1973	31363.4258	26881.8105	27731.3477	32191.1367	31172.6133	32097.9551	31348.2598	31513.8652	27078.3496	27781.2617	26641.9863	27902.7285	28361.1172	30576.9727	30645.6094	26556.9316	33446.9453	31697.2305	29989.3887	30499.9277	31286.2559	27579.0391	23840.8828	31135.1406	31005.0977	30637.1094	27909.4902	33411.2031	30528.377	29072.6992	31602.498	27941.9727	34781.2266	30175.1367	29871.3516	26269.5273	28441.4805	28024.2832	33083.9492	23474.5273	30114.2949	25396.8594	27497.1602
0.4003	29436.5977	27181.8828	32119.877	29042.6211	28278.9512	31675.0176	29602.4395	26952.3555	31735.627	31973.3496	30622.2109	32914.3789	25637.9238	29295.3086	30996.7441	31811.0176	32745.2598	31553.8086	31185.4805	27027.1133	27856.6172	26737.4609	28361.3398	28515.7324	30578.8848	31077.166	27488.8145	34167.5586	29521.8438	30174.4238	30599.8652	29961.791	28156.1523	24732.7266	31414.5176	29596.4219	28197.7852	28749.8164	33307.1094	32750.6387	28905.7461	32245.5137	28609.459	33494.707	29093.1055	30083.332	26343.5703	27935.6035	28444.1367	32897.8516	23413.1133	28664.3848	25225.0957	29313.7969
0.5337	30165	26652.1016	32956.7188	29264.0195	27448.498	31768.2676	31454.1133	27469.0918	32279.6309	31783.8027	28261.5059	33838.8438	26077.7676	29713.7793	32081.9727	30744.543	33993.2031	32317.2266	30674.8066	26414.7559	27240.8145	28090.4609	28557.877	29569.9395	32613.2891	32757.123	25980.8105	33785.7266	30319.1367	31627.1738	31813.5566	31545.1348	29826.9453	25039.3574	32077.8691	29824.541	31701.0469	29204.498	33023.5547	32309.418	28086.459	32524.8164	28700.0254	33607.8438	30350.0586	31625.7461	27692.4551	27826.9219	29849.1152	32015.0684	24052.9746	29014.5859	25366.1895	29205.3652
0.6671	31315.3066	26080.7188	33295.8672	29639.8809	30045.1934	32941.1602	30506.9609	28461.7988	32804.5352	31435.8242	29505.082	35327.9258	26716.2305	30572.0527	31652.5938	33283.2734	33886.3906	31709.4844	31257.7324	27325.834	30477.0527	29246.1211	29523.5664	28410.9766	30777.5898	31376.2715	27192.7559	33758.75	29862.3789	34050.668	32442.5391	31221.0449	29212.6133	24201.959	31241.5898	29376.2812	31151.7578	31385.0684	33646.8789	32245.4707	29707.498	33279.4336	30134.8164	33373.1836	29849.7695	31470.4824	27222.9258	28392.2441	28458.6855	31797.7656	24488.1582	29033.7812	26642.623	29504.1406
0.8005	31993.3281	28311.3633	32959.2539	27555.8594	28621.9746	32811.3086	30736.3809	28293.875	33395.3203	32228.7891	30414.3184	38619.9648	26617.4902	33887.2344	32178.6523	34284.0078	34231.7773	30240.0684	32146.3418	28198.3555	28712.2559	28744.9863	28834.5156	29450.6484	31756.752	30856.5312	25563.584	34341.5977	30977.5938	38442.6953	32625.6758	31878.623	29926.4922	24161.1562	32294.375	30320.4336	32510.0918	29839.7188	34817.1797	32996.7188	30990.8887	34855.5273	30844.8066	33522.4141	30891.4355	33061.7578	26531.0547	28049.127	27110.6719	32047.9727	23768.6758	30110.291	26519.7422	29619.6309
0.934	32065.9121	27682.8535	34215.9922	29155.5566	29719.8027	32213.7324	30751.0977	29820.1836	34200.0273	33233.6172	32100.5918	47893.0352	26926.7852	37481.9375	33633.5977	35894.6133	35209.8203	29866.4082	32153.9629	25840.9746	28617.832	29846.2051	29770.5254	29296.1875	32527.7539	30970.7109	26600.127	37081.5156	30851.3809	46568.207	34009.8438	32449.209	31951.6816	25490.9141	32083.541	31942.9434	33060.2617	29594.4023	36228.3086	33548.9883	33321.0703	36455.7227	31026.9668	31328.9277	34854.2656	34959.293	28192.3047	29519.5156	29128.2305	32925.9883	24722.8438	31796.5508	27339.9922	29029.8203
1.0674	32688.7988	29174.5449	34398.4102	28880.1582	31295.3965	33678.2305	30947.6875	28971.0371	34990.457	32620.6816	34032.4375	59441.668	27907.207	43726.4922	33613.3633	38440.7617	34946.1406	31468.0977	32798.1562	28584.2695	30741.0742	32137.4395	32793.332	31210.2012	32811.8125	32228.2305	28388.9961	44885.9297	30704.7773	67042.5156	36077.0273	32938.4531	31421.8633	25522.6641	32229.7305	31825.5742	36506.5078	30637.5195	39639.3398	35704.2539	36608.4102	43330.9141	30914.3145	33884.3828	38687.5	39211.4219	33473.6406	31535.0176	31342.291	33435.2969	26169.0254	34592.0625	28716.1934	29240.0957
1.2008	35308.1094	32305.8242	34100.0938	30780.9805	33649.3281	33230.3633	32294.1875	31080.291	36682.1953	32768.8359	44939.9258	61842.9414	28682.7363	61979.5156	34663.8438	44558.668	36756.8242	35066.3477	36056.4766	26655.1719	30891.7988	43141.0195	38153.7266	33580.7344	31702.3418	31595.3555	29274.3301	66800.8828	33327.2461	102982.4531	38042.7852	32956.6719	37432.7812	26052.6211	32957.957	34719.4219	43713.043	29985.0586	43364.1445	43806.0859	45505.0586	53753.2578	30349.998	34591.8359	47436.8047	49003.5	39513.9023	32221.6445	31570.7617	33970.957	27638.9727	46164.8828	28848.8613	31689.0488
