x	Y_20181208_15693_1_11g	Y_20181208_15693_1_1g	Y_20181208_15693_10_10g	Y_20181208_15693_10_1g	Y_20181208_15693_10_2g	Y_20181208_15693_13_11g	Y_20181208_15693_13_5g	Y_20181208_15693_14_2g	Y_20181208_15693_17_2g	Y_20181208_15693_18_1g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_1g	Y_20181208_15693_2_2g	Y_20181208_15693_20_7g	Y_20181208_15693_4_8g	Y_20181208_15693_5_11g	Y_20181208_15693_5_5g	Y_20181208_15693_5_9g	Y_20181208_15693_6_3g	Y_20181208_15693_7_8g	Y_20181208_15693_8_10g	Y_20181208_15693_8_2g	Y_20181208_15693_9_13g	Y_20181208_15693_9_15g	Y_20181208_15693_9_8g
0	9375.708	9312.2725	10400.3389	10736.5957	10815.043	12111.3418	9954.3223	11291.5576	12379.3857	11347.2002	13246.1523	13071.9277	12160.6865	10588.1182	12521.2119	11468.2773	13078.0967	9600.667	12555.5254	11655.8682	11965.6201	11204.5498	11220.4482	10500.4502	9704.1729	10189.6572
0.1334	9779.9814	9543.1865	10838.3691	10912.1885	12289.1201	12464.8008	10834.8369	12897.5498	12709.4521	11568.6191	13925.9746	14265.5195	12588.0439	11972.4072	13286.5439	11848.5879	14240.668	9394.7969	12741.2363	11505.5264	12866.1016	11644.7949	11869.0176	11527.6025	10731.3711	10529.7207
0.2668	10045.2441	10081.6816	11714.9365	10936.9746	13095.8086	12760.4414	11630.9814	14733.3408	13356.7363	11689.1201	15411.4141	16003.875	13433.1104	13356.3965	13656.6729	13594.8818	13785.0684	10079.2959	14211.0586	12464.6924	13419.3018	12250.8828	12649.0547	12134.0068	12492.5312	11729.1289
0.4003	10659.9854	11939.9434	11853.7188	12546.1543	14637.4189	15743.5928	13086.7861	16457.8613	15722.6445	12680.6406	17178.7227	16873.541	15966.2197	14728.2598	14552.3252	16796.0605	14042.4385	11022.5449	14292.7754	13548.7461	13624.9199	12858.7871	14426.6807	13206.8545	15021.125	12527.4238
0.5337	12077.7275	12945.9697	11911.0137	14062.6367	16140.9678	17389.9922	13251.5918	20003.1152	18837.4473	14559.1592	20225.6641	15588.8018	18414.0078	14659.5605	15667.3574	18676.457	14886.4375	13710.2354	12792.7305	14281.3145	14203.9443	14073.3633	15408.0713	14979.542	17155.1055	14283.541
0.6671	13568.6162	12406.5615	13213.0264	15690.3047	16902.5645	18567.2188	12591.8164	21151.6113	19707.1094	17720.709	23004.8027	14541.708	18662.709	14528.1289	15506.4639	18748.3379	15814.0127	15780.1934	12193.4463	14644.2646	17322.3105	12965.3203	14671.2412	14141.8887	18840.9082	14358.2148
0.8005	15018.7256	12058.0508	14311.4121	16806.1484	15144.7402	19277.8223	13128.127	19781.0566	16824.4062	16940.0312	21469.9707	14590.0264	16755.9414	13742.6074	16063.8027	17152.8457	17000.8594	16314.3242	12456.6172	13552.291	19571.0977	12610.3213	13941.7461	13222.418	17272.7422	13512.1152
0.934	14845.7295	11298.5439	15246.6367	16551.3945	14435.1836	18354.6426	13058.0615	17909.5078	14366.9941	15576.7197	19485.1562	14494.9727	14547.5723	14362.1484	15738.8848	15322.252	15639.4414	14726.6787	12686.957	13798.0215	16840.1016	12475.1943	12337.7852	12309.1279	16180.834	13707.123
1.0674	13755.0498	11948.9443	16593.8789	15678.3008	13608.8232	16975.623	13797.2998	16145.5986	13003.8086	13625.5117	17258.4727	14296.835	12949.6738	14122.3916	14824.415	15311.3555	13146.707	14434.9746	13197.29	13046.0557	16711.6738	12513.6123	12190.8027	11504.1943	14569.1465	14685.6191
1.2008	13828.293	11044.1777	15960.3789	15181.1084	13582.6016	15709.0527	13401.4736	14986.4561	12360.1406	13049.7461	15981.0273	14077.5156	12996.5576	14109.7305	14568.248	15015.2217	13198.6309	14603.7412	14274.5352	13589.1533	16402.1973	12093.915	12529.835	11812.1064	14901.5234	14867.5479
