x	Y_20181208_15692_32_7g	Y_20181208_15692_33_9g	Y_20181208_15692_42_1g	Y_20181208_15692_43_17g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_8_7g	Y_20181208_15692b_1_1g	Y_20181208_15692b_10_2g	Y_20181208_15692b_10_5g	Y_20181208_15692b_11_15g	Y_20181208_15692b_11_5g	Y_20181208_15692b_15_2g	Y_20181208_15692b_2_2g	Y_20181208_15692b_7_2g
0	10943.3857	12893.3691	9733.2705	13780.5967	12565.2998	11314.5918	11346.9287	12822.5996	12397.8604	10258.4209	11170.6523	10392.123	15117.458	10091.2812	12356.0674	9899.4072	10148.333
0.1334	11682.1143	12716.3408	9914.9023	14003.6318	12736.4014	12042.498	12158.5176	14247.5049	14195.208	10888.4854	11867.1748	11158.2861	15408.0742	10468.376	13514.4219	10136.7578	11873.6797
0.2668	13636.4648	13768.7373	10014.4609	16828.8848	14059.665	13082.1162	14675.2129	16939.7305	18419.3809	13660.2217	13704.7275	12544.1787	17681.6562	11063.7939	16364.3877	11033.2002	15981.6387
0.4003	16511.0293	16155.7686	11538.918	19659.9863	14020.4932	16633.5879	19045.5176	19836.8301	20959.123	16539.8047	15435.3369	15126.0479	21132.3887	14318.21	16569.4355	11825.9834	18848.7695
0.5337	18808.7031	17354.9102	14763.0811	19962.9004	15740.4473	19108.0039	18774.6113	20461.9102	20239.0781	18193.6582	17111.1094	15684.2451	22352.3027	18216.6191	14017.2354	12871.876	18142.1582
0.6671	17067.5742	17685.9883	17341.8691	19010.875	19502.1582	19270.6133	16428.1191	16910.0488	18327.3027	17377.0586	16595.8535	14699.2852	22631.6523	21462.3418	12465.4355	13913.7314	15653.3721
0.8005	15642.043	16912.1602	16959.9609	17381.6953	19520.3027	16612.4473	15076.9619	15056.8584	15401.4629	13545.0303	15175.3955	13207.2324	20850.2539	19335.1211	12379.7979	14100.3369	16097.3311
0.934	16190.5635	16671.5977	14699.8506	16451.877	16850.1895	15976.8037	13858.6602	13940.4893	13959.9297	12714.4922	13320.5322	13331.7041	18983.457	18533.043	13793.9072	13596.54	15396.8037
1.0674	16825.3867	14008.5654	14305.1025	15673.4199	14832.1064	15037.3242	13049.2891	13268.9873	12671.1084	11859.248	13164.998	14006.4365	17296.1562	16946.5488	14281.3115	12640.7207	14995.3955
1.2008	15373.1836	12642.9775	14388.4404	14683.7559	14469.8271	14980.3154	14829.7998	13034.832	11291.5312	12453.584	12717.4053	13417.5059	18013.9258	15912.0049	13357.1221	12261.1094	14482.0342
1.3342	14206.4502	13038.0713	14903.2744	14002.2744	13630.0928	14626.6631	14810.8145	12696.7734	11359.3682	13708.5146	12274.6426	13095.9238	16233.6494	14890.4287	12312.9404	12281.0234	14907.6113
1.4676	13233.2168	11794.8652	14000.1904	13051.5293	12898.0117	14836.2539	15600.7627	12213.3467	11402.7197	14487.1172	12276.7217	12613.9863	14985.0361	13548.8447	11880.8945	12016.8262	14824.1055
1.6011	13103.5586	11912.3916	14089.4277	13958.8574	12136.4346	14152.2422	15888.3027	12660.959	11506.4678	14287.0166	13091.2188	13111.3848	14015.8086	13280.2393	11784	11221.5195	14427.1084
1.7345	13414.0908	11895.6055	14917.5156	14719.5674	11635.8389	13935.9795	14018.6953	12757.833	11658.125	14413.1074	13477.8623	13221.71	13483.2773	12689.7158	11334.9766	11522.0156	14680.0713
1.8679	15413.8506	11946.2627	15918.6445	15140.2119	12056.9736	14176.4463	12770.5918	11810.6377	12090.2148	14498.4355	13742.084	13834.7451	14430.3545	12362.5713	11719.9062	11466.96	14891.2959
2.0013	16659.1777	13085.9512	14471.041	15471.7422	12160.3984	14584.208	12660.833	12704.1953	12131.6084	13529.8623	14771.7217	13282.542	15090.668	11787.2529	12568.5332	12611.2207	18578.4531
2.1347	15494.4209	12838.335	13412.8223	15008.8574	12786.9668	13698.1191	12847.6387	13928.5635	12047.2959	13534.1924	15514.8096	12804.8887	14869.6172	12301.4736	12294.6699	12578.2666	20068.1523
2.2682	14701.4404	12372.7285	13182.0342	14311.1094	13551.2324	13087.4238	12166.0762	13539.4932	12046.0986	13540.9404	16752.4277	12909.1611	15094.5371	12590.6514	11795.335	13556.0918	20657.9609
2.4016	14141.0254	12106.4902	11523.7734	13915.7637	12722.5664	13139.2119	11368.29	14103.4971	11932.8047	13233.7021	16489.1953	13413.1875	14702.9619	13555.2373	12008.416	13723.2979	19241.4141
2.535	13811.0859	11873.168	11296.4707	13899.6406	13953.3359	12005.6396	11374.6953	13607.1484	12032.1162	13895.8477	14910.1465	13228.2744	14687.0762	13502.9092	12378.6865	14683.7939	17695.0488
