x	Y_20180224_15102_1_2g	Y_20180224_15102_10_2g	Y_20180224_15102_11_5g	Y_20180224_15102_11_8g	Y_20180224_15102_12_1g	Y_20180224_15102_13_13g	Y_20180224_15102_13_1g	Y_20180224_15102_13_3g	Y_20180224_15102_13_4_1g	Y_20180224_15102_13_6g	Y_20180224_15102_13_7g	Y_20180224_15102_13_9g	Y_20180224_15102_15_17g	Y_20180224_15102_15_1g	Y_20180224_15102_15_9g	Y_20180224_15102_16_3g	Y_20180224_15102_16_4g	Y_20180224_15102_16_5g	Y_20180224_15102_18_3_2g	Y_20180224_15102_19_1g	Y_20180224_15102_19_7g	Y_20180224_15102_2_4g	Y_20180224_15102_2_7g	Y_20180224_15102_20_5g	Y_20180224_15102_20_8g	Y_20180224_15102_21_3g	Y_20180224_15102_22_4_S_g	Y_20180224_15102_23_2g	Y_20180224_15102_23_3_S_g	Y_20180224_15102_23_4g	Y_20180224_15102_23_8g	Y_20180224_15102_24_7g	Y_20180224_15102_25_11g	Y_20180224_15102_25_6g	Y_20180224_15102_25_8g	Y_20180224_15102_26_8g	Y_20180224_15102_27_11g	Y_20180224_15102_27_6g	Y_20180224_15102_28_12g	Y_20180224_15102_28_15g	Y_20180224_15102_28_7g	Y_20180224_15102_4_6g	Y_20180224_15102_5_2g	Y_20180224_15102_5_3g	Y_20180224_15102_5_5g	Y_20180224_15102_6_1g	Y_20180224_15102_6_3g	Y_20180224_15102_7_2g	Y_20180224_15102_8_10g	Y_20180224_15102_8_1g	Y_20180224_15102_8_2g	Y_20180224_15102_8_5g	Y_20180224_15102_8_8g	Y_20180224_15102_9_2_g	Y_20180224_15102_9_6_S_g
0	38225.828	32071.098	31812.08	37588.562	34898.906	38848.008	33465.062	39533.562	41213.137	37976.434	37799.043	32690.592	39330.883	33842.16	34443.215	33984.723	34288.32	38309.117	35952.41	40982.129	37122.359	36774.145	39920.902	40710.32	40848.98	41109.586	39226.98	38553.113	36927.559	34164.637	35212.848	37586.555	36487.879	33139.152	36859.062	34766.273	38610.59	33304.914	32551.168	33266.871	35970.184	39840.047	40210.594	41657.688	39496.613	34662.188	36752.863	34835.188	40184.461	30401.113	35947.375	33847.148	39180.824	39687.43	38101.773
0.1334	38416.73	34442.672	32419.855	37150.703	32760.748	37570.418	33809.977	40461.676	40212.172	37543.121	39006.258	33335.535	37704.418	36864.23	33762.043	34280.109	34684.211	41057.719	35574.195	41507.449	37205.184	35969.758	39327.371	40162.609	40236.062	41486.617	37820.777	38428.648	37234.348	33847.207	35601.363	39069.977	35126.367	33393.422	37213.922	34175.629	40144.828	32557.883	34083.688	33221.609	37577.102	39778.031	40541.203	41085.633	40668.809	33023.633	36630.238	34176.113	40382.992	30905.174	36779.348	35602.176	39123.652	39692.84	37973.992
0.2668	39650.094	34019.672	34098.641	37509.941	33376.031	38151.531	34132.133	40175.551	40910.777	38535.535	38160.895	34417.516	37810.898	36116.633	33661.258	33945.699	34957.934	39014.051	34740.699	41623.453	35406.438	36612.777	40545.969	39773.895	39571.102	40797.625	37076.855	39125.684	37438.242	34902.316	34953.047	37255.812	35434.863	34778.121	37899.918	35217.152	39108.871	32968.598	33939.191	33720.414	38942.973	39748.562	38896.547	41261.348	39886.266	34589.449	34952.918	33917.949	39306.18	30428.541	36310.195	35556.344	40347.008	38985.219	38619.223
0.4003	37885.75	34815.055	33285.949	37667.246	33264.25	37378.82	34135.387	40179.508	40894.602	37876.848	38392.184	31555.393	39276.734	35906.203	35133.785	34921.797	34005.586	40680.922	35615.652	40868.754	35605.949	38597.32	41068.941	39756.301	40118.625	41288.703	36714.199	38823.605	37959.793	35239.82	34060.82	35557.934	36777.949	34062.293	37899.086	35533.004	40306.484	33644.699	33673.156	33210.539	38053.09	40586.156	40116.355	40707.516	39519.027	34392.207	35638.332	32782.668	37630.789	30536.359	37125.102	34862.664	38825.824	39100.168	37548.547
0.5337	38070.242	35927.605	33192.016	37126.723	35292.141	38165.977	36602.203	39729.902	40121.566	36339.68	37739.637	31546.432	39425.914	36000.977	35112.285	33121.039	34187.309	41018.082	35025.848	38999.336	36623.879	37105.855	40313.703	39301.363	38682.68	42357.508	37886.398	38692.047	39200.32	35580.551	34158.602	36973.477	37691.723	32730.115	36576.484	36522.855	41186.32	33135.32	33682.582	34249.039	36739.445	40232.59	39502.602	38980.547	39318.754	35283.465	34795.383	35958.152	39277.402	30543.783	37321.52	35539.145	37734.809	38755.91	36887.395
0.6671	38174.062	35531.566	32551.371	37470.465	34834.105	35556.656	35850.512	38172.004	41472.77	36278.219	37750.25	32927.676	38025.723	36119.488	34701.273	32460.959	35084.574	40918.699	35993.535	40236.523	38044.105	37275.613	40202.965	37686.109	38495.398	40700.453	38057.031	38258.73	37846.059	34851.082	34488.711	38223.383	38396.492	33335.359	36696.539	36812.395	39407.758	33889.828	34025.164	33944.254	37373.887	38889.621	40555.246	38495.406	39585.938	35370.805	34915.527	34936.988	38892.809	30135.869	37738.621	36292.883	37184.973	38513.992	39552.867
0.8005	37819.012	35030.273	31606.059	37362.613	34994.863	37383.609	36939.293	38184.402	40703.984	36080.227	39181.445	33445.211	39662.977	36155.562	36464.156	34350.469	34772.336	39526.148	36240.578	40525.074	35948.57	38287.594	39864.262	38864.957	38990.684	42652.816	37423.352	36314.707	36172.926	34566.262	36006.672	36986.953	37594.848	33856.242	35730.316	36062.348	40770.871	34549.547	35052.141	35373.391	37862.184	39174.832	39478.711	39178.078	39864.184	34828.762	36626.766	33349.652	39393.402	31878.125	38278.801	35290.191	37030.359	38906.801	37425.309
0.934	38955.16	35161.684	32381.117	36393.414	33270.422	37967.668	35018.168	38867.062	39333.797	36829.137	40480.789	33459.348	40497.43	35271.832	33963.562	34494.32	34892.82	38512.281	35590.383	38748.98	35944.824	38619.977	40161.391	38972.117	39529.715	43061.332	37618.996	37649.863	37557.551	33992.719	35203.246	36148.695	36779.102	34052.711	34810.125	35163.855	41355.875	35474.848	34202.504	36036.625	38301.625	39178.188	39502.012	37027.148	38878.188	34329.93	35548.629	33488.5	38754.277	31386.027	36971.961	35727.242	35916.867	40467.738	36125.18
1.0674	37801.305	35856.082	32727.711	37933.395	35079.004	37915.387	34747.043	38497.293	39789.094	35719.293	40063.465	32685.834	39857.859	36140.633	34197.75	35800.141	35747.566	37224.504	37874.945	38032.738	37506.82	38914.719	40014.258	39397.328	40036.832	41980.039	37315.301	38221.023	37917.176	33260.859	35052.707	36263.824	36743.977	33589.484	34978.332	35672.84	39628.762	33766.379	35023.574	34381.336	38112.762	40606.719	39970.398	38128.508	38533.246	35759.211	36510.129	33867.773	38159.754	31254.145	35692.422	35147.773	36791.098	39524.953	37247.363
1.2008	37043.082	36094.664	32316.984	39635.887	36814.016	35070.59	36254.34	38188.645	38490.215	35530.352	39701.637	33183.695	39128.566	36376.762	33424.809	33543.195	36448.676	36710.945	36453.977	39260.312	38175.395	37653.836	39750.699	39429.992	37946.254	41899.008	36632.074	38996.273	37394.664	34076.801	34597.691	36792.324	38185.102	32857.125	35131.672	34978.746	40625.781	33633.648	34902.531	32047.463	38996.395	39870.105	40414.383	38869.371	37555.543	34804.977	35442.668	32801.016	39678.168	32746.611	36973.438	35135.098	36683.18	40043.031	37065.105
