x	Y_20181208_15693_1_12g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_12_4g	Y_20181208_15693_13_14g	Y_20181208_15693_14_8g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_12g	Y_20181208_15693_2_9g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_6_4g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_13_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g
0	11592.916	10182.1416	12587.9072	12946.4521	10203.0869	10540.543	11220.4561	10188.7324	11005.5674	12250.8711	11418.0371	12415.0068	12246.999	11984.5674	12546.9131	10665.1211	10714.9824	12407.0439	11517.002	12320.5439	10184.417	12051.3984	10446.8555	10315.877	9495.7871	11792.1807
0.1334	11775.6396	10844.1533	11948.6094	14322.4805	10824.6797	11420.3711	11112.5381	11392.7539	12085.0928	13245.9219	11957.8477	12275.4873	12285.0059	13593.3711	13625.1162	10577.6943	12022.9795	13519.1104	11882.3984	12405.7842	11583.3184	13279.9795	12057.6816	11017.1572	9281.3193	13115.0254
0.2668	13248.8389	11713.9434	13440.5059	18187.248	11387.3906	13671.9229	12180.9668	13680.4531	12426.7695	13868.8809	12454.8887	13207.6514	13526.0352	16198.4893	14086.1396	12564.9863	15730.2119	14690.8643	12648.6924	13362.0518	12844.9199	14652.7549	12963.7939	11194.4287	9633.4277	16584.4883
0.4003	15642.0215	13412.0176	15335.9434	18672.3965	12719.8447	16340.9736	15085.8555	17129.8027	13895.6201	16239.9512	13370.2461	15806.9512	14348.9678	15301.002	15264.1699	15448.7139	19281.9453	15757.6982	14981.0938	15326.7158	14680.9307	15159.7549	13631.7637	12118.9658	10649.9033	19050.2422
0.5337	16225.5762	13946.4082	15168.2871	18241.877	14131.6523	17458.3262	18995.8965	18069.5547	15026.8594	21052.2988	13351.7402	17263.791	14659.415	14863.7393	16861.4766	17769.4336	19185	16512.2852	16867.6426	16598.5508	16786.2949	13558.3643	13948.4033	13253.8301	10962.998	18438.8887
0.6671	15492.6611	15155.7656	15103.0352	17009.1777	13780.5059	17700.2539	19375.3027	17759.7734	13829.1816	20772.7715	14140.3896	16925.8711	16096.7578	14634.042	16762.2871	17498.6758	16731.5234	15829.752	16923.2227	17196.9375	16582.0879	12807.4131	13543.2529	12697.9648	12408.7266	16530.5938
0.8005	17015.4727	14274.4492	14061.4785	15313.873	14159.8145	16040.3711	17326.0801	16915.8281	13320.6641	17972.8047	15636.6221	15099.3447	15448.7441	14167.6768	17450.5547	17122.5059	15170.4199	15389.6094	17509.8516	15204.3564	19461.1055	11945.0586	14273.6875	11763.375	12835.6943	15035.0537
0.934	16193.0566	15543.0703	14194.8945	13460.3096	14001.54	14779.6484	15655.6797	16743.9668	11801.248	17211.9883	17535.5078	14212.5723	14958.3564	14409.3213	17241.3652	15582.4717	14735.7412	14273.3184	17877.9922	14499.2891	18443.877	12483.3789	15553.7842	11751.3057	12568.3086	13611.1357
1.0674	15665.3584	16284.0479	14280.4307	13812.5947	14214.9102	14384.6719	14669.4385	16082.501	11795.2383	16622.832	16606.7988	14230.6514	15082.1777	14929.7021	17200.793	15488.8047	14656.6523	13553.7715	16295.2646	15953.0508	18624.5215	12924.4102	14937.5879	11506.5107	12527.292	16111.0117
1.2008	16781.8887	16154.1934	14858.249	14239.3301	15008.3418	13894.4004	14250.9355	15848.4502	12019.0576	15587.5869	15829.5146	15025.8252	15119.3184	14369.4854	16705.334	15592.9893	14928.373	13243.5732	15370.0273	15805.2715	19654.8418	12110.8613	13728.458	11075.8906	12457.8486	15084.0566
1.3342	16728.5371	16094.1465	13813.7881	15260.6885	14416.2568	13928.5352	14074.0986	14279.0938	11491.6445	15383.9209	15027.5098	14254.3018	15213.5293	13510.7725	17249.5664	15847.7109	15218.8379	13558.8369	15658.0586	15236.9814	17896.9082	11941.9287	14186.1367	11673.3965	12740.9531	14107.3262
1.4676	18540.2422	17075.5977	14562.7041	15404.0498	14215.8506	12863.4873	14488.5264	14145.3779	12781.3379	14642.8994	15604.0986	14266.6104	15722.4639	13960.5518	17500.4277	15112.6416	15017.7109	13266.0371	15218.0586	15275.6035	18140.2402	12040.6982	14962.1904	11739.3486	12594.0029	13643.9121
1.6011	17698.5332	17046.6953	13687.5977	15570.2754	13503.3613	12281.9951	12967.8916	13902.71	12669.1924	13945.7686	14672.4551	14467.1035	15346.5889	13592.8975	16547.7539	15152.4951	14337.1973	14034.3887	14781.4697	15975.7891	17797.6797	12376.3115	15403.7578	11817.1328	12677.3545	14134.2617
1.7345	15607.3955	13994.4531	14025.9912	15027.0889	12676.2539	12294.7354	12796.4668	12891.0449	12404.0693	14617.3652	14595.7471	14949.1309	15083.5713	13374.0088	17269.6816	13578.3076	14112.1689	13297.0166	13721.4678	16922.8164	16455.0781	11784.9502	15614.3096	11716.3662	12912.1133	13975.6045
1.8679	15169.6172	14323.4033	13167.9355	15760.0215	12478.4814	12198.627	12635.8125	11776.6484	12737.4785	15112.0322	13768.7246	14028.5684	14167.8643	13056.1777	16088.082	12247.2793	15184.5625	12632.6045	13192.9492	16297.9434	15133.6934	12801.7979	15141.1279	11171.333	13384.1807	12482.6797
2.0013	14846.875	14094.4424	12931.0791	14256.3828	12870.8535	12138.1787	11865.2617	12242.5566	12061.1221	14512.2061	13522.251	13912.375	15057.7012	12417.0674	13815.4766	12386.4375	14401.7734	12181.0771	13286.0908	15279.6904	13604.4932	12248.999	14099.4209	11227.2061	13270.4922	12836.166
2.1347	14049.8867	12830.2656	11714.7236	13873.0459	12066.4697	12558.9268	11160.2764	12169.332	11521.7158	14155.4404	13952.1162	13653.2383	14353.9688	11778.7305	13766.6689	11836.584	13380.3027	12578.5693	12584.9209	14324.3213	13547.3809	12521.1211	15073.2012	11049.4756	12777.2656	12574.3896
