x	Y_20181208_15100_11_3g	Y_20181208_15100_18_1g	Y_20181208_15100_19_1g	Y_20181208_15100_2_2g
0	29716.9355	32370.3926	28550.8203	29689.5293
0.1334	30722.5508	31600.8887	28057.1191	30181.0195
0.2668	30754.332	31543.9141	27820.7676	31069.9531
0.4003	32481.7812	31547.75	27844.8105	32328.4785
0.5337	31643.1992	33939.8672	28464.5176	33411.4805
0.6671	32254.1895	35015.8945	28627.5605	32062.0449
0.8005	31612.5918	34819.4102	29182.5586	31337.2812
0.934	32894.8203	34206.2031	28777.4141	33928.9844
1.0674	32322.1445	33395.543	27944.0391	34672.3477
1.2008	31805.6172	32942.6719	28897.7656	31608.5977
1.3342	32944.9688	33425.5	29200.0137	32253.4453
1.4676	32426.0684	33162.5859	28933.2988	32888.2461
1.6011	34091.4961	35029.5977	28644.0254	34150.8281
1.7345	33733.6016	33866.6055	29086.4316	32775.4023
1.8679	36386.9453	33565.0469	29630.2031	32120.7891
2.0013	38086.9531	33282.1992	31206.1133	33695.1836
2.1347	40260.668	34011.9258	30053.209	32873.9141
2.2682	41641.8867	33624.5859	33684.0859	33584.5742
2.4016	42370.1562	34467.2773	40325.4531	34295.625
2.535	41632.7344	35489.3008	55031.5312	37231.3555
2.6684	40876.8359	34637.3867	83350.2422	40582.9805
2.8019	41928.0391	39722.1719	91650.4062	46800.9492
2.9353	52198.707	54417.5	73439.7812	68644.7969
3.0687	70294.4453	72834.4453	46872.3906	89292.5781
3.2021	79662.4297	74546.875	34492.5312	78909.0156
3.3355	64870.3359	56443.1445	31689.6367	54075.0977
3.469	47602.5234	42577.5586	30313.8594	42213.707
3.6024	38854.1211	36297.75	NaN	39074.207
3.7358	33755.0391	35179.7812	NaN	38055.4922
3.8692	NaN	33169.1172	NaN	NaN
4.0027	NaN	33003.8594	NaN	NaN
