x	Y_20181208_15794_10_1g	Y_20181208_15794_10_2g	Y_20181208_15794_11_4g	Y_20181208_15794_13_5g	Y_20181208_15794_15_3g	Y_20181208_15794_16_3g	Y_20181208_15794_16_4g	Y_20181208_15794_18_3g	Y_20181208_15794_19_4g	Y_20181208_15794_19_5g	Y_20181208_15794_2_10g	Y_20181208_15794_21_3g	Y_20181208_15794_23_11g	Y_20181208_15794_24_16g	Y_20181208_15794_24_1g	Y_20181208_15794_24_2g	Y_20181208_15794_25_1g	Y_20181208_15794_25_3g	Y_20181208_15794_25_4g	Y_20181208_15794_26_9g	Y_20181208_15794_29_3g	Y_20181208_15794_29_5g	Y_20181208_15794_30_5g	Y_20181208_15794_4_10g	Y_20181208_15794_5_21g	Y_20181208_15794_7_16g	Y_20181208_15794_9_4g	Y_20181208_15794_9_6g	Y_20181208_15794_9_9g
0	23862.0625	24892.3594	28748.8359	29918.4883	30238.2578	31296.2207	26654.8887	28388.2988	30592.3184	32138.1699	25612.1309	26340.041	27090.2441	23781.4844	24500.2207	25841.5723	26767.0449	29954.8984	32900.7578	29371.1641	27917.8418	28436.834	28218.2715	31083.4609	27086.7734	30913.6602	30208.9785	28440.0391	27579.791
0.1334	23872.6895	24041.4336	28710.9043	30835.9395	28761.4258	30857.2637	26872.3418	26852.3242	30515.2012	32338.0137	25916.1426	26991.8848	26805.7695	24831.1348	25217.8086	25666.4844	25622.9473	30542.3809	32810.7148	30566.6699	28377.6211	27616.8262	29176.1465	30190.502	25666.7012	30568.541	29348.5977	30828.2266	29644.4023
0.2668	24529.2695	25066.6738	29742.3867	31804.7168	30064.9004	32301.7793	27153.1465	27505.6699	30221.0176	33526.1992	25451.4609	27944.043	26927.8086	24924.582	27284.0586	26118.5039	26157.6602	31256.5566	33708.4219	29835.9297	28683.7812	27852.9004	29606.3887	30482.4863	26906.002	30310.3047	28552.5996	29645.1875	30652.334
0.4003	24595.1328	25584.9883	30404.9512	31917.0625	29376.8105	31863.75	28545.9355	28357.3945	30648.2363	34088.7734	25133.7559	25956.8438	26028.5195	24816.0898	26013.7695	26979.2812	25620.7402	31252.209	35822.168	30408.8477	27620.3223	26690.3477	28594.7441	31177.7305	27786.9902	30594.3496	31073.4004	29153.7949	31651.6895
0.5337	23246.1074	25378.002	30537.7988	30568.8066	30398.0977	31011.6973	29720.2812	28105.7344	30507.5703	33890.3203	26266.9355	26834.7617	26044.5898	25404.1895	25577.2363	26880.7285	26186.2871	30308.2715	36145.6016	30713.8574	29287.3926	27589.6094	29303.1445	31668.9355	27253.1523	31043.1855	30421.1602	28503.3457	30223.5312
0.6671	23746.2793	24959.4824	30327.998	30850.3594	29469.5996	30782.8184	29435.7871	28409.1582	32343.9727	34803.9141	28294.3359	28045.1074	26945.1348	25952.7676	25447.1484	26399.2832	25211.4336	30283.8906	35735.0664	30404.6543	29902.2832	27840.2852	28592.2168	31186.8965	27386.2871	30637.1309	29526.082	28669.0488	29814.2598
0.8005	23057.2148	24807.9316	30228.793	30884.0859	30376.8906	31111.457	29395.4531	28078.252	33885.4258	33602.8828	28273.8438	26543.9023	27848.7637	24594.0059	26838.6426	26290.9297	27045.3574	29565.9746	34419.5117	30523.1152	29350.1582	27644.2988	30560.5859	32545.8145	28070.5371	30936.4277	30672.0742	29373.8438	31063.8848
0.934	23216.7168	24766.0527	30820.0312	31705.2305	30676.6152	32149.8906	30256.1133	27707.3203	33305.7461	33647.5977	27446.2695	26421.8887	26768.6816	25221.1445	25472.8672	26799.9082	25687.4531	30318.5059	33785.1992	30329.8672	28965.9453	29107.2598	29732.3457	32789.6797	29234	31505.207	31127.5996	30163.25	29807.2266
1.0674	23764.7891	25707.541	30065.1016	31867.1992	31873.2852	33708.4258	30165.7168	27740.1699	34002.75	33208.5234	26876.8672	27786.5977	26426.6055	25815.666	25684.8828	26792.168	26409.7754	30799.1387	34474.5625	30496.332	29602.4258	28200.207	29379.3105	31724.5566	28307.3633	31567.4238	31660.2793	28712.8926	31023.4883
1.2008	23476.3828	26174.3594	30977.3809	30051.2129	31270.2227	31791.2656	32240.2949	28112.2949	34649.5625	33222.6406	27990.293	27329.7383	27506.3574	26479.5254	26829.4688	28317.9004	26323.3691	31099.125	34762.0352	29640.0469	28930.6934	28283.6172	30502.8379	32831.4922	28226.7676	31235.4668	31177.5469	30913.3379	31358.0547
