x	Y_20180212_14590b_1_9g	Y_20180212_14590b_20_3g
0	37853.008	40064.125
0.1334	38424.285	41620.207
0.2668	40675.492	39862.059
0.4003	41385.492	38888.34
0.5337	40922.613	38487.777
0.6671	40640.836	40153.992
0.8005	40702.754	41521.703
0.934	42017.531	40362.707
1.0674	43672.414	40404.621
1.2008	44575.121	40486.543
1.3342	43852.305	42014.125
1.4676	43374.098	44530.051
1.6011	43142.875	44535.066
1.7345	48689.047	50504.953
1.8679	57595.66	65382.461
2.0013	76718.055	87844.891
2.1348	124467.75	136121.594
2.2682	164937.25	167796.922
2.4016	148847.312	143675.406
2.535	94473.367	94261.82
2.6684	64237.465	65558.422
2.8019	50570.273	NaN
2.9353	NaN	NaN
3.0687	NaN	NaN
3.2021	NaN	NaN
