x	Y_20181208_15100_1_3g	Y_20181208_15100_1_5g	Y_20181208_15100_10_2g	Y_20181208_15100_13_1g	Y_20181208_15100_13_6g	Y_20181208_15100_14_2g	Y_20181208_15100_15_2g	Y_20181208_15100_15_4g	Y_20181208_15100_15_7g	Y_20181208_15100_16_3g	Y_20181208_15100_17_1g	Y_20181208_15100_17_7g	Y_20181208_15100_18_1g	Y_20181208_15100_18_5g	Y_20181208_15100_18_6g	Y_20181208_15100_19_1g	Y_20181208_15100_19_2g	Y_20181208_15100_19_6g	Y_20181208_15100_2_3g	Y_20181208_15100_21_1g	Y_20181208_15100_25_1g	Y_20181208_15100_3_4g	Y_20181208_15100_5_10g	Y_20181208_15100_5_3g	Y_20181208_15100_5_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_9g	Y_20181208_15100_8_5g	Y_20181208_15100_8_6g	Y_20181208_15100_9_1g
0	13042.3926	11280.0566	12970.3633	13617.6318	13428.8467	14532.4844	13537.0254	11525.2441	13152.9688	10053.0107	12889.9023	11954.1309	13127.8398	12532.9697	13996.7881	13750.6338	11921.5176	14575.2021	13192.4062	12059.3848	11573.2871	10213.8545	12032.1602	13579.3662	13809.9111	12371.4443	12992.1152	13425.6152	13627.5596	11524.1406
0.1334	13451.8027	11757.1387	15047.5703	15615.2373	14395.042	15169.9805	13442.4834	11609.3467	12943.3789	10528.042	13783.7588	11588.167	13835.9746	13716.2227	14965.5723	14743.4453	12475.8818	14030.7734	13989.7637	12981.8574	11823.4453	10669.3008	12902.6748	13367.1689	12895.5801	12703.6787	13178.8408	16400.8828	13410.1094	11815.5605
0.2668	14884.7119	11809.5439	17515.5762	17879.5723	16764.207	19556.7168	14508.75	13847.8203	14433.4404	11943.2412	15308.2012	14181.9014	16238.6279	14225.0713	15577.958	16571.9863	14170.1973	14319.8408	16223.3428	14207.5107	13253.0869	11440.3369	13544.1367	13662.877	14353.2168	13301.2422	14126.3799	18779.9238	14089.8213	12740.0674
0.4003	15272.5918	12532.1816	18690.9316	19796.4512	18981.7852	21760.8555	15479.8818	16033.8193	17239.2168	14049.6758	20053.1973	17346.6328	21505.9297	15447.2598	17125.627	20834.4121	16393.5195	14579.1729	20472.2656	16620.9316	16464.5352	13208.6113	13816.6162	15953.9141	15276.3936	15377.2998	14135.665	18078.9355	16672.9883	12550.1641
0.5337	17257.7754	14280.9561	17916.332	20591.9707	20143.4688	22464.1797	17987.4316	18621.9766	18782.7461	17023.8105	23111.2012	20074.9629	23677.6562	17207.9648	20053.3379	20908.7129	19682.7207	17894.0059	24786.8633	19818.7559	17877.8008	16432.332	15085.2549	18753.5625	18995.5469	17404.0098	16990.377	16558.5566	20966.5391	12451.1064
0.6671	16601.3633	17014.9395	17513.1992	17580.9355	18586.5234	18188.8652	20929.5957	17123.6055	18499.668	16272.4609	21865.6074	18337.8926	22546.0488	18913.748	22299.2188	20916.4707	20318.5762	22395.7207	23792.5273	22615.6328	15757.1445	19536.3672	17278.2188	18264.7383	24100.4727	19751.9316	21959.9316	14756.5342	24976.7988	14432.3408
0.8005	14397.5977	20027.7031	16382.6416	15732.7432	16187.1621	15117.3438	20465.1816	17544.2578	17907.9727	16502.9043	17646.6211	15197.8105	21884.1523	17659.9492	21353.9199	21124.2031	16208.9072	26103.166	21145.1152	22202.1875	14177.5918	19003.3984	21479.5879	16345.0635	25607.0645	17318.9277	24916.6953	14285.4863	23611.5996	16059.2646
0.934	14467.3037	24185.8984	15425.5029	15302.3574	15505.4639	14596.0586	17124.5078	17296.541	16202.2031	16469.3359	16403.6074	14796.2148	19672.9766	16661.6582	20786.4395	19440.8574	17674.8203	23075.9727	17938.4199	18061.8398	14357.959	18034.4414	21878.0273	15131.0625	21290.4277	14499.8545	21910.1875	12907.4775	19611.8438	17409.4863
1.0674	13980.9287	26382.5215	16322.3232	14388.0488	14697.3926	13956.6406	14862.623	16971.9688	15918.1826	16145.2373	16826.5078	13982.3193	19566.3027	15589.6699	19116.4629	17901.2207	16605.584	18782.6797	17033.7109	17452	14562.665	17739.7305	21454.4707	15329.708	19173.127	13447.665	17270.1836	11867.8311	17566.5742	15129.2539
1.2008	13631.1611	22656.541	16756.5898	14316.8389	14862.4648	14206.7549	14740.168	15227.3115	15410.8936	15745.1855	15454.9902	13446.7803	18639.1172	16110.4365	18040.8574	15919.832	17222.0352	16383.1953	16695.2305	17098.4629	14541.1348	19638.6504	21634.1602	17731.6582	18692.5488	13227.2051	14741.3701	11114.9199	15800.3877	14697.8916
