x	Y_20180130_15100b_13_1g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_8g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_22_13g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_9g	Y_20180130_15100b_3_1g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_24g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_5g
0	15328.375	11362.729	14665.854	12735.51	10858.298	13100.019	12158.572	13214.444	11869.325	12383.159	12744.087	13952.012	13174.046	12287.141
0.1334	16011.991	12630.706	15308.933	13401.19	11280.792	13934.59	12825.294	16131.362	12243.022	13065.995	13995.722	14131.204	15460.125	13248.297
0.2668	17456.904	14799.325	15526.963	14793.631	12306.217	16606.057	14452.568	17875.109	13137.026	13786.591	16692.973	16258.215	17919.168	13898.598
0.4003	20223.127	17689.279	19299.148	16492.359	12575.13	19408.93	15896.885	19582.34	14798.944	16637.479	17831.99	16611.975	20832.789	17419.217
0.5337	21912.135	19871.891	21651.582	17085.195	13972.028	19822.205	16374.887	17774.959	17913.504	21261.551	16324.914	16314.082	21182.398	20863.037
0.6671	20740.562	16932.223	18477.771	16453.494	15769.982	18808.039	15026.634	16452.73	20302.541	23612.939	14887.797	16167.544	18495.824	19376.078
0.8005	19440.838	16238.229	15717.968	14676.367	14515.082	17337.963	12926.229	15329.207	18614.15	21305.871	13561.788	16615.727	16152.877	18138.686
0.934	17828.025	16627.201	15296.637	14753.9	13695.767	15989.395	12616.183	14728.386	16786.93	19560.227	12723.78	16859.668	15423.403	16785.934
1.0674	18908.725	17100.102	15552.722	14417.814	13784.438	15514.416	13345.806	14827.699	16314.833	18669.117	12416.53	16762.65	15362.993	15807.231
1.2008	18766.395	17380.691	15120.853	13806.252	13421.518	15223.185	14034.895	14858.151	14922.742	18670.143	12496.98	15950.93	16270.3	15046.703
1.3342	19034.787	15871.198	14432.948	13995.86	12840.407	13680.825	13909.001	15255.907	16300.491	19414.012	12442.495	15737.352	16525.953	16555.717
1.4676	18452.332	17134.891	15093.015	14316.812	12957.123	14109.238	13277.241	15466.013	17056.887	21400.742	12603.853	15168.823	15747.617	16510.588
1.6011	17463.404	16688.152	15572.187	14067.229	13578.101	14722.634	11793.075	17052.498	16356.783	22973.525	12379.07	14641.208	14591.727	16203.996
1.7345	18822.691	19684.246	15955.759	13289.059	15311.696	15925.907	11621.584	17212.939	15557.146	22357.252	12303.019	15156.386	14906.719	16078.177
1.8679	17970.547	20545.855	15680.207	14324.849	16013.224	16654.924	12034.6	16201.579	15018.283	22392.887	12131.848	16565.68	15172.436	15715.857
2.0013	17891.883	17544.85	15270.97	15098.958	16072.672	15480.56	12389.62	14326.993	14423.937	22862.109	12207.52	17452.01	15656.682	15956.342
2.1348	18877.473	16691.875	15727.599	15616.63	17077.096	15193.719	13358.671	13860.572	14002.388	22924.725	12344.221	17910.232	15438.755	15915.426
2.2682	19204.42	16393.438	16736.938	16376.018	17480.283	14378.659	13241.817	12950.802	14834.129	21631.143	12364.056	17331.439	14851.629	15033.097
2.4016	17492.848	16093.079	17989.559	15046.028	17837.248	15069.52	12824.675	12173.933	14852.838	20201.254	11822.66	16041.389	14057.594	14532.063
2.535	15109.664	14912.771	17591.674	14404.503	15973.197	14675.434	13063.167	12918.846	14005.899	19510.969	12456.987	14593.916	13231.513	13969.961
2.6684	13580.642	14553.872	17439.965	13923.152	14209.815	14193.872	12633.459	12826.766	12661.094	17128.107	12215.051	15203.763	13579.659	12269.65
2.8019	13581.067	13491.656	16779.582	12885.688	14349.217	13871.891	11758.848	12988.615	11920.036	15059.652	12745.248	15159.035	14516.385	11919.618
2.9353	13126.181	12850.239	14499.128	13404.343	13567.138	14062.099	11545.926	13649.241	12039.022	14138.799	12980.903	14102.249	13204.939	12646.031
