x	Y_20181208_15692_30_1g	Y_20181208_15692_31_2g	Y_20181208_15692_36_12g	Y_20181208_15692_36_7g	Y_20181208_15692_37_20g	Y_20181208_15692_41_2g	Y_20181208_15692_41_7g	Y_20181208_15692_44_19g	Y_20181208_15692_6_5g	Y_20181208_15692_6_6g	Y_20181208_15692_8_1g	Y_20181208_15692b_10_3g	Y_20181208_15692b_11_9g	Y_20181208_15692b_15_1g
0	10485.4756	11267.9004	11485.5723	9653.3232	11342.6084	10039.4189	12959.4453	10756.707	13010.0264	10162.7715	10465.8799	9635.8721	10202.8672	10945.041
0.1334	10256.2139	11862.6084	12135.1699	10474.6562	12679.9883	11281.5693	13676.208	12187.0215	14364.2773	11138.2324	12850.5801	10083.5557	11516.7061	11679.2529
0.2668	10475.1465	13541.8779	12881.0254	11449.9199	15639.0801	11564.2363	14120.1455	13727.5957	16086.8096	13537.6074	15731.668	12620.5264	13662.5186	13516.6963
0.4003	11775.6016	15973.502	12772.2979	13456.1855	18779.9238	12689.4648	14487.6191	15443.752	17447.125	15823.7051	17885.502	14369.2881	16228.9092	14132.0361
0.5337	13973.3564	16854.5898	12151.5869	16333.0176	18797.3379	14121.3232	16243.1553	14814.3213	21366.0703	16509.6484	16305.8281	14539.3193	16398.3926	13584.8008
0.6671	17055.0879	15820.8691	12524.2188	16542.3984	18644.168	15354.459	16439.4805	14450.3672	20626.7852	15073.3447	15137.2568	14031.3721	15722.2295	13842.8936
0.8005	17451.7773	15229.2227	13287.2705	15800.623	17650.5391	15097.8613	15305.9092	14263.627	17683.4395	15528.8857	14843.8027	14102.4043	16037.9219	13444.9023
0.934	16663.75	14535.2686	13154.0625	14615.793	17201.7852	14851.376	14443.1924	14678.1855	16283.0762	15574.958	15125.167	14936.7441	15719.1562	13778.0039
1.0674	17241.4453	13564.7744	13277.1455	14308.2998	16861.791	15384.4033	14365.1562	14686.7402	14268.4121	15640.9277	14413.5	16204.3682	16013.8457	14332.2246
1.2008	16593.3086	14849.1523	13661.3301	13011.5127	16095.4541	14584.834	14049.5781	13896.7139	15470.7324	15209.1406	14548.5635	14780.1377	16323.5635	13370.877
1.3342	17349.1504	15268.5049	13623.6963	13912.7773	15528.3828	13632.9023	13690.7139	14458.7744	16787.3594	14615.5264	14657.4385	15307.1533	15061.7256	13444.5547
1.4676	16466.1719	14594.6426	13364.1719	13512.2998	14894.1973	13319.0625	13355.5732	15029.1924	16542.1133	14844.1768	14011.6934	14043.1318	14518.834	13097.8271
1.6011	16151.2549	14392.1738	13030.6807	13507.1797	14291.5762	14194.5752	13348.4609	14441.3701	16046.8252	14637.666	14094.3574	13684.293	15248.9961	12910.0918
1.7345	15259.7539	14694.8398	13365.1582	13134.8984	13846.1318	13685.125	13198.6201	14558.4141	16573.9414	13535.0693	14712.5898	14386.1387	16138.8848	12133.9453
1.8679	13823.6963	15614.7725	12620.832	12150.2549	14269.6104	13091.7979	12556.5537	13808.3027	16244.3828	13277.7754	14595.0205	14597.6416	15973.9072	11750.9404
2.0013	13678.6982	14240.8779	12786.2969	12707.2852	15540.5479	13434.6514	12732.7725	12928.0947	16884.9102	12970.2812	14881.5303	13919.4141	14419.6104	12159.1895
2.1347	13648.7881	14245.5908	12021.2061	12710.2139	14445.6416	12684.9326	12923.0615	12152.8203	15167.6016	14050.958	13798.9551	13809.3037	14710.4023	11837.9551
2.2682	13554.9443	13064.3535	12202.0527	12563.6572	12835.2061	11996.4814	12381.8145	12616.4326	14172.1055	12726.3027	13054.2139	12864.5557	14907.7441	10803.5869
2.4016	12642.3789	12534.8018	12737.9238	12870.0498	12649.2256	12301.5957	12007.5	12036.3574	13594.6289	13368.043	12274.7822	12783.9521	14827.5488	10721.1445
2.535	12694.0459	13031.8164	NaN	12771.0352	12333.4023	12619.25	11601.1025	11785.0508	13219.0635	12578.1494	11827.9893	11711.1064	13130.084	10886.6758
2.6684	11144.0215	12378.3789	NaN	12290.8027	12089.7188	13049.5449	11431.9492	NaN	12567.9043	12264	11554.5771	11614.7139	12394.4893	NaN
2.8019	11183.2275	11965.25	NaN	NaN	11473.0234	NaN	11446.0303	NaN	12849.9736	NaN	NaN	11431.8779	12818.2109	NaN
