x	Y_20180212_14590b_16_2g	Y_20180212_14590b_17_1g	Y_20180212_14590b_26_6g	Y_20180212_14590b_28_3g	Y_20180212_14590b_9_7g
0	11421.674	11754.832	17943.676	12611.169	17060.752
0.1334	11811.882	12758.036	19130.824	14113.854	17440.637
0.2668	12557.911	13287.547	20781.887	15758.84	19392.533
0.4003	15152.697	14446.862	22173.744	18064.959	22008.291
0.5337	16799.691	16698.92	22051.764	17975.053	20294.545
0.6671	15700.384	17221.402	20165.789	17486.869	18705.41
0.8005	15607.891	16490.514	19232.033	17177.953	18300.514
0.934	15799.425	17269.445	19186.029	16723.584	19070.088
1.0674	14708.492	16885.273	18626.158	17030.098	19514.385
1.2008	14345.269	17265.959	17113.926	15914.582	20220.707
1.3342	14424.08	18321.252	16202.669	15288.926	21568.422
1.4676	15046.889	16714.789	15277.278	15599.398	23225.492
1.6011	14479.887	16739.029	15878.357	15485.707	24346.086
1.7345	15448.262	15767.567	17651.211	15644.92	24767.93
1.8679	16237.372	16223.825	18223.014	14831.61	22067.576
2.0013	17723.393	16355.473	NaN	14145.186	NaN
2.1348	19585.17	16917.043	NaN	13619.174	NaN
2.2682	20494.559	NaN	NaN	NaN	NaN
2.4016	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN
