x	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_4g	Y_20181208_15693b_11_5g	Y_20181208_15693b_13_16g	Y_20181208_15693b_2_16g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_3g	Y_20181208_15693b_3_4g	Y_20181208_15693b_3_7g	Y_20181208_15693b_3_8g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_4g	Y_20181208_15693b_5_11g	Y_20181208_15693b_5_18g	Y_20181208_15693b_5_19g	Y_20181208_15693b_5_9g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_16g	Y_20181208_15693b_8_22g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_14g
0	10665.1211	10714.9824	9973.7549	12407.0439	12066.6865	9825.0537	11368.7373	11517.002	10746.8379	12320.5439	9763.4258	12318.7324	10184.417	12051.3984	10190.8594	12149.5508	10327.5918	12051.4492	10387.1982	12088.0928	10592.6064	10446.8555	10315.877	9495.7871	11792.1807	11648.8057
0.1334	10577.6943	12022.9795	10702.3135	13519.1104	13380.2744	9519.3359	11853.2539	11882.3984	11196.1455	12405.7842	9712.0684	13133.4941	11583.3184	13279.9795	9937.5742	11985.4043	12024.8955	13355.2891	10519.2363	12053.9316	12717.9717	12057.6816	11017.1572	9281.3193	13115.0254	12274.2539
0.2668	12564.9863	15730.2119	11506.957	14690.8643	15218.0547	10731.3203	12824.0752	12648.6924	13438.4854	13362.0518	10689.9092	14961.9795	12844.9199	14652.7549	10173.3916	12874.3613	14339.7422	15295.1377	12330.9766	13518.2363	14987.3271	12963.7939	11194.4287	9633.4277	16584.4883	13059.6523
0.4003	15448.7139	19281.9453	12531.2158	15757.6982	16890.0039	12876.7939	14810.6074	14981.0938	15971.4229	15326.7158	11893.0508	18307.041	14680.9307	15159.7549	11167.1553	14724.6377	15589.0381	16109.8281	15714.3857	15427.9463	15865.4492	13631.7637	12118.9658	10649.9033	19050.2422	13494.875
0.5337	17769.4336	19185	12402.498	16512.2852	15673.4795	17077.3398	15925.8594	16867.6426	16715.3457	16598.5508	14175.7266	17531.875	16786.2949	13558.3643	12208.0547	15347.9043	15368.0088	15746.543	17689.8633	14246.6406	16174.4619	13948.4033	13253.8301	10962.998	18438.8887	14266.8125
0.6671	17498.6758	16731.5234	12407.8135	15829.752	14807.1807	18644.5117	16211.2959	16923.2227	14674.2969	17196.9375	16245.959	15381.0752	16582.0879	12807.4131	13273.8447	15527.2588	14999.6318	13949.5518	16913.959	14886.752	17214.6074	13543.2529	12697.9648	12408.7266	16530.5938	16355.3574
0.8005	17122.5059	15170.4199	12193.8252	15389.6094	13864.8154	15872.7529	16873.3887	17509.8516	13366.2236	15204.3564	16386.4844	14986.1035	19461.1055	11945.0586	13299.5723	15199.791	14033.3877	13459.2432	15577.4883	14572.915	17788.2051	14273.6875	11763.375	12835.6943	15035.0537	18283.25
0.934	15582.4717	14735.7412	12167.8037	14273.3184	12278.001	13942.5186	16417.918	17877.9922	12980.1865	14499.2891	16076.1104	15048.8662	18443.877	12483.3789	13526.2021	14916.7627	14220.2832	13563.9355	14468.627	14925.4941	17156.9062	15553.7842	11751.3057	12568.3086	13611.1357	18772.0664
1.0674	15488.8047	14656.6523	11884.248	13553.7715	14102.0566	13078.0605	16032.6387	16295.2646	12892.5479	15953.0508	14473.8799	15741.2559	18624.5215	12924.4102	13409.208	16461.5	14605.2607	12636.3496	15241.9258	15918.8203	14831.7354	14937.5879	11506.5107	12527.292	16111.0117	18236.9727
1.2008	15592.9893	14928.373	13075.9922	13243.5732	13149.8545	13182.3467	16319.6318	15370.0273	13340.5488	15805.2715	13836.1436	16348.6895	19654.8418	12110.8613	13261.2744	16472.1211	14748.665	12223.6934	15824.9727	15175.8965	14210.3633	13728.458	11075.8906	12457.8486	15084.0566	18375.002
1.3342	15847.7109	15218.8379	12703.4424	13558.8369	13934.9863	13645.6758	16713.209	15658.0586	14568.0215	15236.9814	13445.0117	15619.0068	17896.9082	11941.9287	12930.002	16790.7852	14702.3594	12608.4824	15293.5674	14990.5811	14994.2178	14186.1367	11673.3965	12740.9531	14107.3262	18534.6816
1.4676	15112.6416	15017.7109	12400.6045	13266.0371	13409.9893	13818.0742	15857.0674	15218.0586	15121.3857	15275.6035	13397.1006	15373.9678	18140.2402	12040.6982	12803.4414	16925.1777	14071.6387	12766.623	14739.3516	15137.5947	14292.0039	14962.1904	11739.3486	12594.0029	13643.9121	18108.2344
