x	Y_20181208_15693b_1_1g	Y_20181208_15693b_11_12g	Y_20181208_15693b_2_10g	Y_20181208_15693b_3_15g	Y_20181208_15693b_4_17g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_24g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_9g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_7g
0	27858.4941	31190.5039	25567.334	33102.0938	28326.9199	29852.8223	28339.7188	31575.2656	31398.5098	33119.0312	30216.0332
0.1334	26378.7617	32777.6719	24155.0312	32441.2754	28044.25	32480.6621	28815.5918	31800.4395	31760.502	32871.8086	29407.9766
0.2668	26907.4609	31962.1738	25324.6641	32046.2305	28034.7891	32069.0371	28714.6406	31544.125	30293.5352	33382.2695	30435.3047
0.4003	27502.1328	31841.5586	25770.9199	32835.3633	29179.7695	31658.1602	28631.6914	30016.0293	30131.4219	33630.4141	29531.707
0.5337	27457.6641	32282.0156	25626.6914	32467.8984	27811.4805	31378.4609	29147.0059	29950.9023	29754.584	33272.5781	29305.6953
0.6671	26630.3359	31430.2461	25610.4707	31698.9355	29093.2598	31780.6621	27983.0391	31463.5098	30380.3945	33204.6445	27244.9355
0.8005	27256.0547	30715.9824	25186.9551	31157.1445	30296.0742	31267.248	27713.4648	31593.6699	30529.3047	31580.9805	29149.9277
0.934	26784.2832	31181.7812	26437.9922	31845.0156	28024.1367	30824.9062	28994.002	32546.0645	29599.9258	31903.4434	29483.418
1.0674	26255.0527	31410.8496	26551.7344	31908.9102	28024.9023	31229.3184	30036.8145	31281.627	30261.3164	31995.7305	29239.418
1.2008	27251.8809	30931.6191	25196.5215	32931.9297	28576.9297	31208.1484	30178.2812	31031.0312	30115.707	32857.2617	29288.5469
1.3342	27128.957	31150.0742	24143.0352	34652.8398	27514.2695	31903.6465	29738.5977	34719.832	31320.6328	33614.0586	29974.7305
1.4676	27187.2637	32195.3418	25789.7754	33011.9414	29287.0098	32805.9727	30063.2988	36536.6758	30769.5449	33302.4102	31930.207
1.6011	28744.6172	31193.1758	25265.834	34699.6016	29739.9004	34980.8398	30104.6562	44279.3047	33329.9297	34708.625	32941.793
1.7345	30642.3828	32920.1562	26390.2695	36761.4922	32736.4102	38226.6953	31019.709	54319.707	34126.0352	35720.2656	32376.0879
1.8679	36254.0391	33599.2031	27015.5898	40954.9453	40403.0938	44245.2383	32207.4512	62089.9922	38925.7188	35761.9062	35206.625
2.0013	47962.418	33390.1797	27915.707	52188.8359	51252.2266	60887.5234	37887.4414	70274.6719	48636.9453	36367.5938	39112.3477
2.1347	52707.6172	32747.0527	29952.3984	71511.5312	54370.918	84493.8906	50902.4648	78567.7344	64982.6914	43751.2773	54904.125
2.2682	46619.6992	36246.7617	37898.0352	92503.7266	44308.6719	83536.1719	61185.9453	63792.0352	69204.9766	64412.9766	84146.0703
2.4016	38076.5273	41939.0742	52204.6367	80950.8828	35260.9023	60269.6445	58310.7109	43859.9102	54855.3164	104702.9609	95432.8359
2.535	33498.4141	60859.1797	66264.3359	55738.1289	31921.7812	47190.0391	42848.8164	39594.9922	39311.9883	116529.2969	71849.7266
2.6684	30302.8887	78133.0703	60495.2461	42089.4141	30679.1895	42501.1797	35719.0117	36869.5	35000.3047	88376.7891	48431.1094
2.8019	28931.123	77977.3281	45866.1953	37297.8281	30558.4199	39094.0469	33448.582	38946.3867	33694.4141	60325.7461	36848.5039
2.9353	NaN	56134.7773	42837.1406	34536.082	30391.1699	36257.4531	31796.7461	38085.0547	NaN	43452.3359	32699.6641
3.0687	NaN	44168.2852	46604.793	34493.2539	NaN	34079.5781	29627.7598	36779.2578	NaN	37353.8125	33191.6328
3.2021	NaN	38806.4492	NaN	NaN	NaN	NaN	30539.9805	NaN	NaN	35893.9805	32210.332
3.3355	NaN	36845.9648	NaN	NaN	NaN	NaN	NaN	NaN	NaN	35007.2109	NaN
3.469	NaN	36998.7734	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	35921.3047	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
