x	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_2g	Y_20181208_15693b_11_10g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_12g
0	13889.5361	14738.4697	11557.1777	11724.4014	12417.8574	12572.457	15358.9717	10809.499	12218.9756	11744.96	11070.1387	10654.1875	11586.2637	10439.5488	11658.7314
0.1334	14738.7832	13916.1328	13205.8252	11368.5498	12516.8848	13713.7627	16196.1621	11018.6514	13766.4688	12212.793	12450.5967	11327.3477	11787.5215	12347.3584	12176.5713
0.2668	17773.4785	13768.375	15105.5566	11426.1992	12752.6758	15952.9863	15680	11951.8799	17843.3066	12043.0488	13416.3516	11863.3389	13298.1924	15793.5869	12372.8096
0.4003	20689.1602	13414.7129	17619.4766	12778.3926	14826.4609	18670.8223	16432.793	14095.9521	22143.5293	12451.8857	14707.127	12369.8711	14638.0361	17798.7656	13750.7949
0.5337	21287.4434	15172.0459	17050	15084.9336	17025.7363	18101.8398	16459.375	16762.6133	21849.877	14857.5537	14127.9375	13601.5596	15508.7158	17677.3945	16605.2559
0.6671	18222.9414	18125.8691	15060.6816	18337.4844	16697.5352	16146.5	15373.9189	18693.8984	19546.4238	17442.4395	13146.3896	13363.7764	14302.9463	16103	20636.7676
0.8005	17522.7656	21460.7559	13409.2168	18147.6406	16767.0078	15541.8496	15530.3564	19270.9648	16756.4609	20238.2715	12682.0078	12487.7236	15402.7236	15149.4668	25228.0273
0.934	16754.4453	20986.4844	13397.0703	17240.1797	17052.0059	14478.9141	15608.4668	16617.4844	15882.9365	19807.5254	11734.8809	11094.3887	16124.7783	13722.002	25830.3359
1.0674	16011.25	19767.0312	12787.9873	15327.4473	16853.7539	13242.9463	14942.6572	13296.8105	15396.9707	16977.8574	12340.4629	10624.4219	16086.041	13455.332	21699.8125
1.2008	14019.3564	19723.1406	12328.5088	14088.9346	15944.7725	13166.3467	14712.0664	12289.3584	14747.3311	16061.2842	12365.3574	11168.9209	14751.2227	13799.2812	19207.5566
1.3342	13465.5391	18836.2539	12807.6826	13364.0713	16993.7246	13339.3242	15118.208	11797.3018	14871.4336	16139.9746	12879.9492	11510.4893	13513.7188	14173.8223	16658.8398
1.4676	12558.2891	16467.5332	13497.4219	13677.9355	17493.9023	14562.3711	14403.8545	12742.8398	15422.6855	16670.4258	13640.7383	11718.6523	12430.6182	13746.0332	14676.6846
