x	Y_20181208_15100_13_10g	Y_20181208_15100_13_4g	Y_20181208_15100_15_8g	Y_20181208_15100_16_2g	Y_20181208_15100_27_1g	Y_20181208_15100_6_1g	Y_20181208_15100_6_4g	Y_20181208_15100_8_1g
0	13802.5762	12193.7305	10708.5977	13071.1016	14307.8643	15163.2197	13417.5938	10893.8037
0.1334	14665.1191	11859.3184	11256.6338	13369.0479	15211.6885	15768.7549	13338.9385	12008.0771
0.2668	16078.3887	11922.5176	11527.8125	13904.5635	16946.6543	16721.6426	13609.668	12936.7041
0.4003	19774.3809	12359.1592	12555.9668	14703.1123	21333.8945	17815.2363	13856.5469	14433.335
0.5337	26608.1426	14013.0088	15298.2627	17473.793	24336.9258	18702.1309	14215.6738	15977.459
0.6671	32679.7383	17107.3418	15810.2344	20397.9199	20533.1934	17606.7148	16528.5938	16287.0146
0.8005	29116.4824	18201.0352	15050.249	19023.5527	17780.7383	14566.3691	20347.1406	16427.8555
0.934	23754.9902	17934.1582	14228.4473	16964.5566	16838.7871	15575.7266	21274.6484	15822.624
1.0674	19564.2422	17947.4434	13577.1377	16627.709	17477.459	15947.7754	18311.3301	14735.9902
1.2008	17223.6055	15471.707	13620.3848	18393.2207	16991.4023	15571.0254	14344.6787	13742.75
1.3342	16797.2441	16105.4014	14408.5107	20492.1973	16529.1562	17304.0293	13487.3398	13546.2764
1.4676	16879.8359	16294.2588	15028.5371	19601.1367	15404.3193	17894.5254	14055.8477	13804.0078
1.6011	15945.0488	19318.207	14924.2744	16833.8008	14397.9229	16620.6113	14193.1602	13792.9736
1.7345	14873.9004	19665.4531	13688.7637	14146.9453	14069.4834	15966.9033	14131.5088	13765.6045
1.8679	13302.1719	18259.8203	14066.6846	13305.583	13717.6357	15543.1875	14515.7627	12996.1592
2.0013	12724.8633	15674.9912	13976.7178	12996.7617	13144.0195	13790.8975	14179.6025	12179.0986
2.1347	12497.7559	13787.6826	13281.3174	13471.6963	12115.084	14959.502	13842.8154	11904.1211
2.2682	13006.127	12238.3496	12749.002	12845.3896	12630.377	14651.5283	13167.9756	11779.7393
2.4016	12050.1973	12455.0762	12623.3965	12794.8818	12032.6279	14491.2803	12171.8291	11330.3506
2.535	12941.2549	13350.0957	12269.2305	NaN	12230.5986	14268.2803	11549.6533	11595.5049
2.6684	13083.0977	11869.583	12409.8408	NaN	NaN	NaN	12859.9922	11979.5264
2.8019	NaN	11826.999	13052.7412	NaN	NaN	NaN	13378.3486	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
