x	Y_20180224_15100_22_1g	Y_20180224_15100_26_2g	Y_20180224_15100_7_7g	Y_20180224_15100_8_2g
0	12970.83	12490.412	13112.767	16040.439
0.1334	13267.824	12481.775	13858.19	17943.508
0.2668	14541.992	13465.224	15347.229	19110.932
0.4003	16096.47	15030.043	18992.676	19342.197
0.5337	18329.92	17251.879	20860.348	19186.688
0.6671	22575.777	19076.666	19857.639	19219.74
0.8005	21803.547	18325.807	19851.857	18737.051
0.934	18588.02	17810.051	18801.246	19011.482
1.0674	18116.406	16996.387	18540.541	19173.672
1.2008	19599.24	17928.715	19095.258	18958.873
1.3342	22567.125	16797.023	19381.295	18679.584
1.4676	20569.295	16048.884	20204.061	18329.391
1.6011	18962.969	17207.461	20041.879	19328.641
1.7345	17709.625	17670.543	19403.287	19651.705
1.8679	17398.434	17277.668	20468.129	18915.369
2.0013	16441.631	16787.336	20751.217	17894.033
2.1348	16922.648	17230.686	19890.656	17800.777
2.2682	17412.598	17795.088	19110.178	17474.748
2.4016	16721.502	17851.922	19310.686	16589.949
2.535	15804.509	17559.695	18687.314	17215.467
2.6684	16399.373	16340.888	19064.818	16006.183
2.8019	16855.508	15985.966	18117.803	16331.095
2.9353	16940.75	16129.549	16538.533	15625.554
3.0687	16165.956	15815.294	15813.69	15659.659
3.2021	15643.398	16120.646	15904.609	14990.148
3.3356	14862.082	15013.3	16689.758	NaN
3.469	14610.614	14532.087	16464.441	NaN
3.6024	14736.725	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN
