x	Y_20180212_14590b_1_10g	Y_20180212_14590b_1_12g	Y_20180212_14590b_1_15g	Y_20180212_14590b_1_1g	Y_20180212_14590b_1_2g	Y_20180212_14590b_1_5g	Y_20180212_14590b_1_6g	Y_20180212_14590b_1_7g	Y_20180212_14590b_1_8g	Y_20180212_14590b_10_1g	Y_20180212_14590b_10_6g	Y_20180212_14590b_11_4g	Y_20180212_14590b_11_6g	Y_20180212_14590b_12_1g	Y_20180212_14590b_12_2g	Y_20180212_14590b_12_6g	Y_20180212_14590b_12_7g	Y_20180212_14590b_13_1g	Y_20180212_14590b_13_2g	Y_20180212_14590b_13_3g	Y_20180212_14590b_13_6g	Y_20180212_14590b_15_1g	Y_20180212_14590b_15_2g	Y_20180212_14590b_15_6g	Y_20180212_14590b_16_1g	Y_20180212_14590b_16_2g	Y_20180212_14590b_17_4g	Y_20180212_14590b_17_6g	Y_20180212_14590b_17_7_2g	Y_20180212_14590b_18_1g	Y_20180212_14590b_18_3g	Y_20180212_14590b_18_6g	Y_20180212_14590b_19_3g	Y_20180212_14590b_2_5g	Y_20180212_14590b_20_5g	Y_20180212_14590b_21_2g	Y_20180212_14590b_21_3g	Y_20180212_14590b_23_6g	Y_20180212_14590b_24_2g	Y_20180212_14590b_25_4g	Y_20180212_14590b_26_2g	Y_20180212_14590b_26_7g	Y_20180212_14590b_27_1g	Y_20180212_14590b_27_2g	Y_20180212_14590b_28_1g	Y_20180212_14590b_28_2g	Y_20180212_14590b_28_4g	Y_20180212_14590b_28_5g	Y_20180212_14590b_29_3g	Y_20180212_14590b_3_2g	Y_20180212_14590b_3_3g	Y_20180212_14590b_3_5g	Y_20180212_14590b_3_8g	Y_20180212_14590b_30_3g	Y_20180212_14590b_30_5g	Y_20180212_14590b_31_2g	Y_20180212_14590b_31_4g	Y_20180212_14590b_32_1g	Y_20180212_14590b_32_3g	Y_20180212_14590b_32_4g	Y_20180212_14590b_32_6g	Y_20180212_14590b_33_1g	Y_20180212_14590b_33_2g	Y_20180212_14590b_33_7g	Y_20180212_14590b_34_2g	Y_20180212_14590b_35_1g	Y_20180212_14590b_35_4g	Y_20180212_14590b_37_2g	Y_20180212_14590b_37_4g	Y_20180212_14590b_39_2g	Y_20180212_14590b_4_1g	Y_20180212_14590b_4_2g	Y_20180212_14590b_4_9g	Y_20180212_14590b_40_1g	Y_20180212_14590b_40_3g	Y_20180212_14590b_41_2g	Y_20180212_14590b_43_4g	Y_20180212_14590b_44_2g	Y_20180212_14590b_44_3g	Y_20180212_14590b_45_1g	Y_20180212_14590b_45_5g	Y_20180212_14590b_46_3g	Y_20180212_14590b_46_4g	Y_20180212_14590b_47_2g	Y_20180212_14590b_47_5g	Y_20180212_14590b_48_12g	Y_20180212_14590b_48_2g	Y_20180212_14590b_48_3g	Y_20180212_14590b_48_4g	Y_20180212_14590b_48_5g	Y_20180212_14590b_48_7g	Y_20180212_14590b_48_8g	Y_20180212_14590b_48_9g	Y_20180212_14590b_5_10g	Y_20180212_14590b_5_12g	Y_20180212_14590b_5_5g	Y_20180212_14590b_5_6g	Y_20180212_14590b_5_9g	Y_20180212_14590b_6_1g	Y_20180212_14590b_6_2g	Y_20180212_14590b_7_2g	Y_20180212_14590b_7_9g	Y_20180212_14590b_8_6g	Y_20180212_14590b_8_8g	Y_20180212_14590b_9_2g	Y_20180212_14590b_9_5g	Y_20180212_14590b_9_7g	Y_20180212_14590b_9_8g
0	15505.955	13884.15	15646.871	17271.621	13923.408	13519.689	14021.781	15740.1	12026.485	13995.632	13634.142	17501.232	12639.1	17009.684	13049.484	14361.497	13879.635	13994.616	15108.05	14645.059	13620.908	14123.133	14020.607	15584.409	12313.927	14664.258	15939.087	15912.562	14417.034	16528.176	12078.775	13063.382	13636.031	12719.844	16268.169	14385.61	13252.543	13082.801	15298.9	13810.308	13222.941	14775.572	13542.951	13849.354	13606.9	14261.798	16597.691	13076.938	13244.879	15305.847	16390.812	14574.076	15031.383	13513.17	14206.254	15271.227	14378.884	15958.317	14259.069	16532.492	15691.315	15493.406	12817.966	15348.539	14757.553	16216.022	14439.097	13327.221	15242.285	15807.244	16295.474	13567.314	14226.592	14695.031	14066.795	14385.876	14453.24	13890.618	20296.498	14609.616	15379.378	14878.886	15015.586	15704.294	14016.851	12567.673	15495.031	15950.449	14359.656	13043.897	17382.002	13080.889	13277.3	14960.002	15393.694	13651.652	13671.042	15866.076	12984.581	17560.381	14711.422	15480.168	13295.812	12909.635	15177.754	14160.704	14202.659	15426.331
0.1334	15973.331	14663.065	15227.772	16929.275	13696.6	15517.912	14936.912	15147.985	12015.44	13739.917	14380.918	17778.584	13272.97	17018.592	15611.074	17237.105	13930.765	15514.659	16467.393	14773.38	13432.202	15046.086	13613.106	15742.883	12938.412	14038.026	16066.669	17010.727	16487.68	16221.455	12664.08	13454.354	14403.582	12608.565	17611.949	15314.989	13666.211	14074.34	16764.045	13740.895	14270.321	15510.414	15852.536	14202.473	13750.887	14469.384	16762.434	13703.379	14141.128	15490.082	17561.568	15168.695	16016.176	14612.708	14897.279	16795.053	15671.047	16289.297	14134.836	15965.767	15249.833	16235.54	14761.046	16710.354	15069.014	17568.436	16487.615	13302.512	15590.259	15809.498	17300.922	16360.232	15037.505	15682.423	16966.846	15245.293	15012.999	14297.957	21459.234	14864.117	15595.466	14868.052	15883.876	15459.236	14397.379	13274.238	16456.5	16949.744	15894.339	13597.774	19003.438	13521.677	12912.342	14788.698	15666.606	13755.799	13829.195	16876.135	14535.102	17410.104	14986.033	15307.325	14093.794	13838.447	15866.479	15940.389	14591.626	16633.406
0.2668	18595.848	16716.469	16361.312	18592.943	14302.453	19034.697	15478.395	16253.938	13191.744	15183.143	17546.029	18757.002	15113.865	17900.018	18774.176	23454.834	14622.967	18666.598	19457.564	15549.537	13932.187	16083.337	14478.395	16536.771	13046.99	15445.485	17014.055	19188.641	19328.143	16715.266	14088.587	14062.66	17298.826	14989.653	18967.842	15778.417	15844.636	15079.461	16855.562	14761.323	16114.861	18316.84	18816.65	14678.544	14252.663	15067.246	17148.684	14650.864	15420.059	16287.538	18135.205	15973.084	18486.461	16401.664	15262.005	18724.9	17376.6	19243.59	14043.986	15509.955	15214.341	17047.225	19675.451	19171.762	17678.117	19770.117	19943.9	13876.711	15882.16	16707.537	20650.453	18709.055	17964.645	19037.766	18763.018	16005.277	16742.576	14391.497	24744.914	17227.795	16354.189	16428.771	19190.775	16845.455	16863.482	14944.097	18339.676	20255.975	16870.227	16260.785	22461.896	14579.534	14692.451	14796.307	16061.509	14662.766	15338.292	19323.338	15772.794	17016.412	17879.738	15742.738	17236.877	14991.128	15908.679	16838.367	15959.98	19341.539
0.4003	22152.539	18454.527	19266.951	20925.701	15890.716	21178.014	17035.354	19185.021	15061.52	16751.141	19453.578	19877.844	16743.586	20368.188	21066.969	28968.086	16354.709	22216.406	21780.975	18934.879	14958.648	17855.492	15737.951	18724.498	14152.926	17860.436	20334.969	20701.848	20720.961	18666.414	15242.43	15155.439	21150.107	18261.938	24989.756	17385.406	17814.961	18054.76	19954.479	18234.418	18612.779	24098.203	18408.584	16696.195	14622.259	16677.672	18924.564	18205.344	16789.367	17447.299	20554.695	18828.551	21335.201	20032.055	16741.131	18998.586	19066.906	20860.537	14658.507	16468.68	16877.748	19904.283	26341.9	19872.516	19507.551	20829.064	23853.676	14689.598	18337.199	17611.92	24150.83	18690.428	22022.918	20534.512	20374.977	18088.125	18607.607	16218.474	28200.326	19372.926	18237.936	19514.883	23731.258	20338.176	18332.742	15797.236	19431.246	24011.193	19292.572	17960.275	24988.562	17046.576	17477.473	17184.5	17819.199	17368.102	17813.238	25703.707	17129.434	19385.76	21377.588	19584.949	20266.311	17503.984	18461.533	19857.213	18930.471	20101.09
0.5337	21256.602	18598.703	19082.109	24404.992	18259.811	19598.049	18124.375	18917.783	17285.814	17668.346	17774.25	20147.312	18858.057	21281.984	20615.859	28805.873	18815.223	22684.086	22170.777	23914.9	18567.607	19736.221	18671.617	21092.816	17386.006	19881.492	26115.717	19112.152	20123.129	19563.408	18213.141	17409.977	22876.006	21683.703	31602.635	19613.188	18994.32	17316.814	20662.848	20644.674	21799.984	28682.846	18027.588	20611.191	18617.867	20100.525	23280.045	19201.357	19195.516	17412.34	22310.047	22234.584	22817.535	20923.527	17399.051	18743.449	20395.455	20724.99	16351.149	18391.633	18692.498	24136.107	29130.414	19073.775	19366.223	19539.471	26250.098	15295.174	18866.502	20664.438	21636.609	17176.977	24106.43	18673.391	19245.789	20481.041	21534.775	19017.705	28906.963	20437.912	20468.289	22142.621	24141.254	23401.547	17992.533	14173.088	18438.414	23412.578	20481.268	18591.645	25373.299	19514.947	16625.84	22422.203	21867.037	18980.256	17859.207	30302.961	18327.809	19163.371	20577.586	22610.74	23297.152	18454.879	20785.02	19006.928	20465.996	19696.58
0.6671	20285.441	17743.197	18498.812	25071.355	17904.889	18326.48	17443.449	18328.863	18172.051	16294.41	16090.169	19813.24	17484.365	20231.346	19005.027	24623.426	20347.852	19750.619	21501.963	27104.434	18829.871	21311.865	20819.514	19552.557	20253.062	19887.271	28959.863	16986.17	19199.166	21253.518	24035.469	20493.451	19752.828	24346.279	32641.258	21651.627	17242.164	16200.343	18940.123	20920.197	20451.275	25557.285	16480.617	20007.322	17723.652	21153.135	24401.646	18760.479	18584.076	16314.608	25787.617	23141.053	22598.119	19060.137	16551.514	18763.305	19038.252	18487.506	17724.424	21326.416	18318.295	26530.705	24767.645	16941.885	19698.701	17840.1	25040.115	15164.626	16062.891	21491.582	18467.799	15846.634	21789.584	16138.289	18648.77	21815.59	19573.828	21028.094	28166.344	19607.197	21219.48	23352.064	21164.73	23329.961	16937.635	13871.409	18921.738	18557.617	19483.416	17365.635	24889.186	21787.76	15782.67	23037.582	21919.447	18852.357	16619.867	29284.576	16519.322	17993.562	19647.02	20274.643	23363.461	18952.252	19991.516	17854.867	20409.613	20654.91
0.8005	18469.797	17016.984	17884.939	23652.039	16407.822	17472.725	17419.949	17380.291	18965.891	16236.807	15577.966	19109.736	15903.969	20195.791	16135.404	21802.445	20150.625	18018.91	20749.484	24601.285	18832.686	19400.254	19957.963	17600.961	19176.607	20127.168	25465.439	16568.838	17510.557	21457.887	25262.746	23522.109	16542.064	22937.406	27461.117	21003.385	16172.311	15136.812	18316.738	20597.061	16990.117	20851.387	14657.973	18693.164	16785.926	20743.039	24470.285	17884.184	17605.178	16117.029	23328.223	22220.449	20383.762	16735.1	15825.673	18301.307	19063.332	16448.822	17164.494	20678.518	17137.223	26232.314	20865.094	17199.586	19238.807	15677.304	21982.416	14742.535	14501.657	20108.611	15600.035	15309.036	18406.068	16418.215	17515.631	21233.75	21523.111	19502.504	25321.887	18658.604	20987.988	20969.32	18887.631	19282.268	15017.401	13135.16	18933.646	16534.191	18386.938	16178.68	22545.168	21029.395	14583.086	22289.107	21722.107	17905.344	15348.87	24398.105	14120.126	16742.496	19913.385	18259.973	21530.59	18621.062	17875.324	18458.566	20187.812	21580.516
0.934	17765.512	15926.827	18173.711	21085.016	14937.887	16923.613	18369.641	17847.246	19115.002	15848.749	16105.817	17532.145	14700.914	21007.252	14213.119	22106.018	18369.346	15648.873	18743.309	23456.619	17364.904	17553.916	16610.754	16786.836	18878.365	19145.926	22968.5	16478.555	17193.605	20852.256	22004.432	24450.197	15967.194	24353.221	23459.041	18800.6	14991.978	15383.168	16887.686	20030.52	15730.037	17385.502	14796.944	16281.848	18500.912	19417.338	23359.699	17278.021	15677.967	16762.023	19786.701	19475.748	18889.627	17230.918	16250.267	18429.619	18578.984	14899.551	16001.265	19348.623	16571.76	22004.523	17406.322	15330.896	18858.191	15393.242	20352.516	14284.328	14951.054	17117.854	15426.759	14851.089	17819.439	17391.016	17007.619	18420.682	20359.777	18846.018	24270.66	18027.896	20533.525	18108.602	18534.086	16494.182	14733.766	13249.275	19469.064	16217.061	17404.514	15634.717	21975.76	19611.277	13838.436	20822.676	19267.625	18715.199	13863.342	22491.938	13431.372	16700.48	19498.48	17588.723	20542.91	19905.293	16049.409	17127.293	19282.703	21378.734
1.0674	16654.918	15654.475	16538.691	20064.43	14834.143	17238.201	16763.773	16437.609	18004.625	15657.634	16160.437	17905.41	15581.076	21384.799	15624.269	22533.262	17950.359	14123.798	17414.67	23305.73	15844.184	15441.248	15369.966	15875.489	17653.592	17847.949	20241.504	16708.85	17382.775	18863.102	19219.455	22746.041	15048.214	23780.184	23508.658	17805.766	13882.43	16181.82	15299.192	18115.344	15324.372	15826.87	15513.11	14302.086	16850.486	18492.342	22733.715	17587.85	15073.674	16174.403	17774.746	18290.938	17274.637	16061.014	15854.236	18980.346	17083.812	14326.138	14413.518	18235.168	15647.546	19096.158	16162.867	15469.184	17777.9	15215.896	18447.793	13517.903	15678.271	15473.123	16255.939	14648.537	18176.887	17941.156	18109.961	17966.988	21293.66	18292.242	22545.117	16599.053	20237.939	17059.283	17735.008	16184.86	14714.973	13600.593	18804.334	15808.653	16779.736	15211.223	19197.033	17222.168	14280.921	19183.666	18625.49	18735.828	14682.177	22404.424	14097.643	18099.197	18266.881	19098.949	19586.266	18795.539	15939.798	16154.717	19303.965	20047.553
1.2008	17469.055	15946.907	15771.77	19247.498	15763.855	16583.84	14805.701	15464.826	16947.381	15151.411	16276.388	18919.088	15346.001	21071.627	16822.391	22781.52	16316.656	15523.583	16636.326	21898.529	14767.532	14289.307	15787.027	15127.969	15451.464	16271.586	17730.033	18803.105	16221.327	16406.457	18233.877	20385.492	15749.129	20194.518	22189.609	16256.729	13618.485	17606.402	13571.25	17911.656	13830.063	15882.962	16508.541	14028.9	17046.934	17147.562	21508.193	16452.494	15864.939	16338.266	16601.73	18395.264	17618.232	16760.074	16401.252	20069.299	15714.135	15052.67	13856.368	17304.74	17251.818	16630.291	16386.016	15916.196	18402.533	15790.44	16509.805	12638.193	16418.299	16247.333	18671.951	15790.808	17848.09	18198.961	17467.656	17994.074	21425.105	18153.605	24469.492	17127.465	18721.117	16692.486	16063.987	15405.559	14632.285	13870.789	18712.203	16367.102	17025.619	15862.972	19134.406	15150.206	14425.922	19232.156	19386.168	20079.373	14839.369	21175.172	14017.429	17758.307	16703.789	21157.512	17758.125	19131.508	15044.416	14515.233	18991.957	19216.213
