x	Y_20181208_15692_37_2g	Y_20181208_15692_38_8g	Y_20181208_15692_43_15g	Y_20181208_15692_44_5g	Y_20181208_15692_8_6g
0	10555.5312	9440.2939	9983.8408	9603.9463	10762.3438
0.1334	11937.0928	8940.541	10657.2441	9869.5244	10443.6367
0.2668	14513.8057	9001.3525	10929.2559	10502.8945	12135.1104
0.4003	16080.3408	9979.6299	11645.8564	11841.2793	14099.8027
0.5337	14824.1045	11301.1992	13837.3955	16221.4355	17965.8281
0.6671	14390.6807	13768.4609	14841.6406	21583.9102	17677.5605
0.8005	14435.4092	16874.4453	13612.459	23901.8906	16975.7695
0.934	15045.2676	18403.418	13756.7471	21180.8281	15978.9639
1.0674	15716.8662	16211.2295	13750.0254	19085.3633	15904.8457
1.2008	15960.7832	15372.5312	13490.1445	17808.5078	15659.877
1.3342	16988.2969	14648.9238	14260.2637	16617.0332	16282.8662
1.4676	18033.3594	15155.4004	14269.6797	16939.0215	14717.4473
1.6011	17905.4941	14157.9482	14355.2959	16151.5967	15066.5342
1.7345	18315.5645	13470.1416	14030.5713	15992.5088	14970.4502
1.8679	17318.1152	13897.7773	14201.0879	15922.9004	14276.5527
2.0013	16604.7363	12954.9082	13824.7969	15300.9619	14069.167
2.1347	16192.5498	13254.0508	14897.6582	14625.7314	13836.8174
2.2682	15691.667	12749.0283	16705.0352	13865.2832	13722.3066
2.4016	16600.7207	12829.0684	15914.0273	13565.7168	13487.2275
2.535	16227.041	13862.7266	15970.335	13503.0732	12816.5566
2.6684	15124.7812	13763.7705	14721.3389	13189.6172	13544.209
2.8019	13960.7217	15133.9961	13410.7158	12966.9541	13907.1445
2.9353	14246.1309	15158.0859	13367.7783	12522.2002	13247.3809
3.0687	14298.2422	15144.2891	13280.7549	12226.291	13282.0039
3.2021	13885.9453	15007.043	13481.7852	12202.9609	12433.8203
3.3355	13325.2881	14587.8467	13351.8496	12837.3418	12123.7188
3.469	12515.3643	14872.7529	13280.0107	12309.4658	12603.7334
3.6024	13177.4697	14178.1279	13078.1035	12454.5264	12154.918
3.7358	13702.1357	13746.293	12978.0674	12024.3193	11653.5127
3.8692	13311.123	13209.1152	12353.541	11444.8945	12151.8164
4.0027	12480.6455	12598.1973	12026.4521	11264.4619	NaN
4.1361	11582.6807	12633.9033	12148.5947	11045.9131	NaN
4.2695	11448.1123	11452.1924	12139.0898	11280.002	NaN
4.4029	10240.9102	11877.623	NaN	NaN	NaN
4.5363	10053.8545	NaN	NaN	NaN	NaN
4.6698	NaN	NaN	NaN	NaN	NaN
