x	Y_20181208_15693b_11_14g	Y_20181208_15693b_11_4g	Y_20181208_15693b_11_7g	Y_20181208_15693b_12_6g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_5g	Y_20181208_15693b_13_6g	Y_20181208_15693b_5_25g	Y_20181208_15693b_5_8g	Y_20181208_15693b_6_9g	Y_20181208_15693b_8_16g	Y_20181208_15693b_9_15g	Y_20181208_15693b_9_1g
0	10274.8096	13068.4434	11700.585	11451.3643	10594.415	10260.2578	10668.6348	10725.1729	12621.457	9142.6152	11808.0205	10609.167	11511.7412
0.1334	11282.502	13577.835	13120.709	11387.4316	10984.8486	10102.2793	11855.083	11038.6758	13363.6709	8957.1191	11366.8643	10706.4893	12761.9707
0.2668	14172.3398	15898.6992	15395.5811	11928.0557	11507.1494	10361.6895	13545.9453	12155.0176	14022.207	9222.1074	12298.3447	11366.7305	15947.3486
0.4003	17781.1875	18876.6426	17423.3418	12764.8926	12782.2549	11085.1143	16016.0947	13387.2832	15159.6426	9462.3408	14490.1104	11588.4111	18328.5098
0.5337	18754.373	23015.2969	17229.791	14565.5537	12501.1406	12113.8506	18206.3223	16095.2363	17795.9062	11201.9355	17111.2852	12394.877	16750.5684
0.6671	16982.5605	20738.7832	15151.0977	15376.5625	14112.5684	15220.6631	20254.5098	17687.8184	20019.6797	14761.5928	18234.1035	13388.1152	14300.8057
0.8005	15578.7432	18853.8047	14177.96	15757.1709	15631.4395	19770.5371	18904.6641	17939.0332	19330.7207	19348.1133	15874.4346	14960.7373	13743.7969
0.934	13958.0186	17829.7441	13219.0938	15174.6768	16060.4434	19615.668	18080.166	15810.2383	16819.252	20684.8691	13868.748	15694.6289	13766.6787
1.0674	13956.4189	16051.3848	12622.2354	13617.9482	14780.875	15308.7061	17830.2422	15076.4033	15868.3613	19649.4238	12923.8154	14654.6309	14133.7324
1.2008	14360.0264	15312.0986	13528.4551	13309.4932	14077.3457	13539.1729	16861.8789	14036.5928	14966.9336	17846.4941	11999.501	13463.2363	14002.8174
