x	Y_20181208_15692b_11_10g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_13g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_22g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_8g	Y_20181208_15692b_12_6g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_1g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_5g	Y_20181208_15692b_17_6g	Y_20181208_15692b_2_3g	Y_20181208_15692b_3_1g	Y_20181208_15692b_3_2g	Y_20181208_15692b_3_6g	Y_20181208_15692b_3_7g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_8_6g
0	31761.209	29507.2402	31858.5	25968.9863	24898.1582	31819.3301	31285.4336	28780.0234	33059.9023	28486.0645	30795.6504	28794.7949	28957.1016	26913.0898	30895.3574	26731.7461	28477.2012	32724.4746	31172.7461	28451.5469	32661.3086	30032.4082
0.1334	30748.0117	30978.7559	32152.3027	26591.2285	23151.1797	32752.207	31057.9551	28589.8164	31472.5039	30027.8652	29799.6172	30221.8906	27945.6562	28027.707	30426.7422	28492.5527	28564	31342.0996	31607.9766	28445.8477	30480.8867	30679.2129
0.2668	30824.0391	32860.793	31879.4062	26826.2754	23936.668	31859.4922	31621.1465	28824.6191	32199.7949	29524.1895	30151.4453	30052.8848	28984.084	27743.0801	30607.3535	28981.7871	27608.3672	30670.4434	32201.9688	28297.2363	30797.1562	32234.377
0.4003	28814.3242	33308.7305	32071.6543	27702.9844	24317.6992	32053.709	31510.5957	29204.7168	31913.0977	29954.5625	30023.0957	28986.3027	28236.123	27559.1992	31987.1738	28233.3965	27652.3965	32632.2988	32977.5195	28826.0586	32122.8555	31514.0332
0.5337	29884.6953	32086.252	31692.873	26047.7754	25756.6543	31924.3594	31297.2559	29578.0449	31539.9805	30614.8594	31407.9316	30390.9512	28523.3027	26855.7227	29174.4531	28293.3418	27075.2793	31495.3711	31695.1504	29705	31722.3535	31916.3242
0.6671	29551.3125	32530.3613	30776.0508	27339.8438	25734.1562	29280.0898	31626.5996	28600.3047	32559.959	29426.7949	31199.8945	30913.2207	27896.7109	26943.9648	31090.0801	27123.3984	27666.6426	31532.3047	32569.4668	29666.7695	31062.6152	30360.2383
0.8005	31205.041	30912.9082	30263.6074	27158.1641	27413.2188	29838.7988	31238.5664	27940.3574	32276.2695	29058.043	30919.8008	31249.6621	29226.4629	27179.0098	30763.7207	28335.9199	28945.0684	32085.5195	31607.5215	30298.8516	31215.7891	31641.4043
0.934	32408.0801	30455.3047	29941.0273	27901.5664	31111.084	30016.7031	32222.0508	27677.7129	31151.4277	27496.4922	32173.1484	31729.6699	29296.0938	27149.4453	32788.5156	28900.293	33235.75	31900.9062	31696.7461	30501.541	30756.5508	30605.8516
1.0674	32898.0586	28957.3984	30710.7168	26975.6543	38033.3203	30893.625	34194.7617	27426.3496	31210.9375	29466.7793	32921.2148	32037.9512	31515.8926	28975.4961	33625.2891	30579.6113	45741.7227	32487.1836	31783.1699	29278.6074	30681.3418	31060.3691
1.2008	36357.5547	30507.6973	31653.6465	28813.4395	53953.4414	31080.8438	39462.3359	28593.1523	31260.834	29078.3574	34694.5352	32886.4961	33431.0898	30824.2695	36993.6602	34798.8477	67447.3828	33512.2266	32107.8398	31949.4258	32391.3145	32946.0859
