x	Y_20180212_14590b_1_3g	Y_20180212_14590b_15_10g	Y_20180212_14590b_15_5g	Y_20180212_14590b_16_7g	Y_20180212_14590b_16_8g	Y_20180212_14590b_19_2g	Y_20180212_14590b_20_2g	Y_20180212_14590b_23_5g	Y_20180212_14590b_24_1g	Y_20180212_14590b_24_3g	Y_20180212_14590b_24_5g	Y_20180212_14590b_28_6g	Y_20180212_14590b_29_4g	Y_20180212_14590b_31_3g	Y_20180212_14590b_35_3g	Y_20180212_14590b_38_3g	Y_20180212_14590b_45_3g	Y_20180212_14590b_45_4g	Y_20180212_14590b_48_1g	Y_20180212_14590b_48_6g
0	12134.811	13868.959	14468.751	13222.148	12684.294	11089.747	14201.06	12345.222	12767.961	14682.002	13021.197	11662.749	12638.168	14309.4	12588.6	13802.207	13332.646	13558.45	15519.081	14915.034
0.1334	12644.733	15795.303	14802.718	13925.663	13931.991	11996.271	15063.51	14631.802	14725.08	16697.395	12842.954	12348.006	13343.52	16176.801	14409.455	13507.865	15469.312	14074.948	17855.709	15335.272
0.2668	14782.197	18343.383	17924.18	15904.81	13948.724	13635.985	16608.213	16966.906	19373.336	20762.17	13463.005	12842.171	15421.846	19829.789	18471.75	14831.753	19895.605	16526.428	20866.955	18635.596
0.4003	17633.766	21716.508	22462.258	20410.826	15911.173	15238.562	20030.898	19677.381	25108.242	27046.926	14745.562	14820.745	16946.701	24492.607	21530.719	15751.158	25652.275	17484.277	26545.398	21380.881
0.5337	20590.908	21500.111	22244.188	25754.217	18253.023	16545.129	23641.23	21489.459	24930.254	27896.805	15894.583	17686.359	16748.328	28522.633	24629.584	18614.602	29324.562	20168.957	27888.887	24502.205
0.6671	20338.42	21474.973	20404.527	25191.189	22175.154	16594.602	22641.465	22055.684	21282.723	27890.354	17735.225	17962.904	16381.317	27249.994	22590.818	21599.449	28731.592	23988.924	26639.742	24462.301
0.8005	18588.068	18875.793	18789.018	22925.184	24412.258	15106.354	21108.486	19634.479	18281.873	23571.066	18681.691	17131.65	15643.323	25028.506	20496.332	24247.271	24178.838	25202.672	23379.201	22334.285
0.934	16125.384	16540.289	16967.09	21447.838	19721.547	14232.599	19645.805	17245.016	16619.949	22750.645	18163.66	14710.749	15759.288	22582.256	16910.754	22671.547	18481.629	23387.168	20819.973	19669.504
1.0674	15984.094	16031.457	14771.857	20950.17	17241.221	13848.076	19910.627	16503.074	16212.786	19428.559	17582.277	14581.216	14593.247	19939.107	16737.033	18680.855	17791.059	20920.975	21187.428	18198.824
1.2008	15020.847	14314.147	16446.197	18708.545	15972.208	14201.74	19224.459	15110.481	16250.256	19386.004	17110.818	13212.08	13482.98	18284.633	15266.594	18014.971	16861.832	18104.748	20815.322	15816.38
1.3342	15311.354	13951.819	17303.469	17668.951	15121.485	15184.14	17095.395	15430.666	16256.997	17678.805	18954.559	14272.239	14246.463	18746.184	14842.873	16661.594	17041.023	17038.008	21009.828	14682.993
1.4676	14543.114	14977.503	16398.99	18592.705	14916.289	15931.433	16061.601	15347.317	16205.438	15412.718	17214.643	13887.647	13914.687	17974.428	14118.008	15891.227	18158.676	18079.391	20600.57	13791.593
