x	Y_20181208_15693_1_12g	Y_20181208_15693_10_14g	Y_20181208_15693_10_7g	Y_20181208_15693_11_15g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_12_4g	Y_20181208_15693_13_14g	Y_20181208_15693_13_1g	Y_20181208_15693_13_9g	Y_20181208_15693_14_6g	Y_20181208_15693_14_8g	Y_20181208_15693_16_1g	Y_20181208_15693_17_3g	Y_20181208_15693_17_6g	Y_20181208_15693_17_7g	Y_20181208_15693_18_12g	Y_20181208_15693_18_7g	Y_20181208_15693_19_2g	Y_20181208_15693_2_3g	Y_20181208_15693_2_6g	Y_20181208_15693_2_7g	Y_20181208_15693_2_9g	Y_20181208_15693_20_4g	Y_20181208_15693_4_5g	Y_20181208_15693_4_6g	Y_20181208_15693_5_2g	Y_20181208_15693_5_4g	Y_20181208_15693_6_4g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_7_9g	Y_20181208_15693_8_3g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g
0	11592.916	8691.1182	10575.0508	10182.1416	12587.9072	12871.6836	11098.2012	12946.4521	10203.0869	9492.8398	10380.7734	11399.1865	10540.543	11220.4561	10188.7324	11005.5674	12250.8711	11418.0371	11298.2021	10457.2686	12714.1328	10410.7314	10527.8643	12415.0068	9730.5371	12246.999	11984.5674	11937.0156	11474.6992	12546.9131	10143.3389	11551.5205	10111.8613	11896.4893	10628.5977	13018.2607
0.1334	11775.6396	9358.3994	10947.2832	10844.1533	11948.6094	12588.5117	10799.0986	14322.4805	10824.6797	9783.7188	11087.0215	11829.1123	11420.3711	11112.5381	11392.7539	12085.0928	13245.9219	11957.8477	12149.3135	11407.8779	12002.5967	11228.7207	10615.0303	12275.4873	10576.1445	12285.0059	13593.3711	14399.4414	11273.6758	13625.1162	11232.8291	12786.876	11813.0811	13590.3926	11031.0518	14729.5801
0.2668	13248.8389	9689.1709	12003.625	11713.9434	13440.5059	14547.1348	11586.8613	18187.248	11387.3906	10885.7549	11396.415	11875.1084	13671.9229	12180.9668	13680.4531	12426.7695	13868.8809	12454.8887	13222.1338	10606.1133	11581.333	12457.2881	11264.1885	13207.6514	11717.9199	13526.0352	16198.4893	15003.3613	11801.8594	14086.1396	13376.3701	15088.3447	14394.9209	16432.4395	11244.8467	17876.3457
0.4003	15642.0215	9905.8809	14368.4932	13412.0176	15335.9434	17835.9844	12570.7139	18672.3965	12719.8447	13064.1826	12145.373	12735.8516	16340.9736	15085.8555	17129.8027	13895.6201	16239.9512	13370.2461	13304.1396	11661.0312	12700.0039	15469.0879	12463.4785	15806.9512	13130.4072	14348.9678	15301.002	15441.2725	12385.2637	15264.1699	15957.1963	16133.8936	15604.2744	18615.2344	12520.8584	20870.8477
0.5337	16225.5762	10825.875	15560.208	13946.4082	15168.2871	19140.0391	13870.4023	18241.877	14131.6523	17089.0156	13100.6553	13995.6611	17458.3262	18995.8965	18069.5547	15026.8594	21052.2988	13351.7402	13996.0166	12659.1348	14551.6152	16586.8477	13717.6641	17263.791	13849.2832	14659.415	14863.7393	14247.1445	13411.8535	16861.4766	15802.875	15957.5342	14818.4844	18340.7266	14834.4414	20822.6445
0.6671	15492.6611	12800.9199	16699.9648	15155.7656	15103.0352	16915.3555	15047.5234	17009.1777	13780.5059	17409.6113	15680.5947	14886.2305	17700.2539	19375.3027	17759.7734	13829.1816	20772.7715	14140.3896	14165.1064	13614.6836	13735.5439	17265.2285	13329.2246	16925.8711	16510.4414	16096.7578	14634.042	13267.3848	14755.4482	16762.2871	14794.9883	15260.252	15317.7197	16689.1133	17309.9609	16922.8184
0.8005	17015.4727	15624.1826	16064.3613	14274.4492	14061.4785	16262.3105	14492.7012	15313.873	14159.8145	15787.9355	15658.5752	14308.542	16040.3711	17326.0801	16915.8281	13320.6641	17972.8047	15636.6221	14276.4961	12349.8486	13126.2344	17779.5859	12545.1885	15099.3447	17891.8848	15448.7441	14167.6768	13470.0283	15078.5557	17450.5547	14188.6191	14417.4502	14988.9268	16517.4941	17537.3516	15768.2295
0.934	16193.0566	18084.3223	15340.0039	15543.0703	14194.8945	15230.4961	13871.7656	13460.3096	14001.54	14756.0518	15139.9346	14291.9629	14779.6484	15655.6797	16743.9668	11801.248	17211.9883	17535.5078	13266.2598	13256.4971	13179.21	17083.5195	12617.7549	14212.5723	17831.0977	14958.3564	14409.3213	13750.1201	13472.5928	17241.3652	15007.6719	14652.5957	13923.2266	16194.6104	17900.6211	15636.2139
1.0674	15665.3584	18986.584	17027.0469	16284.0479	14280.4307	14217.3125	13173.6416	13812.5947	14214.9102	13218.8555	15060.2324	13223.7295	14384.6719	14669.4385	16082.501	11795.2383	16622.832	16606.7988	13528.668	13610.4268	13392.8701	16551.0977	12391.3047	14230.6514	17678.5293	15082.1777	14929.7021	15137.4639	13634.6973	17200.793	15667.1982	16293.8486	14266.3066	16221.9092	18344.209	15341.1191
1.2008	16781.8887	16131.9023	17731.6895	16154.1934	14858.249	14644.6104	13875.0801	14239.3301	15008.3418	13792.4258	13870.8447	13318.792	13894.4004	14250.9355	15848.4502	12019.0576	15587.5869	15829.5146	13798.6133	13461.4893	13643.0439	17668.1621	12863.8018	15025.8252	16595.9238	15119.3184	14369.4854	16064.6787	13242.6348	16705.334	15012.3271	15824.2236	14275.2285	16588.1738	18642.0156	15563.6611
