x	Y_20181208_15100_1_6g	Y_20181208_15100_12_1g	Y_20181208_15100_13_3g	Y_20181208_15100_14_2g	Y_20181208_15100_14_3g	Y_20181208_15100_15_6g	Y_20181208_15100_16_2g	Y_20181208_15100_17_1g	Y_20181208_15100_19_3g	Y_20181208_15100_2_1g	Y_20181208_15100_2_3g	Y_20181208_15100_2_4g	Y_20181208_15100_21_2g	Y_20181208_15100_5_3g	Y_20181208_15100_5_9g	Y_20181208_15100_6_5g	Y_20181208_15100_6_7g	Y_20181208_15100_7_1g	Y_20181208_15100_7_2g	Y_20181208_15100_7_5g
0	28124.2344	31154.2031	29434.1133	31028.4062	29255.791	30143.3555	25530.6133	27541.627	29989.916	30478.1875	36204.3789	33175.9961	31081.0195	29026.0059	29833.2012	27672.2285	26947.5254	30788.2383	32137.3477	29715.793
0.1334	28020.0273	32922.3203	29820.6504	31700.4609	29901.9414	30861.3203	26706.623	27995.3633	30675.5098	29129.9746	35695.6445	31647.8672	31041.1797	28244.6387	29459.7012	27563.459	28028.0645	29426.3828	32734.623	29460.8672
0.2668	29255.918	33440.8438	30097.7129	31690.4336	30960.9336	32136.5664	27350.9316	28711.0078	30666.3418	28701.873	34429.6055	32309.877	29809.8555	27647.791	30290.7012	26964.0332	27900.0254	29600.207	32125.0117	29997.9082
0.4003	30966.084	32608.0762	30368.2969	31573.0391	30460	33051.6133	27275.2363	28304.8555	29954.7773	28682.0762	35804.5898	33783.4922	30572.4863	27122.8418	32037.2949	27180.5625	27994.1191	28125.4004	32298.8613	30163.7266
0.5337	30552.291	33408.7734	31044.4512	30582.9863	29962.2051	31848.8359	27743.8477	27357.8164	29856.6055	28227.8711	34690.6719	34720.6211	31153.1172	29137.7344	32102.1797	28190.0898	28526.4434	29934.0625	31401.502	29741.7695
0.6671	34003.0234	35657.707	33118.3047	32779.8086	31380.5723	32232.709	27705.5	28863.8809	33394.3086	30728.248	36249.457	35818.2148	31765.1836	29389.4922	33950.5938	29221.4355	27939.2754	30379.8281	32935.1602	32840.7188
0.8005	41320.2969	39596.668	36089.9023	33184.8086	36082.543	33278.4766	31649.6699	30587.7539	31933.8945	32084.0684	35574.4141	37409.9883	32671.4883	30204.5156	34905.8594	28054.7422	30464.8242	30527.3906	32230.7031	32669.3652
0.934	54450.6797	50535.6055	44836.3164	36003.1953	37681.5	36035.8984	37518.2461	31525.0059	34517.9922	31844.9219	34651.0234	45523.625	35461.207	30083.0098	39729.3086	30163.3145	30178.6445	31626.6621	32475.9277	35600.3555
1.0674	59900.7031	74214.8516	59872.2969	37593.6055	47783.043	38573.5117	47253.9844	37061.2812	37559.8945	33613.8867	35068.5	57615.5859	41006.9375	28933.7246	52515.2031	29882.293	33152.3594	34693.2891	31522.1973	41452.0625
1.2008	47038.3242	84484.7969	65321.9844	42675.9219	71353.1953	48342.6484	60474.5625	50344.3164	44071.6523	38821.7344	35830.1406	80264.2891	53097.3359	30852.6445	68272.9297	32334.7578	41032.0625	44601.0391	33191.7812	59235.1133
1.3342	37311.6797	69503.5469	52077.4414	59189.8242	117145.5938	55208.1602	56091.8516	55378.7227	60161.0977	48703.7344	41042.9219	79011.6719	69771.4219	30424.0254	65651.7656	40410.2773	50358.9141	65315.0703	37614.8047	105012.3516
1.4676	35235.2383	48980.9219	39092.0156	82934.2266	129216.7969	49736.6211	43446.3516	45342.8984	65314.1992	50994.8555	47488.4336	56053.6562	66145.4922	34466.0625	50213.1328	41829.4375	51039.7891	81583.6719	44050.8203	146839.2031
1.6011	36542.4805	40462.6992	34389.2734	79328.5156	93105.25	41383.8008	34804.6094	35790.4141	53004.0547	39720.2305	58625.625	43123.7852	51004.4805	37004.0117	40887.3477	37217.9844	39072.6445	69086.7734	44925.7734	124189.2812
1.7345	41109.4375	35438.6875	32542.4219	55807.1719	57018.5977	36359.3359	30622.627	31017.0273	40107.1406	35713.1797	58631.9531	37758.0273	39659.1602	38919.5039	35897.7188	33398.3164	31863.2441	48998.2031	38035.7344	75658.8359
1.8679	NaN	34557.5273	31289.7773	39442.4609	41925.293	NaN	29244.8867	29743.8203	35100.4453	32731.9414	46865.2383	35154.6836	34636.5469	34927.75	33702.8008	29922.002	29290.9121	37315.0312	32990.0391	49836.1016
2.0013	NaN	NaN	NaN	35225.3828	33536.5156	NaN	NaN	29258.6992	32116.4746	32131.4941	38325.6445	32137.7949	33197.1445	30676.75	32788.2461	NaN	28204.4648	31792.0605	30709.9551	40258.4414
2.1347	NaN	NaN	NaN	33782.9805	31353.3984	NaN	NaN	NaN	32774.75	NaN	34308.1133	33812.1719	NaN	29187.0879	NaN	NaN	NaN	28820.9355	NaN	35935.6367
2.2682	NaN	NaN	NaN	32089.7324	31738.0645	NaN	NaN	NaN	NaN	NaN	33262.6211	NaN	NaN	27605.75	NaN	NaN	NaN	NaN	NaN	34933.6523
2.4016	NaN	NaN	NaN	NaN	31744.2715	NaN	NaN	NaN	NaN	NaN	32559.9414	NaN	NaN	27881.6777	NaN	NaN	NaN	NaN	NaN	NaN
2.535	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.6684	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.8019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.3355	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.469	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
