x	Y_20181208_15100_1_1g	Y_20181208_15100_1_2g	Y_20181208_15100_11_3g	Y_20181208_15100_11_4g	Y_20181208_15100_13_8g	Y_20181208_15100_14_1g	Y_20181208_15100_15_5g	Y_20181208_15100_16_1g	Y_20181208_15100_16_4g	Y_20181208_15100_3_3g	Y_20181208_15100_5_12g	Y_20181208_15100_5_6g	Y_20181208_15100_6_10g	Y_20181208_15100_6_2g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_5g	Y_20181208_15100_7_8g	Y_20181208_15100b_11_4g	Y_20181208_15100b_13_10g	Y_20181208_15100b_13_12g	Y_20181208_15100b_13_9g	Y_20181208_15100b_14_1g	Y_20181208_15100b_14_5g	Y_20181208_15100b_15_2g	Y_20181208_15100b_15_5g	Y_20181208_15100b_16_12g	Y_20181208_15100b_16_14g	Y_20181208_15100b_16_1g	Y_20181208_15100b_16_5g	Y_20181208_15100b_16_6g	Y_20181208_15100b_17_10g	Y_20181208_15100b_17_12g	Y_20181208_15100b_17_5g	Y_20181208_15100b_17_8g	Y_20181208_15100b_18_10g	Y_20181208_15100b_19_6g	Y_20181208_15100b_20_3g	Y_20181208_15100b_20_4g	Y_20181208_15100b_20_7g	Y_20181208_15100b_21_13g	Y_20181208_15100b_21_2g	Y_20181208_15100b_21_4g	Y_20181208_15100b_21_7g	Y_20181208_15100b_21_8g	Y_20181208_15100b_21_9g	Y_20181208_15100b_22_11g	Y_20181208_15100b_22_21g	Y_20181208_15100b_23_1g	Y_20181208_15100b_23_9g	Y_20181208_15100b_26_10g	Y_20181208_15100b_26_3g	Y_20181208_15100b_26_8g	Y_20181208_15100b_27_4g	Y_20181208_15100b_28_2g	Y_20181208_15100b_3_1g	Y_20181208_15100b_3_3g	Y_20181208_15100b_30_1g	Y_20181208_15100b_30_3g	Y_20181208_15100b_32_6g	Y_20181208_15100b_4_1g	Y_20181208_15100b_5_4g	Y_20181208_15100b_7_4g	Y_20181208_15100b_8_4g
0	30006.9316	29050.5723	32758.1328	31341.8281	28875.3867	35144.7773	34040.3984	27618.9277	30903.6074	31523.9863	29549.6504	31339.75	32206.8574	31566.4902	29562.1562	31247.4082	30646.2109	31386.3027	29926.084	26762.6113	31474.0312	30180.8984	23360.8008	26201.8516	25481.584	28369.5781	30682.1914	32761.5938	28245.5312	30556.3066	28156.3594	29148.9629	30790.916	31855.5293	28722.4492	29612.2285	27667.3262	27879.1348	28421.543	33020.1758	30524.8945	30255.8574	28319.1836	28852.5586	30026.3145	31818.5703	32182.9648	27743.1426	28061.8496	30067.2617	29651.6699	29261.8555	30187.1035	28373.1934	30855.1328	31813.0645	28828.0273	26635.0352	31987.7578	30329.7715	26696.2383	26829.4258	32610.6152	32188.1191
0.1334	28640.1523	30448.2305	30928.6953	31402.2617	30860.1133	31087.2148	33095.4805	28150.6035	29872.3848	30072.2109	31892.0684	31723.8906	32959.0977	31851.5449	28950.123	30913.6387	30392.3926	29232.3047	29351.8926	27203.1895	32599.1738	28842.2012	23528.3887	26332.5938	26789.5957	28994.4102	31532.6758	33307.2266	27122.8105	29575.8613	28145.7402	29941.7598	29593.5527	30810.8145	28378.5586	28897.7148	26142.3594	28507.4316	28854.1367	33232.9414	30066.8223	30240.8125	27619.207	27619.8496	31312.666	31204.918	33245.6484	28090.7383	28558.2441	30019.6992	31276.3359	28149.4746	29690.9219	30070.3652	30471.8906	32349.6992	29138.6367	26564.1719	33607.668	30260.3203	27487.4746	26413.3047	32362.8301	32646.4062
0.2668	28747.4219	30913.1309	30436.623	31618.168	28574.2305	29266.1602	33101.7852	27366.4336	31930.0312	29132.5137	31253.1309	30221.707	31631.1309	33083.5508	29229.3789	31579.3984	30542.5703	29406.377	30207.2363	26768.5996	31357.375	28949.8027	24144.1738	25959.1738	26796.6855	29425.252	30397.5371	33189.2305	28074.3438	30456.8848	29100.7207	30400.9473	28418.8281	31672.2129	28478.9785	29134.3633	27117.4961	29099.998	28945.3633	31388.7344	29301.2871	29472.5117	28380.0156	26446.1133	31453.2949	31646.2148	31078.4473	27613.8398	28237.4941	32126.8887	30845.5801	28524.6699	30416.6816	30030.4395	30743.3887	31492.2207	30101.6641	28051.1973	31926.4609	30773.5645	26692.4336	26732.6309	32416.6914	32213.3223
0.4003	29763.6406	30877.834	31618.5801	31558.3105	28247.4766	29533.127	31994.0195	27491.2969	31225.959	30197.5938	31966.6523	30415.0254	33315.6562	31200.9336	30124.6523	32078.0996	31225	31554.0938	30125.0508	27410.6094	30759.7617	28005.2676	23449.5684	25638.4629	27140.2188	28811.6816	32142.6836	31651.2285	28178.9609	30209.002	29955.7109	30388.1465	31310.4883	32672.748	28823.3633	30014.6113	26855.4492	28047.7617	29453.0254	30204.7324	30653.1367	29967.7559	27742.0156	27055.5039	30242.8965	31417.0605	31169.1699	27391.6035	28502.7734	30762.5332	30630.5508	29369.5762	29013.459	30116.1074	30569.4297	30442.9707	29887.7461	27021.6738	31909.5215	30985.3867	27330.8672	27346.5078	30995.5391	29985.9102
0.5337	28595.248	31747.8809	31581.4238	31807.293	29606.377	29336.6523	33010.9375	27635.4922	31353.125	30480.3047	32748.5	30151.4434	33245.4688	31536.2207	31579.1367	30201.5664	30051.4395	31695.4824	29434.791	27441.4102	31652.6074	28345.7207	24363.8535	26507.3711	26910.9395	29832.2793	31221.9922	30885.5684	29078.3984	30304.5	29148.1992	29351.3066	30840.2188	30476.2266	28827.1016	30411.4492	26974.7383	27636.1914	29712.2363	29878.9258	31049.084	29899.4316	27934.3047	27149.6816	30574.4551	29449.6152	32825.6289	28271.8027	28043.1738	31761.4688	30235.2207	29765.2598	30091.3203	28927.5566	30621.5645	31297.582	29447.1602	28405.3047	30323.7422	32769.0195	28136.8027	28269.1387	32648.5195	30659.2363
0.6671	28975.0508	31487.6992	31384.8184	32661.5566	29022.1719	28843.7852	32701.6797	27525.2656	29644.5742	29882.2227	31619.5977	30053.7324	33409.3984	31336.7305	30957.1328	29578.8145	29353.4473	31633.2363	29038.7734	26764.6699	31471.1465	28325.8613	24029.6289	26372.7637	26645.7207	31524.4023	29732.8574	31132.5566	28253.3906	31510.2227	29469.8281	29606.4336	29737.373	31604.1328	29399.1836	28634.9668	26727.6934	28226.6738	30156.8789	32242.8496	30764.8262	29277.8926	28589.7207	27570.5566	31535.3516	30157.332	32357.5391	28252.0352	28100.7344	31748.0508	30568.5156	29794.5703	30268.6074	28939.3496	30595.502	30808.0098	29866.0918	27538.2305	30942.8047	31135.8242	26730.6562	27167.3242	32833.3398	31015
0.8005	29384.4824	30931.582	31002.1895	32354.9277	28631.3906	30572.9375	33349.0078	26460.3691	30246.0352	31776.998	31284.4551	30468.2324	32161.8984	30849.9336	31553.1562	31319.0078	30849.9707	32088.1094	29203.6309	26462.3828	30965.543	27337.4453	23411.6172	26634.3359	27194.5645	29434.1855	29990.1875	31665.5898	28240.9004	30694.7617	29846.1387	29894.4238	32186.6152	32003.7598	29822.0332	28251.6855	27298.4727	28360.4707	28884.0645	32389.7031	31187.1074	30190.1934	26403.3906	26849.6035	31023.748	31668.959	33507.7656	27854.3105	28837.9141	32102.7871	30405.6758	29882.8594	29366.2793	30157.2012	30502.3242	30515.8223	29602.6504	27704.7109	33599.75	31997.248	27585.1426	27145.3574	34264.8477	32056.1543
0.934	29460.2031	29966.0938	32010.5176	33290.2969	29842.9238	28006.3848	33176.2344	26239.5781	30882.4375	30825.9121	31256.207	31232.9961	31763.3379	31034.8164	31270.7324	30845.4863	30844.4004	32296.166	29403.5449	27396.4004	32406.791	27960.4512	23280.0391	26911.3047	27734.9551	30129.3262	29686	31234.9531	27512.7305	29428.7715	28620.1387	29591.1875	29586.9414	31851.168	28799.2754	28697.2812	27826.8848	27925.5078	27279.2246	31939.5996	30954.3262	31112.6074	26488.4043	26657.9648	33368.9961	31154.041	32995.1719	28721.2051	28433.1582	32163.2637	32099.3926	30671.6738	29897.0762	29724.9727	30937.0742	30116.3594	27575.9336	27039.9395	31711.8672	31606.4492	26843.7266	28350.4023	34150.1836	32116.9824
1.0674	29694.5195	31548.1992	32463.8281	34152.9766	30208.582	31219.1328	33177.7695	27574.1621	30496.5371	33490.1484	30813.0195	30239.0625	31500.9395	31102.2637	31858.4492	30706.0098	30641.1504	32093.5156	29962.1855	25673.5156	31573.084	29283.2539	22521.3145	26757.7715	28340.5	30146.3711	29249.9668	33806.9609	26752.9199	30793.1719	28935.666	29766.8008	30043.4121	33491.4375	28595.6367	29854.1543	26684.0703	27787.2246	28820.252	31992.2188	31138.8867	28861.9629	26679.3789	27818.5117	32956.6992	32402.6133	31708.9395	29512.2383	28079.5645	32936.4805	32817.125	29712.4316	30806.7109	29794.2695	30675.6406	31887.5371	29156.3887	27295.3203	31114.2852	31329.5645	27412.4277	28167.373	32989.9023	31161.6074
1.2008	30530.877	31342.6309	32982.3008	33774.125	30069.4395	30398.2383	33819.0781	27604.2754	30772.9531	30961.8887	31318.5781	31206.8691	31998.7676	31380.0039	32197.5371	30935.2383	31115.1289	31935.6719	29070.8711	25910.8594	31716.9336	29341.8594	22921.4238	27887.7676	28615.9844	27499.0098	29832.5176	33006.1758	28212.4941	29410.0898	28616.3125	29684.8242	29513.3359	33966.0234	28029.8164	29784.4922	26499.4883	27761.7148	27693.3008	31665.2812	30395.4785	30516.3184	27304.2461	28981.6543	34854.4414	31577.8574	31671.9004	28011.2871	28695.9844	32169.9785	31771.4004	29098.9668	30342.5176	29352.5117	30495.0781	30991.3145	30590.9395	28012.7266	31782.4668	32354.1914	26420.3906	28248.377	32384.959	30599.4316
