x	Y_20181208_15692_30_12g	Y_20181208_15692_30_1g	Y_20181208_15692_30_4g	Y_20181208_15692_30_5g	Y_20181208_15692_31_13g	Y_20181208_15692_31_16g	Y_20181208_15692_31_18g	Y_20181208_15692_31_9g	Y_20181208_15692_32_11g	Y_20181208_15692_32_13g	Y_20181208_15692_32_14g	Y_20181208_15692_32_6g	Y_20181208_15692_33_11g	Y_20181208_15692_34_3g	Y_20181208_15692_34_6g	Y_20181208_15692_34_7g	Y_20181208_15692_34_8g	Y_20181208_15692_34_9g	Y_20181208_15692_36_10g	Y_20181208_15692_36_5g	Y_20181208_15692_37_9g	Y_20181208_15692_38_14g	Y_20181208_15692_38_15g	Y_20181208_15692_38_1g	Y_20181208_15692_38_3g	Y_20181208_15692_38_4g	Y_20181208_15692_38_7g	Y_20181208_15692_38_8g	Y_20181208_15692_39_12g	Y_20181208_15692_39_13g	Y_20181208_15692_39_4g	Y_20181208_15692_39_5g	Y_20181208_15692_40_15g	Y_20181208_15692_40_5g	Y_20181208_15692_40_7g	Y_20181208_15692_41_8g	Y_20181208_15692_42_12g	Y_20181208_15692_42_15g	Y_20181208_15692_42_4g	Y_20181208_15692_42_6g	Y_20181208_15692_43_11g	Y_20181208_15692_43_14g	Y_20181208_15692_43_19g	Y_20181208_15692_43_5g	Y_20181208_15692_44_12g	Y_20181208_15692_44_8g	Y_20181208_15692_45_14g	Y_20181208_15692_45_4g	Y_20181208_15692_45_9g	Y_20181208_15692_46_10g	Y_20181208_15692_46_12g	Y_20181208_15692_47_3g	Y_20181208_15692_47_4g	Y_20181208_15692_6_12g	Y_20181208_15692_6_1g	Y_20181208_15692_6_2g	Y_20181208_15692_7_13g	Y_20181208_15692_7_8g	Y_20181208_15692_8_5g
0	31728.668	25812.2656	30862.1523	27501.7676	24836.8125	26674.707	33893.4648	31875.041	25678.2969	33111.9531	31306.9707	30033.4355	32887.9062	30521.1113	29083.2305	33309.5039	33125.3555	25872.793	28669.1641	26692.9512	27609.002	32932.793	31379.0059	26694.6836	26530.166	27531.2305	30377.1621	28165.6484	24285.8008	30912.8906	28397.4023	30867.0215	29898.5176	29059.1211	26378.248	30849.2988	30315.2676	27573.9629	28698.3359	28366.6133	32388.3086	30944.543	29643.043	26074.5742	30632.4688	29672.6445	29520.1348	31335.709	28819.3633	28540.498	29124.5898	31703.1914	27431.3965	28818.2734	32317.5977	28779.4941	28204.8809	31840.2852	27144.0723
0.1334	31487.8945	26503.4336	30133.6367	29118.9336	25037.543	25691.0254	33323.8047	30154.9043	26702.707	32742.127	32418.5078	29460.7461	32093.541	31315.1992	29904.9727	32701.9121	34538.0156	26161.1836	26875.3027	28202.3828	27694.4844	32596.1992	31177.1562	25312.6348	27166.7734	27712.3477	29421.9824	28410.2324	24644.0039	31184.1133	28784.1953	31682.6934	31581.207	29860.0586	25084.8164	31304.2832	30607.3398	28318.7129	29334.041	29675.7754	31524.1543	31267.7441	27922.5957	25800.043	30371.3301	28752.1348	30942.377	31863.9824	28897.4844	27728.4922	29018.4551	30946.293	28133.3691	28128.0039	33015.3477	30724.3945	29505.1875	32506.6758	28469.4883
0.2668	30682.5371	25828.5645	29735.5527	28308.6895	22897.7305	26084.8574	33757.7109	30478.4863	25962.2148	31544.6543	31696.4941	29693.9844	31211.207	31946.748	30541.5293	33635.1445	36362.4805	26101.5762	27743.1719	28520.9941	28414.9277	32802.3867	31191.8477	25238.125	26639.502	27635.1797	28852.1797	28892.0938	25696.7949	30624.4961	27113.2148	33112.3008	32249.6895	30173.4238	24659.7969	30738.3477	29751.7422	28698.5195	29808.8926	29474.5352	32047.5664	30774.7246	28292.8789	26400.0059	29458.6211	29293.4609	30084.9297	32900.5977	29641.9219	27772.2793	28893.5098	32038.0645	28670.8223	27913.625	32786.9883	31171.502	29728.1621	29994.7637	29004.2305
0.4003	31376.3574	26206.9141	30948.4062	27987.1113	26289.3789	25675.7402	33103.3008	28554.2637	25472.3086	30319.6855	32399.6719	30515.8359	31734.8711	30833.4141	28882.6152	32916.3281	34778.4453	25298.5332	28971.9805	28419.082	27846.7891	33845.1719	30206.0254	25636.9863	28043.6934	28794.4785	29419.209	29237.8242	26010.4531	30818.3438	27299.9258	34049.832	31222.2793	27486.416	24236.4512	29880.5352	29891.9355	29113.0664	29187.2246	28038.252	31222.416	29394.5742	28568.4219	28074.7812	29867.4473	28563.8613	28373.6367	30739.0781	30415.7988	30105.7246	28634.5723	32352.0547	28744.5918	27563.7305	31754.4121	32692.0762	29981.8613	30320.2461	29344.377
0.5337	32282.125	26787.6172	31736.1113	26986.0742	24366.7539	25633.6797	32984.5781	29695.3203	25975.9219	29709.9434	33545.2656	32543.8867	32279.6387	29974.1406	29179.459	32593.2969	37246.5391	27154.8008	28880.7539	30284.5293	28535.9023	34138.0586	30249.2188	24867.627	27927.8164	27595.7754	30544.5977	29360.3828	24351.1855	32781.0586	28738.7676	33717.1797	32560.8672	29660.7891	23780.0605	29855.5977	29730.1035	28238.0762	30840.7598	28639.209	30628.166	29355.5039	28490.9961	29409.7383	29617.5234	28203.6523	30298.9043	30868.4316	29884.4512	29237.3223	27970.6523	30766.375	29090.4609	27026.0723	32931.8125	32160.7695	32530.207	31218.9355	30083.1055
0.6671	32626.2617	26534.2852	32660.5254	26428.8828	25771.2891	25944.332	31978.9141	30762.7402	25987.5605	31972.6855	34330.5859	31809.9375	33079.6289	31195.6895	29442.9336	34356.875	41500.207	29318.3145	30439.6211	29644.1328	29345.6895	33351.8359	30181.748	25191.7793	28650.7852	27322.2617	30790.5488	30556.4023	24933.4707	33620.4961	28078.0996	39319.8438	34805.0156	30715.5977	24149.6719	30688.7676	30086.5254	29296.3535	30848.1582	27346.8398	32471.5352	29271.2324	26971.0801	35846.7383	29169.3594	30183.9238	30900.0742	31163.375	29752.0469	28020.1055	29921.5723	31152.0762	29736.3828	28783.9746	35156.8633	30269.959	32204.6035	30909.7988	30738.4961
0.8005	35140.6484	27306.5762	32852.6094	27314.5273	26305.4512	26600.6758	31850.6973	32271.1562	24810.0449	33827.3008	38979.8203	31697.4492	33577.457	31429.748	30121.1328	36084.8242	50848.2461	29545.3027	29721.582	33233.8945	30346.4043	36106.0977	33448.0703	25802.8672	32132.6074	28959.9629	32680.5137	32234.2969	25035.8789	35350.5039	30289.832	46295.0703	35701.1641	31642.3555	23897.2324	30030.1074	31821.7344	30506.9004	32576.2344	27281.0098	32743.1387	29378.6699	26592.2676	47783.5117	29289.3203	30859.2402	32539.832	30723.9688	30382.2285	29948.7949	31093.7578	30187.4727	32173.9824	27368.582	37302.0117	31645.332	32844.9688	30529.0547	30956.3691
0.934	35584.4922	28924.0527	31809.1914	27782.6133	26767.3574	27604.8184	32856.9922	30877.3613	26724.1562	32579.9199	43412.1719	33344.8242	34096.2656	30292.4316	33053.0469	40409.4375	67315.0156	30012.3066	35459.1758	39211.957	34413.043	36203.0508	32998.0938	25913.3105	35929.9766	30410.6895	40348.3398	33543.7812	26631.9004	42824.9453	35308.5234	63824.1055	40608.2461	33401.2891	25654.6738	30876.8887	32592.8457	33457.8594	35797.1719	29245.1641	33884.3828	30921.2559	28292.7246	62744.4648	30273.7324	30272.5312	35078.8789	31054.0488	32035.2676	30666.1621	32514.4629	31884.1738	37777.3828	29453.9277	45612.5391	32625.1445	33627.6641	32056.9941	31496.6855
1.0674	40950.1016	30966.7109	32230.8633	30532.0469	26452.2227	29236.2891	32194.791	32024.207	28433.6035	37361.6641	53379.8203	33962.6758	34928.2773	31664.75	35030.9258	51440.4766	87592.6562	37594.0508	42961.2539	56145.1484	46087.4258	38807.2383	33503.4102	26952.3145	47343.9766	35814.1719	53854.9883	37790.3789	26265.7051	55462.4062	46317.2305	86375.9453	55998.1875	36486.9844	26325.6426	29839.0156	32540.668	38508.7188	43370.5703	30860.375	34553.125	31114.9648	27292.0508	59662.8711	32013.5039	30077.502	47883.5664	31741.0293	35699.9531	33592.9023	32398.3301	32348.4805	51147.4883	30142.9258	60709.2188	33492.9453	33361.7695	32861.5117	32983.1523
1.2008	50034.3984	37178.5156	32700.0254	31263.8848	30596.5039	32261.502	30962.5762	32853.7422	32915.0273	43364.4492	63242.4688	39773.4766	36820.6484	32446.4668	39717.7461	73825.9219	93302.375	50260.25	70543.9062	66351.1016	69160.9297	50419.2227	40038.8398	26209.0488	61044.1328	44677.875	79079.4844	43283.1953	30927.1992	85071.1875	63326.2109	86303.2891	83736.7969	46688.8555	31998.1934	32041.9102	32240.1211	50900.1914	66915.0781	34813.6133	36881.5117	34196.332	27048.127	41962.9023	34809.9648	30266.418	72262.0469	32216.6367	41701.1523	38052.4883	33815.2344	34567.5859	69198.8828	30705.7324	78489.1094	34245.4023	34013.125	33260.7383	35831.25
1.3342	66923.1641	52429.3984	34503.207	37966.9102	38806.6758	37585.9922	32217.998	31242.4102	39135.8516	55874.0391	56372.7344	53571.7227	39280.7734	33406.1328	42720.043	89758.1875	86785.875	58506.75	107356.375	53011.0781	97307.3125	61720.8594	53494.375	28526.2266	61093.1211	52859.9531	96010.2969	63557.0625	39355.5195	109553.75	63479.4062	60221.7148	88193.6875	62199.4609	44093.0273	34546.5117	34410.9648	66261.7578	100152.0078	44341.6328	42625.4258	39258.4141	33078.6211	31772.8965	40551.7852	31486.0977	84524.9375	33506.625	57495.6641	50019.3516	37550.4805	36926.9141	76615.9844	36583.8867	69696.0312	33622.3164	37697.7656	33968.8594	42534.5586
1.4676	73645.3281	62053.668	37507.625	50661.4102	52144.5898	43683.8789	34450.8438	34611.7031	58278.9062	68722.2969	43881.5156	80572.0469	51828.5391	35921.2188	41257.2539	76880.7266	68109.0078	50117.0742	109044.3672	38546.082	98843.3125	57334.8672	65516.7383	31512.9688	44059.207	45587.5742	76372.6953	82129.75	54182.0312	90529.8281	48342.9062	41719.332	66839.5625	68530.3906	58353.5859	41794.9453	39293.5156	73114.3984	110256.3359	57884.6016	58228.1797	52238.6797	41199.6875	29744.7207	55502.3477	36994.3945	65244.5586	35771.9805	87098.5859	64233.0234	48160.3711	46856.3906	57224.1211	50284.6797	47215.9336	32220.6348	43270.8203	36546.543	54587.75
1.6011	60996.7695	46972.1875	44861.332	65675.0859	56114.1562	40234.5469	39234.3984	39072.6992	74313.2969	59272.0391	38378.375	100814.3984	74252.1562	38612.043	36074.2461	51327.1836	51317.4297	38202.0586	74125.2031	32414.8359	71130.3984	44099.4531	58464.8516	35832.1133	36014.1484	35861.9414	50467.0156	81907.8828	58795.832	62053.4375	37784.8516	35732.1211	46875.5	54288.793	60026.2227	54772.6016	49900.3164	55278.5469	80971.1875	57092.0195	77171.3047	70506.3125	51147.8203	27979.4336	81111.0469	46721.8906	46030.8047	45080.7383	106526.1641	59675.0469	69211.75	69692.6562	40503.0938	66186.8203	37763.4023	34354.5352	49468.793	45404.207	57000.3281
1.7345	47442.8789	34535.457	68926.0703	62043.5469	42890.6641	31589.6895	51708.6719	48473.6172	66882.4062	43918.5742	36641.1875	84904.9062	92738.8516	48753.4609	33380.2266	40131.0352	NaN	35672.7148	49588.4805	31352.2344	46156.6797	NaN	42927.3359	33779.5938	33072.0195	32475.5508	40898.0391	60641.3789	45580.6094	45124.5469	31496.377	34132.0586	39588.1055	38419.0977	43802.3711	71279.1328	59084.8438	42689.1016	50531.832	44542.5547	72019.0938	73425.0703	46429.75	27614.291	86778.9141	52395.4414	36537.8008	64670.6367	85261.5781	44385.043	80073.4375	116542.2188	31993.541	63413.3789	34162.6367	34312.6016	47101.293	60723.4805	47389.7227
1.8679	40459.2891	29442.1328	109563.9609	47344.543	32719.9062	29087.8008	72787.2266	68702.9766	49060.1484	38307.168	NaN	56301.2812	81616.2891	69747.8984	32225.6953	36440.6016	NaN	NaN	37154.6367	31473.0996	34789.2031	NaN	37425.6875	29077.2988	NaN	32325.7285	35710.4844	43203.1406	33343.8203	40763.7812	30037.418	34612.5039	37565.6562	35370.5195	33989.9844	65831.7812	54828.1836	41098.6367	38765.9648	35105.0078	55603.9336	57999.0703	39062.4258	NaN	71581.4688	45338.4531	35051.7891	85091.7188	54902.8867	35347.1641	62778.9453	136794.8906	30644.5039	47869.4102	35441.9453	36900.5664	39615.3359	73182.5469	37543.4766
2.0013	39089.0312	29324.3906	118512	37376.2734	27857.4863	28213.5801	96103.9453	84863.1406	36106.0586	36097.6797	NaN	40563.8555	55475.0781	100296.6172	31623.5762	NaN	NaN	NaN	34199.3594	NaN	31059.8848	NaN	33800.2422	27441.9219	NaN	NaN	33926.3594	36652.1797	30053.4609	43452.3281	NaN	NaN	33974.125	34721.4492	32171.334	52348.7773	45309.8906	38032.3555	35257.082	30824.1504	44438.6602	45105.7969	31823.1602	NaN	58374.6406	35905.8125	33515.6758	79549.1719	41631.0391	31779.709	44346.0234	99868.125	29813.5625	36673.7617	34133.3008	46394.5352	35488.2031	62491.6484	33229.9766
2.1347	45364.9805	31218.0078	76719.1953	33496.8945	26430.6328	26268.3867	81979.3594	70439.9844	31741.3457	35384.3672	NaN	36784.5625	40548.9727	96381.5234	NaN	NaN	NaN	NaN	31819.1992	NaN	30037.873	NaN	32824.3945	25680.248	NaN	NaN	37671.8789	32435.2246	28758.3145	NaN	NaN	NaN	33958.7734	NaN	31020.0781	46906.3125	39106.3086	34415.75	34332.5938	30545.4258	NaN	37169.7266	28523.9297	NaN	50473.5586	33267.4727	33223.3008	53287.2812	35595.3984	29779.4551	35113.3008	61392.6914	NaN	33227.7031	NaN	56597.9258	33155.2734	47671.3555	30797.127
2.2682	NaN	NaN	47811.0742	32025.8066	NaN	NaN	53947.1914	48586.5391	30657.2598	33860.9141	NaN	NaN	34574.7305	63537.1523	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33410.6797	NaN	NaN	NaN	NaN	NaN	27084.0215	NaN	NaN	NaN	NaN	NaN	NaN	42182.7773	37813.7656	NaN	32373.4062	NaN	NaN	34804.2383	29275.9492	NaN	39289.7266	NaN	NaN	39096.4883	35106.6367	30389.0762	32825.3008	43882.5469	NaN	31282.9805	NaN	56294.082	33533.5352	37344.6914	30097.291
2.4016	NaN	NaN	39314.1992	31907.7578	NaN	NaN	39828.8828	37617.2578	29353.502	33946	NaN	NaN	33100.7578	45351.8242	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37995.9023	34149.8164	NaN	31984.8555	NaN	NaN	33744.293	NaN	NaN	NaN	NaN	NaN	34605.9219	33838.8398	NaN	30592.0488	37123.0312	NaN	NaN	NaN	45185.5703	34119.8594	34851.5977	NaN
2.535	NaN	NaN	37892.0508	NaN	NaN	NaN	34721.1094	32683.5	31357.4355	NaN	NaN	NaN	33437.6758	37940.9688	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34561.4805	33498.5625	NaN	NaN	NaN	NaN	31121.7559	NaN	NaN	NaN	NaN	NaN	32051.2207	33775.7031	NaN	29562.3574	35127.3242	NaN	NaN	NaN	37511.4297	NaN	34722.4492	NaN
2.6684	NaN	NaN	36441.0625	NaN	NaN	NaN	32531.4453	NaN	NaN	NaN	NaN	NaN	NaN	33561.6641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	32713.3379	NaN	NaN	NaN	33233.6875	NaN	NaN	NaN	34039.1719	NaN	33247.8086	NaN
2.8019	NaN	NaN	34128.8984	NaN	NaN	NaN	31676.166	NaN	NaN	NaN	NaN	NaN	NaN	32413.6328	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33841.8906	NaN	NaN	NaN	33184.8594	NaN	NaN	NaN
2.9353	NaN	NaN	NaN	NaN	NaN	NaN	32250.8223	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.0687	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.2021	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
