x	Y_20180130_15100b_1_10g	Y_20180130_15100b_1_12g	Y_20180130_15100b_1_14g	Y_20180130_15100b_1_16g	Y_20180130_15100b_1_1g	Y_20180130_15100b_1_7g	Y_20180130_15100b_1_9g	Y_20180130_15100b_10_11g	Y_20180130_15100b_10_12g	Y_20180130_15100b_10_1g	Y_20180130_15100b_11_11g	Y_20180130_15100b_11_1g	Y_20180130_15100b_11_6g	Y_20180130_15100b_11_7g	Y_20180130_15100b_12_10g	Y_20180130_15100b_12_15g	Y_20180130_15100b_12_2g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_6g	Y_20180130_15100b_14_10g	Y_20180130_15100b_14_4g	Y_20180130_15100b_14_8g	Y_20180130_15100b_14_9g	Y_20180130_15100b_15_3g	Y_20180130_15100b_15_5g	Y_20180130_15100b_16_2g	Y_20180130_15100b_16_5g	Y_20180130_15100b_17_12g	Y_20180130_15100b_17_7g	Y_20180130_15100b_18_12g	Y_20180130_15100b_18_14g	Y_20180130_15100b_18_21g	Y_20180130_15100b_18_2g	Y_20180130_15100b_18_3g	Y_20180130_15100b_19_9g	Y_20180130_15100b_2_4g	Y_20180130_15100b_2_7g	Y_20180130_15100b_2_9g	Y_20180130_15100b_20_16g	Y_20180130_15100b_21_11g	Y_20180130_15100b_21_12g	Y_20180130_15100b_21_13g	Y_20180130_15100b_21_15g	Y_20180130_15100b_21_16g	Y_20180130_15100b_21_5g	Y_20180130_15100b_21_8g	Y_20180130_15100b_22_15g	Y_20180130_15100b_22_19g	Y_20180130_15100b_22_1g	Y_20180130_15100b_22_4g	Y_20180130_15100b_22_5g	Y_20180130_15100b_23_1g	Y_20180130_15100b_23_3g	Y_20180130_15100b_23_7g	Y_20180130_15100b_24_13g	Y_20180130_15100b_24_4g	Y_20180130_15100b_24_9g	Y_20180130_15100b_3_4g	Y_20180130_15100b_3_6g	Y_20180130_15100b_4_14_2g	Y_20180130_15100b_4_19g	Y_20180130_15100b_4_23g	Y_20180130_15100b_4_3g	Y_20180130_15100b_4_4g	Y_20180130_15100b_5_13g	Y_20180130_15100b_5_21g	Y_20180130_15100b_6_11g	Y_20180130_15100b_7_14g	Y_20180130_15100b_7_7g	Y_20180130_15100b_7_9g	Y_20180130_15100b_8_1g	Y_20180130_15100b_8_5g	Y_20180130_15100b_8_6g	Y_20180130_15100b_8_9g	Y_20180130_15100b_9_11g	Y_20180130_15100b_9_13g	Y_20180130_15100b_9_15g	Y_20180130_15100b_9_16g	Y_20180130_15100b_9_8g	Y_20180130_15100_1_2g	Y_20180130_15100_1_5g	Y_20180130_15100_1_8g	Y_20180130_15100_2_8g	Y_20180130_15100_3_15g	Y_20180130_15100_3_18g	Y_20180130_15100_3_21g	Y_20180130_15100_3_22g	Y_20180130_15100_3_7g	Y_20180130_15100_3_8g	Y_20180130_15100_4_12g	Y_20180130_15100_4_16g	Y_20180130_15100_4_2g	Y_20180130_15100_4_5g	Y_20180130_15100_4_7g	Y_20180130_15100_4_9g	Y_20180130_15100_5_16_1g	Y_20180130_15100_5_20g	Y_20180130_15100_5_21g	Y_20180130_15100_5_22g	Y_20180130_15100_5_26g	Y_20180130_15100_5_7g	Y_20180130_15100_5_9_2g	Y_20180130_15100_6_10g	Y_20180130_15100_6_15g	Y_20180130_15100_6_4g	Y_20180130_15100_6_7g	Y_20180130_15100_7_3g	Y_20180130_15100_7_8g
0	39747.551	36751.754	33085.25	39596.238	35956.551	36085.828	39405.859	40572.672	36723.824	39150.555	36720.379	37083.891	34019.465	39019.992	39055.805	37728.812	32052.291	36423.422	35112.074	37223.312	34269.027	34487.449	35824.742	33713.281	34961.887	38046.512	41017.707	29987.516	34667.703	36360.418	38148.711	37382.723	29218.955	34054.199	33963.703	40430.297	36172.555	39155.773	34094.469	34820.879	35531.707	36017.375	35278.125	38047.484	37428.246	38795.742	37999.941	33196.262	36083.164	37522.676	33862.34	36281.352	35917.395	33218.945	31172.537	39408.191	35450.645	34859.734	32603.801	33161.289	33214.199	37710.711	39751.23	34654.707	32772.852	39751.004	38620.168	35525.781	35876.832	31755.4	36361	35415.594	35857.621	40268.75	38016.266	37999.559	32539.533	33371.566	39925.172	34841.405	38136.4975	35812.75	39219.3475	34634.5	38033.855	37482.09	40768.39	41957.9875	42156.255	37537.5375	38144.8925	38715.69	42059.6875	39083.5975	37906.41	39381.15	38452.665	36858.2125	38994.2975	40100.1975	39917.1025	41199.61	38511.365	37726.47	36386.2625	39219.635	37964.305	37950.9875
0.1334	40752.641	36976.348	34650.945	39393.227	36340.684	36001.238	39621.805	38915.77	37461.98	39413.129	36313.508	36353.59	33115.891	37850.355	39748.055	37331.094	32514.346	36115.578	36507.719	37481.059	35041.336	33909.605	37060.648	33755.5	35384.113	38078.855	39131.699	30303.955	33011.617	36178.559	38416.855	37453.848	28142.803	35204.043	33718.09	39266.797	36754.945	38810.992	34829.73	36627.816	35244.242	35490.848	35667.16	37040.074	36624.617	40011.945	37079.422	35316.383	35407.234	38022.574	33568.391	36078.734	37746.445	32852.344	32535.002	39871.879	37589.305	34405.965	31550.547	33122.938	32071.123	37641.188	39863.121	34189.781	32530.932	39691.496	36246.211	32748.713	36703.094	32021.109	37395.664	35997.121	36344.863	39798.457	37742.648	37802.27	33145.094	33582.484	38789.414	35933.24	38399.6375	38270.95	42318.6025	34897.165	39213.0725	37738.1425	41406.085	40170.2125	42613.085	36348.6125	37923.185	39386.85	39403.55	40400.595	37225.3175	38072.5525	37943.34	37837.01	37933.105	41470.785	38714.6675	42575.4775	41443.0075	37919.0125	36920.9225	40084.2125	36484.835	38852.665
0.2668	40039.32	37495.852	34825.285	39599.594	36833.32	36936.945	39338.969	38912.016	35452.441	38216.348	36314.551	35413.445	33131.309	37362.188	38818.781	35900.523	32970.129	36793.441	34745.922	37700.152	34823.449	35497.543	36014.207	31467.891	35088.586	37893.07	38708.25	31965.502	32523.977	36014.98	39887.883	38438.16	29302.572	35894.27	35054.086	39367.035	37125.422	39057.484	34630.906	36240.324	34960.254	35211.277	35396.676	36702.836	37955.133	39966.465	38478.887	34376.023	34967.164	38631.797	34816.211	35329.785	37334.59	32990.977	32160.045	40717.285	37857.715	35206.828	35159.488	35103.547	33037.09	38260	39668.609	35714.477	32199.057	38872.066	36473.934	34566.977	35999.746	32877.141	37395.148	36012.688	36535.152	40501.809	40043.414	36910.223	33627.617	30853.016	39435.266	36832.9325	37692.875	37283.265	41168.92	37451.3225	37774.885	39998.3275	40299.215	39559.2425	42818.585	36500.7125	38545.3575	39447.85	40543.4325	41596.9325	38925.585	39826.5475	36974.635	37474.4175	37217.7525	41154.0325	38757.2475	42095.41	39604.4775	38017.03	36338.585	40555.935	36176.49	38691.3425
0.4003	39306.863	37727.871	33118.902	38195.828	37173.965	36361.379	37530.242	38211.918	35507.832	38319.586	37057.688	36158.352	33772.441	39202.918	38465.27	35363.414	33603.492	35817.18	34375.047	38816.934	34028.078	37605.355	35168.656	31793.75	33335.633	36817.477	38700.605	32930.773	33411.996	36578.707	39744.512	36712.73	28929.473	35299.355	33702.988	37854.324	36824.102	37732.172	35424.109	35604.793	34647.176	33382.043	35819.977	37657.238	38116.039	40621.203	38744.797	33731.828	35002.484	38692.316	34088.848	35764.859	38252	33172.359	29195.141	39948.141	37003.406	33450.82	33253.824	36419.031	33324.598	37206.355	37764.855	35418.965	33253.582	38766.328	35155.488	34331.48	36494.109	33326.145	38194.668	36237.305	35628.484	39125.508	36737.781	37855.871	34092.75	32074.178	41333.891	37173.105	39315.67	37155.7475	39910.4275	37555.7375	37484.695	40459.645	38627.485	42524.7375	40902.89	36826.1425	37870.3675	39964.415	42760.645	41024.2975	38602.1925	38718.885	38571.375	37571.7675	37404.8125	39618.7825	40483.085	42247.4325	38507.195	36843.995	36651.54	37843.735	36857.3525	39973.29
0.5337	38603.07	37128.352	32922.688	38909.984	36507.785	36156.211	37725.258	38674.867	35917.387	36354.77	36536.469	37005.773	33784.043	39400.676	38315.965	35390.828	33123.426	37597.285	34612.418	38974.41	34205.211	35884.316	35716.922	31427.576	34599.598	36920.027	38370.977	32280.662	33399.559	34928.203	42688.293	37011.91	29570.725	34676.773	34092.012	37064.184	35339.488	37749.559	35459.34	36442.137	34550.57	36299.926	35493.355	37961.926	36758.633	41540.23	39411.668	34988.727	36585.059	39021.453	36720.645	34866.246	37313.461	33207.145	31982.758	40702.137	36218.219	32968.738	32986.02	35322.117	31846.926	38440.801	38570.09	34709.969	32966.184	40240.809	35106.633	34090.25	35544.191	34148.664	38438.77	35873.871	35968.434	40340.984	35961.082	36528.188	34213.883	33081.391	40159.602	36580.8425	40028.4675	37070.1325	40961.275	36047.7025	34451.005	40523.905	40371.3025	44304.18	42598.56	36643.7225	36603.695	38087.135	41320.855	40483.195	37412.755	38037.3625	37369.7375	36897.805	37556.8025	39901.715	39616.7075	43178.955	38870.695	37984.15	35854.86	40972.7875	37789.36	41740.995
0.6671	41025.406	36008.062	33731.633	38470.559	37088.262	36707.023	38287.535	38798.387	35061.344	38159.473	37349.754	35717.781	33818.402	38416.461	38902.27	35899.629	32735.518	37108.18	34562.59	38715.426	34562.852	36279.621	34416.398	31161.609	34247.488	37125.574	39603.457	32967.527	33319.594	34463.816	41616.973	37284.082	30331.73	33055.492	33929.168	35692.957	37099.477	37925.879	35784.332	36949.906	35882.41	36363.93	34845.703	38859.703	35943.988	40250.215	38852.344	34627.844	36192.016	38385.348	35841.887	35642.246	39046.641	33108.746	32197.889	39572.555	36395.16	33758.266	34130.695	35005.547	33971.652	36802.535	36301.422	36514.539	32951.25	40958.441	34342.625	33541.055	35189.312	32569.184	36810.934	36490.48	35536.016	39046.305	38472.168	37731.801	35828.156	31395.666	40597.414	35936.7175	37646.6875	36126.4875	41259.135	37477.275	36724.2625	39176.3625	39852.1975	40773.715	41145.7075	37988.4325	36958.895	42081.48	38101.76	37700.99	37700.8975	39293.13	37947.755	36927.405	38810.905	42692.1	39196.4825	43790.2825	37862.22	40719.835	38002.8725	41760.845	37091.4725	41219.985
0.8005	39383.645	38187.574	33474.977	37971.797	38437.273	36104.301	38316.875	40327.695	36653.18	40890.473	37269.164	37144.262	33737.523	40367.406	39964.648	36569.332	33374.984	37391.363	33341.809	38785.465	34727.398	34992.094	34450.379	31778.48	33506.691	34680.785	40334.785	31807.42	32394.963	35474.688	39858.609	37001.801	29950.217	34652.207	35119.691	37343.898	36828.52	37749.258	36551.145	34675.086	34940.094	36111.719	35371.16	39067.777	36317.133	39934.211	38839.465	33848.75	35016.445	37476.043	34229.344	36336.574	37492.625	34614.082	31287.494	38952.508	36612.191	32655	32682.518	33319.168	32268.861	37604.762	36489.094	35367.719	30592.748	39376.039	34089.055	34942.406	34819.27	32218.957	36840.344	35692.883	34629.848	38350.547	38083.234	36639.207	33262.375	32265.295	39725.496	35510.47	38523.7075	37186.96	40506.62	37594.4875	38714.2725	37777.0775	37239.485	42361.7925	43604.3075	38021.2525	37109.01	41372.3575	39514.4375	39028.01	39450.43	37007.205	36711.3875	37430.8975	38112.91	41784.0525	40305.12	42521.83	37894.305	42492.4025	36300.0925	42554.0175	36573.8475	41480.7775
0.934	37741.953	36428.293	32574.92	38766.461	37618.438	36322.871	37941.648	38461.039	38732.242	37355.961	37704.18	37052.406	34304.75	40510.102	38685.496	36988.27	32500.701	36764.688	33988.922	38076.348	34634.301	34414.023	34188.418	31262.805	34908.426	35359.918	40600.695	32545.891	33206.219	36783.406	38414.324	35217.629	30034.945	36368.055	35610.414	36751.359	37115.633	37390.137	35797.691	35982.105	34254.5	34703.844	34713.562	40365.582	37613.773	39627.828	38168.531	33612.152	36209.969	39257.922	35223.371	35681.254	38938.984	34017.832	30181.029	38319.098	37680.941	33325.555	32937.504	33674.59	32706.145	38265.488	39140.148	35319.117	32791.84	40706.801	35190.285	36021.41	36661.711	33583.688	38289.73	36934.559	34276.121	40444.969	36691.48	34791.988	32256.523	33014.758	40348.984	37177.9775	36144.005	37228.26	40937.055	36508.42	39978.9625	38172.29	39458.37	39913.5775	41211.62	36469.6975	36940.7775	39204.4275	40173.2975	38744.215	38968.57	37390.1075	37080.925	36220.695	36491.0225	42240.0775	37438.97	42417.545	40206.105	40923.705	38144.34	41745.0925	37214.7625	38683.745
1.0674	37664.461	36285.656	32994.105	37551.168	36194.625	35512.34	38286.066	37798.133	35970.684	36229.938	39036.582	35066.758	33831.684	40325.926	38081.508	37054.688	32262.104	36662.238	34402.949	39621.078	34950.246	35162.855	33433.059	30956.744	34536.453	34637.422	42507.43	32986.406	34091.316	36557.551	38733.055	36486.203	29960.764	36458.738	34847.258	36663.191	37627.828	37889.371	34707.449	36047.426	34999.109	37106.641	36091.578	40991.219	37790.941	39850.219	37544.574	36052.398	36376.871	39766.562	37260.016	37136.961	37663.469	32845.477	32592.471	36877.93	37512.035	33883.531	34076.625	34012.355	32739.375	37748.93	38464.441	35892.918	33614.156	40172.93	36144	34469.684	35214.852	32626.609	36161.602	36883.258	35225.781	39831.734	37831.957	35850.285	32883.418	31853.842	39505.137	38978.485	36558.6525	35472.0375	40998.36	34550.9625	39831.75	37936.965	39180.8625	41255.05	39673.165	37116.815	37297.065	38546.1775	40094.3775	41684.0775	38950.485	37701.5725	39113.87	36878.4425	36949.8675	41150.81	39482.7975	40824.5225	39146.33	39938.9975	37848.425	39870.6725	37774.5325	39119.535
1.2008	38821.379	36297.434	34044.027	39590.086	39742.805	35133.008	36854.023	36949.055	34850.246	36271.027	40658.766	35025.48	34496.672	40704.625	39916.176	37077.938	33185.062	36397.105	32995.16	39375.086	34828.852	37186.57	33933.641	32534.92	37435.039	34032.496	41123.066	32435.33	32694.402	35898.742	35683.145	36620.125	29118.115	36881.285	34979.16	37035.957	37945.922	37295.266	35668.867	36151.219	34322.297	36092.254	36841.332	41703.805	37045.25	40858.875	38923.035	33665.875	37220.793	39338.582	35401.852	36854.383	38111.352	34048.828	30226.025	38299.477	37887.852	33679.562	35568.973	35451.688	31301.229	37368.348	38480.117	34807.836	33512.957	39488.391	37284.281	33350.055	37526.5	32350.334	36254.434	38098.73	34569.598	38658.137	38022.371	36787.559	32443.537	32908.836	39197.473	38076.93	41441.7425	37202.0725	40613.245	36446.35	39383.345	40936.1125	39409.025	41110.0975	39186.6125	36001.9325	37758.6875	39220.48	39142.515	40381.1025	38215.77	37020.02	39201.51	35976.3025	37151.145	40255.9925	41619.2725	42606.68	38612.185	39625.3675	38024.7125	39160.56	37460.3725	40241.9825
