x	Y_20181208_15100b_22_8g	Y_20181208_15100b_27_12g	Y_20181208_15100b_3_2g
0	9446.8516	11842.127	9208.0635
0.1334	9511.8701	12306.2871	9983.8506
0.2668	10023.6816	14504.1533	10951.8359
0.4003	11085.4424	19210.2344	12339.5371
0.5337	14554.3906	21734.4141	14217.4004
0.6671	20545.1113	20094.625	14218.6729
0.8005	21184.3418	18495.5195	13222.9521
0.934	16149.502	18247.3555	12765.1611
1.0674	14371.2822	17761.0918	12545.2676
1.2008	13336.6582	18037.1406	12936.6387
1.3342	12441.0615	16908.1543	12273.499
1.4676	12713.7871	15095.2734	12534.2793
1.6011	12938.4482	14556.3594	12536.9668
1.7345	12985.2725	14323.9834	13917.7832
1.8679	12880.0996	14234.041	14185.4521
2.0013	13626.3213	15530.5684	13059.5996
2.1347	14652.6572	16172.9795	12467.9365
2.2682	14393.8174	16787.5391	11772.8232
2.4016	14270.9375	16539.8438	11877.4395
2.535	14326.9004	14820.4336	11823.792
2.6684	14343.7949	14278.3721	12060.4277
2.8019	15064.5566	14591.167	12335.8535
2.9353	14142.5605	16670.8633	12272.4893
3.0687	15223.6562	17194.4629	12245.1514
3.2021	17116.4395	17493.2402	13258.873
3.3355	17828.3691	18319.9199	15295.0254
3.469	16535.9551	17549.627	15519.0557
3.6024	15690.1504	17595.8438	15088.335
3.7358	14739.5801	17601.2148	14803.7295
3.8692	13174.6904	16914.5527	12785.1387
4.0027	12852.624	14761.3818	13519.9492
4.1361	12298.918	14863.5342	13569.1504
4.2695	13022.4209	13228.0244	12786.8477
4.4029	12301.9854	13088.2637	12826.3066
4.5363	12774.2002	12598.3115	12637.9092
4.6698	13264.5	12141.7471	12551.3398
4.8032	12005.0635	12187.7803	12861.998
4.9366	12114	12623.5801	13976.0986
5.07	NaN	13374.3633	NaN
5.2035	NaN	13825.7295	NaN
5.3369	NaN	13067.8848	NaN
