x	Y_20181208_15694_1_10g	Y_20181208_15694_1_2g	Y_20181208_15694_10_10g	Y_20181208_15694_12_14g	Y_20181208_15694_12_5g	Y_20181208_15694_12_7g	Y_20181208_15694_13_11g	Y_20181208_15694_13_6g	Y_20181208_15694_14_1g	Y_20181208_15694_16_2g	Y_20181208_15694_16_5g	Y_20181208_15694_16_7g	Y_20181208_15694_17_1g	Y_20181208_15694_19_10g	Y_20181208_15694_19_12g	Y_20181208_15694_19_1g	Y_20181208_15694_19_9g	Y_20181208_15694_2_9g	Y_20181208_15694_21_6g	Y_20181208_15694_22_1g	Y_20181208_15694_23_4g	Y_20181208_15694_23_8g	Y_20181208_15694_24_14g	Y_20181208_15694_25_2g	Y_20181208_15694_26_12g	Y_20181208_15694_26_1g	Y_20181208_15694_26_3g	Y_20181208_15694_27_8g	Y_20181208_15694_28_1g	Y_20181208_15694_28_2g	Y_20181208_15694_3_10g	Y_20181208_15694_3_12g	Y_20181208_15694_3_14g	Y_20181208_15694_3_9g	Y_20181208_15694_4_6g	Y_20181208_15694_4_9g	Y_20181208_15694_5_8g	Y_20181208_15694_6_11g	Y_20181208_15694_6_15g	Y_20181208_15694_6_19g	Y_20181208_15694_6_5g	Y_20181208_15694_7_8g	Y_20181208_15694_7_9g	Y_20181208_15694_8_12g	Y_20181208_15694_8_1g	Y_20181208_15694_8_7g	Y_20181208_15694_8_9g	Y_20181208_15694_9_7g	Y_20181208_15694b_1_1g	Y_20181208_15694b_1_4g	Y_20181208_15694b_2_5g	Y_20181208_15694b_3_1g	Y_20181208_15694b_6_6g
1.3342	13591.1582	18730.043	15368.0322	13642.4326	14796.5322	13524.0693	15008.79	13823.0127	15107.0586	12765.2168	11636.6133	17669.2051	14885.4033	14054.3926	12436.7715	14064.2939	17720.5371	14464.458	13625.2578	12293.0215	14502.0039	13272.0508	13008.666	12428.1426	14786.7715	14176.2236	15334.3379	13720.6611	13872.4287	13989.5723	15953.8604	15625.3252	13717.4814	15527.5684	13138.9404	12574.5195	13186.7461	18719.1426	13618.2598	14449.6748	15235.1816	13706.4326	17737.0352	15518.9844	13942.4814	17726.7207	14288.9492	13766.5898	17232.6875	12584.1094	10475.4463	13266.959	14359.5488
1.4676	13365.5	18991.5586	14808.0615	12973.877	13790.5664	14210.4473	15242.8984	14197.5254	14035.249	12993.4844	11241.373	16273.9795	13112.5449	13953.1533	11921.4209	14068.749	18846.1719	14650.6191	13979.1367	12391.1914	15350.5674	13051.4717	13150.5371	12066.0908	14665.4092	13599.8223	13651.7559	13911.7686	14585.1787	13372.5654	15761.0791	14143.3936	13464.3477	15959.6562	12557.5332	12627.4551	13165.8477	18484.9082	14871.6094	14654.9092	14755.8955	13614.5723	17576.7598	15220.8857	14038.0703	15685.8613	14048.791	13397.5977	16340.7744	13320.9668	10204.4141	13853.6797	14594.166
1.6011	12432.7012	18008.168	14816.8799	12760.7256	14089.0078	13089.2002	14947.2217	14248.0391	15720.709	12505.9062	11355.2402	15309.2783	12331.168	13665.999	11842.001	15245.5928	19526.3164	13781.7852	13751.4385	12371.7051	14458.4199	12366.1543	13280.8838	12060.8428	15629.9502	12693.7617	14455.8545	13264.5996	14962.0479	12919.0527	15908.7402	13330.9434	14036.7686	14985.3076	13545.1055	12409.0166	13447.1973	18295.6191	14187.8496	14829.7227	14062.4668	13095.165	16951.1289	13595.4375	14465.7285	13241.1055	14425.6094	13468.0801	17281.875	12229.5791	10704.6826	13511.4629	14172.6006
1.7345	11566.0166	16982.7559	13552.2607	12439.6133	14216.9814	12684.3779	14553.2451	12903.9883	17123	12631.8076	11726.6504	14129.6982	11789.3301	13421.1016	11715.4854	16059.9688	18783.916	13338.6699	13641.959	11781.8594	14234.8994	10988.084	13432.293	12359.9062	14332.8428	12226.3154	13544.0547	13397.2344	14867.252	13300.1826	14965.0469	13307.0654	14784.6924	14559.5127	11838.416	13504.3467	13214.1211	18345.7383	14442.4873	15365.7207	14094.7998	12255.6963	15064.3467	13330.6865	13816.624	12652.3955	14850.5586	13115.1934	17869.2637	12469.7881	10816.083	13131.0459	13988.3076
1.8679	12117.2568	15741.4434	13014.1436	12830.377	12944.8877	12580.5068	14965.5488	12370.3486	16019.6367	12069.957	11542.6445	13705.1035	11978.7822	12175.4951	11045.8506	14694.1738	16585.1484	12739.0762	13558.2061	11464.9395	14748.2881	11331.3701	14046.8984	13397.7852	14550.3838	12613.9453	12910.7207	12976.6494	14275.1221	13043.7041	15559.1504	13446.1201	13761.6074	13789.4053	11773.8516	13155.8799	12999.3711	17623.5547	12354.6172	14664.583	14114.917	11672.6904	14393.8398	12021.4395	13572.2256	12067.0303	14782.2783	12515.6719	18566.9023	12574.6465	10466.1084	11509.3545	13812.4551
2.0013	11300.7578	14316.2256	13181.1953	12695.0723	13281.458	12234.9004	16414.5371	12619.1094	14744.8906	11205.4736	11178.2881	12374.7949	11671.9268	11603.1406	10947.9658	13561.9922	15851.4775	12537.3994	12953.3965	11403.1377	15504.8857	11036.6289	13537.5234	13513.5771	14866.6602	12213.2666	12817.9287	13407.0889	13954.71	12245.0303	16149.6885	12825.7188	11619.4805	13492.9912	11687.8652	12337.1289	12781.5352	16243.4512	12143.5068	14236.6602	14703.3525	11256.4717	13526.0176	12137.2158	13046.4932	12398.8994	14411.7041	12192.9131	17694.2305	12137.1523	10851.4512	11270.3066	13082.5449
2.1347	10799.6758	14395.9746	13042.2578	12093.0547	12416.7549	11720.3887	17375.8711	12786.5029	13618.792	11061.1328	11040.8184	12832.5156	12697.8906	11395.5244	NaN	12796.1768	14520.0449	12056.084	13568.5645	11504.5381	14957.8086	11104.209	13861.9121	12605.585	14364.0234	12156.8721	13803.0078	12803.6885	12999.5781	12386.7793	16579.6094	12725.9629	11168.6143	12846.7637	11959.9551	12285.5986	12202.2607	16218.5117	12312.5156	15285.7529	15457.998	11164.4482	13833.2441	12226.7178	12979.5996	12586.8096	13827.0605	11985.2422	14704.7129	12157.8584	NaN	11700.9805	12835.1738
2.2682	11058.6582	13531.6719	11763.3721	12086.1074	12946.3838	11189.0527	16143.5605	12846.2539	12765.3418	10830.2334	11320.8389	12430.1338	12023.8057	11439.2539	NaN	13139.8604	13661.9316	12177.4482	13156.4375	11354.0039	13624.9678	11625.6748	14077.2217	NaN	13923.6855	12153.9648	12636.3594	12355.127	12505.7236	12450.8613	15787.4521	11324.6992	11526.3379	11897.1006	11977.3965	12478.126	12345.6797	15285.5352	13367.0156	14076.7139	14293.4004	11021.8105	13687.6025	11410.4678	12660.9648	12295.9707	13486.2744	12505.7744	12625.8008	11893.9551	NaN	11201.4453	13049.668
2.4016	10716.7959	13671.2246	11492.6641	NaN	NaN	11149.1602	15167.6523	12570.4639	12069.792	11190.3779	12196.2354	11946.8281	11927.2178	11655.7373	NaN	13382.8594	12286.2324	NaN	12750.7393	11241.2373	13011.4199	11425.2686	14055.5273	NaN	12887.9746	NaN	12232.2461	12355.3223	12808.3818	12498.7285	14799.4268	11602.2158	11110.7012	11316.6357	11410.1211	11936.5293	12021.4629	14262.2334	12407.2461	13620.9238	13566.6377	11413.3496	13301.6104	11447.2471	12470.0957	11876.3545	12976.9053	11751.5059	12046.1572	11000.3662	NaN	11672.7715	12832.7939
2.535	11461.4277	13453.5771	10948.5391	NaN	NaN	10911.9336	14062.7539	12672.8027	11871.5039	11111.5273	12253.9971	12726.8564	10899.3691	11473.4209	NaN	12810.2168	11607.8457	NaN	12842.3193	10885.4551	12379.0859	10888.9795	13585.8223	NaN	12846.5645	NaN	12389.8115	11990.6982	12253.0117	12722.7842	14223.0381	11511.3164	NaN	12207.9785	11433.4902	11697.0488	12026.5605	13389.584	12071.9238	14410.0508	13205.8691	11372.7295	12494.2871	11211.1719	NaN	NaN	12351.6973	11614.0068	11703.5605	10535.6104	NaN	11955.458	12331.8643
