x	Y_20180212_14590_14_1g	Y_20180212_14590b_16_2g	Y_20180212_14590b_28_3g
0	13944.156	11421.674	12611.169
0.1334	13600.894	11811.882	14113.854
0.2668	15408.649	12557.911	15758.84
0.4003	17581.309	15152.697	18064.959
0.5337	18145.945	16799.691	17975.053
0.6671	17201.48	15700.384	17486.869
0.8005	18105.463	15607.891	17177.953
0.934	18253.189	15799.425	16723.584
1.0674	17415.666	14708.492	17030.098
1.2008	17315.307	14345.269	15914.582
1.3342	16933.773	14424.08	15288.926
1.4676	18608.047	15046.889	15599.398
1.6011	19337.615	14479.887	15485.707
1.7345	20599.559	15448.262	15644.92
1.8679	22889.363	16237.372	14831.61
2.0013	22448.803	17723.393	14145.186
2.1348	20446.197	19585.17	13619.174
2.2682	18535.844	20494.559	NaN
2.4016	17316.887	NaN	NaN
2.535	NaN	NaN	NaN
2.6684	NaN	NaN	NaN
2.8019	NaN	NaN	NaN
2.9353	NaN	NaN	NaN
3.0687	NaN	NaN	NaN
3.2021	NaN	NaN	NaN
