x	Y_20180130_15100b_10_2g	Y_20180130_15100b_10_3g	Y_20180130_15100b_10_4g	Y_20180130_15100b_11_9g	Y_20180130_15100b_12_6g	Y_20180130_15100b_12_7g	Y_20180130_15100b_13_9g	Y_20180130_15100b_15_13g	Y_20180130_15100b_15_9g	Y_20180130_15100b_16_4g	Y_20180130_15100b_17_11g	Y_20180130_15100b_18_4g	Y_20180130_15100b_19_11g	Y_20180130_15100b_19_7g	Y_20180130_15100b_2_6g	Y_20180130_15100b_20_11_2g	Y_20180130_15100b_20_1g	Y_20180130_15100b_21_7g	Y_20180130_15100b_23_10g	Y_20180130_15100b_24_11g	Y_20180130_15100b_24_14_1g	Y_20180130_15100b_3_14g	Y_20180130_15100b_4_1g	Y_20180130_15100b_4_21g	Y_20180130_15100b_5_11g	Y_20180130_15100b_5_12g	Y_20180130_15100b_5_16g	Y_20180130_15100b_5_18g	Y_20180130_15100b_5_5g	Y_20180130_15100b_5_7g	Y_20180130_15100b_6_10g	Y_20180130_15100b_8_8g	Y_20180130_15100b_9_1g	Y_20180130_15100b_9_3g	Y_20180130_15100b_9_5g
0	39345.25	33997.09	36157.004	38261.637	36161.332	33079.938	34596.766	32458.771	36898.098	33493.297	41723.543	36539.898	31727.521	32263.092	36591.344	34493.688	32269.031	38285.484	37765.676	28889.662	41553.586	38359.785	36859.973	33773.941	32516.566	36364.547	37489.551	39074.133	34872.488	39427.309	38337.332	34938.809	36906.676	34070.5	35231.172
0.1334	39084.668	32998.805	37004.211	38860.484	36207.859	35083.898	33547.004	33183.621	36451.461	32031.748	41854.766	37006.789	32502.24	31069.717	38390.473	34576.879	34844.266	38454.613	38657.27	28754.965	41226.973	37272.758	35588.746	32550.363	32164.094	37041.098	38533.375	39795.059	35755.062	37042.395	37031.617	36119.352	36801.082	33448.91	33223.645
0.2668	40699.141	32303.762	35389.82	38972.871	38072.633	34875.254	34827.984	32217.986	37149.602	31670.877	40380.344	34572.051	33277.363	30974.604	37230.348	35235.848	34172.098	38746.605	40410.57	29970.953	39560.801	37903.23	37423.203	32521.688	32189.691	36810.645	39486.551	38499.684	37633.215	37856.801	36282.812	36319.57	35975.895	33551.273	33469.414
0.4003	39480.055	31362.688	36692.457	37861.109	37711	33759.98	34695	31788.814	37671.852	33292.395	39751.969	34669.852	31541.773	30777.936	35901.926	34033.227	33344.922	38195.852	41160.227	29323.752	39257.168	37878.938	37496.371	32811.859	31979.018	35692.852	39027.191	40233.227	38667.02	40214.5	38277.266	35669.914	35467.066	34447.562	33197.027
0.5337	40188.516	31388.111	36548.094	36917.586	37479.797	33049.523	34417.324	33517.59	35754.527	33388.93	40168.945	35046.18	31581.137	31264.139	34852.316	34546.773	34114.684	37675.414	40738.723	30138.209	37782.238	37860.367	37340.48	33293.621	32607.275	37331.344	38025.387	40138.438	38125.09	39162.297	36017.172	35031.816	36260.531	35078.246	34788.152
0.6671	39130.77	32805.059	37286.605	37877.145	36772.473	33282.516	35384.66	33317.938	35121.512	33039.121	39194.047	36908.977	31825.389	31096.453	35516.035	33588.719	33925.145	37332.953	39216.641	29978.768	38325.527	40251.75	38584.914	33720.395	31975.83	39277.562	37605.156	39917.219	37467.957	38754.676	35726.895	35011.531	35589.715	37284.367	35763.387
0.8005	37748.582	33032.492	38431.133	37977.152	36729.621	32911.293	35880.137	34048.566	35589.402	32878.504	38996.355	37018.441	32384.418	30915.289	35706.699	35052.371	35532.734	40847.062	40636.934	31895.156	39503.402	39954.688	39206.918	33644.777	34206.004	42802.008	39456.098	39762.812	36806.777	40124.691	36375.051	33932.102	35118.984	38476.188	38744.645
0.934	38033.902	34475.871	39238.883	38062.102	36646.832	33801.02	36636.777	36220.707	37838.891	33615.629	38875.293	37768.25	33884.219	32667.656	34525.34	35737.77	38233.66	41083.715	40733.605	33251.184	41998.336	41500.898	39454.891	32183.074	36714.727	47217.637	40971.082	41569.055	36797.512	40411.145	38975.188	35228.008	36107.441	41941.555	38526.832
1.0674	36449.785	35369.176	43300.086	42219.121	38912.488	32738.98	38544.93	40110.77	39305.562	34705.312	39122.004	40681.309	37647.832	32153.305	35058.863	38444.562	41878.062	42687.062	46896.93	35626.832	46521.66	46332.828	39869.508	35230.141	43763.828	62473.406	45904.637	43262.324	39204.703	42594.109	44634.66	37308.598	36515.305	49624.352	43317.84
1.2008	37960.996	41031.785	48341.078	47240.559	41773.648	34842.723	43318.906	52146.352	42808.617	36511.914	41632.27	48889.727	47232.219	32121.033	37644.402	43481.191	55035.035	50507.105	53528.535	40488.66	54216.727	65544.047	43973.902	39263.484	51433.43	97419.25	58050.328	49337.895	44191.383	46390.438	61761.754	44698.992	39263.836	69614.453	60033.973
