x	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_1g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_5g	Y_20181208_15693b_10_15g	Y_20181208_15693b_10_2g	Y_20181208_15693b_10_5g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_12g	Y_20181208_15693b_11_17g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_10g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_9g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_15g	Y_20181208_15693b_3_7g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_17g	Y_20181208_15693b_4_9g	Y_20181208_15693b_5_12g	Y_20181208_15693b_5_15g	Y_20181208_15693b_5_24g	Y_20181208_15693b_5_4g	Y_20181208_15693b_6_10g	Y_20181208_15693b_7_10g	Y_20181208_15693b_7_12g	Y_20181208_15693b_7_9g	Y_20181208_15693b_8_13g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_11g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_6g	Y_20181208_15693b_9_7g
0	13889.5361	13579.7891	14738.4697	11463.7148	14607.1582	11332.5137	10484.4766	11557.1777	11591.2656	12410.4551	11724.4014	11979.5127	12417.8574	12572.457	15358.9717	10839.166	10809.499	12218.9756	12719.2529	11039.7852	11744.96	11070.1387	13109.0723	12237.5107	14953.7764	13869.2139	11851.7344	11074.793	12032.3584	13235.3555	12082.335	12028.1934	15468.9795	10654.1875	11586.2637	10439.5488	11761.3477	11658.7314	11799.2041	11571.3213
0.1334	14738.7832	15143.3867	13916.1328	12500.0381	16988.6777	11165.3809	10633.4395	13205.8252	11975.4629	12537.1064	11368.5498	12244.8955	12516.8848	13713.7627	16196.1621	10702.7178	11018.6514	13766.4688	13905.126	12137.3711	12212.793	12450.5967	15297.7236	13188.8389	16974.4609	13646.3213	13553.5723	11543.3535	12795.082	15391.334	14773.3574	13173.1924	19411.9316	11327.3477	11787.5215	12347.3584	11692.0889	12176.5713	12000.2832	12693.7969
0.2668	17773.4785	15645.8652	13768.375	12618.1064	19852.5234	13182.5361	12092.4873	15105.5566	12794.792	13311.4209	11426.1992	11989.2705	12752.6758	15952.9863	15680	10844.2285	11951.8799	17843.3066	15721.0596	13753.5264	12043.0488	13416.3516	18140.0469	14825.9707	18620.9238	17039.1211	16295.8105	12514.3711	15481.6221	17328.1465	17502.2617	14882.2236	21449.1348	11863.3389	13298.1924	15793.5869	11737.0498	12372.8096	13123.9209	13399.2891
0.4003	20689.1602	14540.5654	13414.7129	13737.2773	21210.2422	15654.501	13083.0322	17619.4766	14349.1318	17001.4082	12778.3926	12830.835	14826.4609	18670.8223	16432.793	11546.6025	14095.9521	22143.5293	16438.5293	15978.7842	12451.8857	14707.127	17966.0879	16547.4316	17484.0195	19185.4785	19966.4863	15800.7568	17278.7852	15080.3516	17599.4004	16820.8926	20497.1406	12369.8711	14638.0361	17798.7656	12656.4951	13750.7949	17175.3301	14844.4502
0.5337	21287.4434	18532.2578	15172.0459	16847.2988	18899.582	19585.5742	14150.7246	17050	18848.1621	18500.5859	15084.9336	14916.5977	17025.7363	18101.8398	16459.375	12281.0381	16762.6133	21849.877	14916.5381	15619.5635	14857.5537	14127.9375	15712.5234	16415.8262	16323.6943	18981.6367	19621.2324	16014.2646	15135.2168	13331.2959	14907.4414	16703.9648	18752.0781	13601.5596	15508.7158	17677.3945	14018.3877	16605.2559	18901.4375	15444.9053
0.6671	18222.9414	21914.8477	18125.8691	23896.6895	16586.2949	19786.748	13290.2051	15060.6816	23525.8555	19211.6992	18337.4844	15770.498	16697.5352	16146.5	15373.9189	14379.9775	18693.8984	19546.4238	14070.7559	16722.4883	17442.4395	13146.3896	15831.0283	14885.3096	14914.0068	18951.0664	17621.2285	14651.9805	12952.9932	12473.8232	12445.9307	14117.7031	18025.6016	13363.7764	14302.9463	16103	15887.709	20636.7676	17934.1016	15278.2217
0.8005	17522.7656	20889.2422	21460.7559	26503.9727	14892.4648	18205.4297	12814.9209	13409.2168	24940.6211	18120.9629	18147.6406	13752.8799	16767.0078	15541.8496	15530.3564	16057.1709	19270.9648	16756.4609	12381.0029	17334.4258	20238.2715	12682.0078	14964.7324	13050.7471	14242.1533	21474.7676	15936.5049	14915.6602	11836.3477	12231.125	11447.9668	14384.0693	15945.4043	12487.7236	15402.7236	15149.4668	15660.6592	25228.0273	17656.8398	14544.9238
0.934	16754.4453	16472.3164	20986.4844	26244.9414	14034.7305	16746.5137	13205.7861	13397.0703	20839.9707	17852.6855	17240.1797	13604.4062	17052.0059	14478.9141	15608.4668	14935.2979	16617.4844	15882.9365	12259.2832	16641.2812	19807.5254	11734.8809	14467.5215	13364.2832	12841.7188	25493.0352	14764.1191	14530.5244	11544.3301	12501.249	11422.8701	14866.9678	14603.9355	11094.3887	16124.7783	13722.002	14806.6064	25830.3359	15882.9023	13370.2646
1.0674	16011.25	15297.8359	19767.0312	26147.9766	13997.6641	15228.1777	12301.2549	12787.9873	17890.2793	17532.4492	15327.4473	12369.3818	16853.7539	13242.9463	14942.6572	13509.5459	13296.8105	15396.9707	12870.5117	16509.125	16977.8574	12340.4629	13109.7539	12961.4492	11955.8242	29426.6191	14716.5049	14073.085	11411.1084	12568.4277	10984.3008	15891.0625	14010.6592	10624.4219	16086.041	13455.332	14562.5908	21699.8125	14366.1436	12785.9639
1.2008	14019.3564	15151.0771	19723.1406	24631.5352	14079.4033	15176.5469	11220.8125	12328.5088	16066.0234	18201.7676	14088.9346	11892.9053	15944.7725	13166.3467	14712.0664	13060.4463	12289.3584	14747.3311	13458.6836	16963.4355	16061.2842	12365.3574	12272.5918	13768.4775	11676.041	28738.3359	15779.5215	14207.5234	12262.3809	13531.6885	10866.2744	16685.1348	13829.085	11168.9209	14751.2227	13799.2812	13946.0615	19207.5566	15748.5078	13746.6016
