x	Y_20180224_15100_10_2g	Y_20180224_15100_11_6g	Y_20180224_15100_13_1g	Y_20180224_15100_13_6g	Y_20180224_15100_14_2g	Y_20180224_15100_15_4g	Y_20180224_15100_16_1g	Y_20180224_15100_17_4g	Y_20180224_15100_19_6g	Y_20180224_15100_20_10g	Y_20180224_15100_20_11g	Y_20180224_15100_22_4g	Y_20180224_15100_30_4g	Y_20180224_15100_33_7g	Y_20180224_15100_7_10g	Y_20180224_15100_7_3g	Y_20180224_15100_9_10g	Y_20180224_15100_9_7g
0	41555.18	37503.797	37820.328	42193.945	37749.012	38160.699	37519.34	39195.949	35156.492	32556.348	38036.277	42237.137	38957.609	34828.953	38926.23	40315.527	40066.57	35834.398
0.1334	41899.348	36108.414	37448.609	43341.652	37615.328	39543.836	39049	37892.637	34990.5	32772.008	37581.184	41096.543	39429.805	35525.789	38863.102	40077.094	40283.789	36588.191
0.2668	43102.504	36194.07	36629.086	44940.508	36853.102	40739.793	39806.172	37410.035	36345.348	32804.383	36603.242	41561.141	37662.172	34271.016	38105.109	40370.598	40001.766	37187.93
0.4003	41298.664	36060.266	36476.852	43470.258	37893.578	37642.984	40526.449	40015.723	35936.332	33332.766	38799.641	40978.473	38216.164	35596.094	37855.328	38282.684	40609.352	36897.371
0.5337	41484.895	36194.266	38311.809	42269.66	38490.223	40910.562	42399.453	39000.816	36142.242	32783.18	36852.941	42396.008	39845.641	35742.426	38480.137	41399.051	40609.863	37118.883
0.6671	41673.574	38191.457	36590.055	43493.109	40339.297	40116.559	44359	38869.484	35772.543	32012.812	36962.609	43666.387	40215.027	35347.941	39918.977	40884.66	41719.188	39142.684
0.8005	42469.887	39254.449	35307.723	42163.926	39537.879	40826.172	46531.18	43174.746	36177.297	32792.668	36859.953	44984.453	39773.059	36467.336	40400.941	38841.406	40707.711	37210.391
0.934	42627.039	37500.137	36428.586	42190.062	40594.176	40427.711	48801.422	43192.391	38062.992	33241.629	36728.371	42691.777	41210.125	35496.105	41123.852	37885.766	40042.742	38303.969
1.0674	42045.648	36966.359	39113.387	41512.66	40428.551	40268.008	51572.641	40038.188	38331.676	33464.938	36970.887	43809.055	42813.789	35856.188	41911.742	40928.77	40379.09	39175.492
1.2008	42874.922	36904.148	38422.992	39759.691	40129.191	39937.676	52605.555	41659.184	37300.789	33960.008	37323.395	44242.957	42083	36184.52	42709.016	38210.879	41431.934	39145.625
1.3342	46421.977	37331.66	38958.414	42258.762	43879.918	41510.715	53480.488	41387.094	42032.457	34133.738	37468.656	44129.703	43776.961	37099.047	42219.391	39489.168	42737.109	42153.676
1.4676	45613.801	38918.273	40992.281	45440.832	47555.555	41151.48	52175.039	43158.707	45082.91	34225.961	39734.012	45032.027	44042.129	36149.074	44057.57	43506.996	42818.656	43853.887
1.6011	43535.547	38705.898	47521.559	49471.086	54945.285	44656.297	53375.414	42649.637	57037.785	35637.609	41170.375	46278.25	48062.004	37635.195	48193.555	48513.102	43133.844	41923.547
1.7345	44300.035	39136.77	53631.492	63125.84	71300.992	50884.328	58679.211	44639.91	86852.422	38261.531	43989.008	49960.035	57672.062	39216.996	53246.211	54799.691	46790.273	44965.125
