x	Y_20181208_15692_30_11g	Y_20181208_15692_30_16g	Y_20181208_15692_30_6g	Y_20181208_15692_30_8g	Y_20181208_15692_31_7g	Y_20181208_15692_32_7g	Y_20181208_15692_33_10g	Y_20181208_15692_33_12g	Y_20181208_15692_33_13g	Y_20181208_15692_33_3g	Y_20181208_15692_33_4g	Y_20181208_15692_33_9g	Y_20181208_15692_36_1g	Y_20181208_15692_37_17g	Y_20181208_15692_37_6g	Y_20181208_15692_38_10g	Y_20181208_15692_38_16g	Y_20181208_15692_38_9g	Y_20181208_15692_40_13g	Y_20181208_15692_40_2g	Y_20181208_15692_41_4g	Y_20181208_15692_41_6g	Y_20181208_15692_42_1g	Y_20181208_15692_42_7g	Y_20181208_15692_43_17g	Y_20181208_15692_43_20g	Y_20181208_15692_45_15g	Y_20181208_15692_45_1g	Y_20181208_15692_45_2g	Y_20181208_15692_45_3g	Y_20181208_15692_45_6g	Y_20181208_15692_46_15g	Y_20181208_15692_46_5g	Y_20181208_15692_46_8g	Y_20181208_15692_46_9g	Y_20181208_15692_47_12g	Y_20181208_15692_47_8g	Y_20181208_15692_6_6g	Y_20181208_15692_7_12g	Y_20181208_15692_8_7g
0	13155.3965	10070.1709	10114.7207	12153.5996	11601.4629	10943.3857	11889.8818	13882.8398	11300.9316	11834.8945	13296.5039	12893.3691	12015.8848	12106.2705	10234.7412	10695.9727	9407.4795	11801.0254	11943.8232	12110.1553	11069.4922	11638.7891	9733.2705	13640.1367	13780.5967	11277.8027	9611.6387	11674.2979	13005.9473	10252.249	11504.7842	13785.4648	12565.2998	11314.5918	10881.2393	13391.9229	11346.9287	12822.5996	13048.8643	12397.8604
0.1334	13975.7041	10060.4443	10765.3545	13368.4785	12540.9697	11682.1143	14915.0537	15411.8965	12845.334	13176.2686	14418.4434	12716.3408	12327.2471	13732.2529	10561.835	11372.7041	9598.2031	11545.5518	13225.5547	12624.335	11229.5225	11708.0869	9914.9023	14420.4531	14003.6318	12250.2178	10110.8555	12113.8799	13385.3555	11672.6846	11917.1201	14650.9414	12736.4014	12042.498	11215.0986	14548.0488	12158.5176	14247.5049	13234.8516	14195.208
0.2668	15042.6787	10318.5381	11567.2314	15468.6348	15365.8799	13636.4648	18489.0098	17956.377	12765.3945	15338.4287	14285.2139	13768.7373	12476.3652	15982.5186	11448.5791	11318.4668	9807.7754	11808.418	12833.457	12754.9453	12518.6211	12124.8389	10014.4609	17794.6602	16828.8848	14032.9238	11152.4512	14529.543	16265.8584	15684.3037	12306.8984	16025.8135	14059.665	13082.1162	11137.2803	14399.2676	14675.2129	16939.7305	14189.9199	18419.3809
0.4003	14831.2236	11382.7812	12412.6826	19124.0586	16718.1836	16511.0293	19652.9258	20227.9609	14085.8994	16252.0234	14213.4902	16155.7686	12352.5791	15547.3516	12847.3359	12394.2139	11555.6055	11452.9346	14224.4727	12957.1562	13313.9639	15540.7295	11538.918	18716.3418	19659.9863	16448.6465	12680.0635	15797.5977	20126.291	20597.4922	13480.4795	16013.7607	14020.4932	16633.5879	13291.8955	14597.2373	19045.5176	19836.8301	15185.9971	20959.123
0.5337	15367.541	12247.3994	13417.21	20392.2871	16336.2129	18808.7031	18592.8496	17791.4141	16256.4268	15717.54	14256.3477	17354.9102	13053.2158	12839.3789	14860.6709	12635.9473	14346.2861	11729.6553	17625.7734	12957.2734	16634.8438	18185.168	14763.0811	17693.2676	19962.9004	16559.7207	14577.7012	14784.7666	21095.7168	22077.0723	16402.0898	14857.4736	15740.4473	19108.0039	15409.0508	14199.6953	18774.6113	20461.9102	17512.0391	20239.0781
0.6671	14898.8887	14336.459	16318.6816	18765.1309	14263.9512	17067.5742	16119.5908	15671.6611	19913.8066	15642.0781	14259.624	17685.9883	14464.6934	12113.1221	15574.6299	14727.2148	19355.4238	12460.5547	19921.2871	15625.6426	20973.2324	18148.582	17341.8691	14407.6719	19010.875	15756.2246	18387.3945	12839.3984	19609.2891	18293.7715	18270.5625	13530.7129	19502.1582	19270.6133	18134.7441	14583.0449	16428.1191	16910.0488	18601.7812	18327.3027
0.8005	13451.5898	19916.6426	17204.9707	16929.0195	13031.0459	15642.043	13039.1836	16466.3652	21954.2402	15587.3516	15747.2695	16912.1602	14083.2539	11033.624	13321.7871	16125.542	19684.6406	13078.0469	19996.2676	19319.1914	21484.4023	16413.2773	16959.9609	12345.2666	17381.6953	13906.9521	18486.498	11956.6562	18849.4141	16202.5049	17304.2539	13085.4727	19520.3027	16612.4473	16316.4453	14227.0225	15076.9619	15056.8584	17590.1543	15401.4629
0.934	14277.5029	25282.9551	17542.4121	14707.2236	11656.4102	16190.5635	12583.2461	15836.7998	19970.0449	14908.5674	17014.8613	16671.5977	12852.9453	10857.0176	12493.2832	16017.7197	16296.2295	13242.1152	16888.6621	19243.3262	20798.9258	15661.2861	14699.8506	12331.7217	16451.877	13150.9502	16105.4473	12242.0869	18376.6816	16224.4531	14411.1924	13113.0908	16850.1895	15976.8037	14099.375	13635.3809	13858.6602	13940.4893	16435.459	13959.9297
1.0674	15661.0537	22856.2461	15075.0098	13380.3193	11610.4629	16825.3867	12433.8301	16149.8379	17192.3965	15167.0781	19808.6895	14008.5654	12657.1035	10982.377	12851.3535	15399.8818	15499.3984	12871	16883.3945	18251.1875	19277.6133	15327.7119	14305.1025	12795.6709	15673.4199	12279.9717	15724.4668	13278.5293	17941.2363	15776.292	13540.2266	13200.958	14832.1064	15037.3242	12796.248	13285.3643	13049.2891	13268.9873	16527.9512	12671.1084
1.2008	16405.6777	17669.5039	13245.4297	12828.1533	11135.8154	15373.1836	12281.0527	15567.9414	15061.375	15535.5566	23466.3086	12642.9775	12150.0879	11473.6709	13457.0342	14095.8896	14653.7988	12121.7891	16520.7363	16593.0078	16862.3398	14183.5576	14388.4404	13824.7246	14683.7559	12270.9844	15334.666	12840.96	16414.1621	15464.127	13622.5059	13187.2012	14469.8271	14980.3154	13137.7168	12609.1865	14829.7998	13034.832	16758.9668	11291.5312
1.3342	16190.5332	15599.2256	12664.9502	13337.4736	11346.2012	14206.4502	13254.8008	15286.541	13791.2012	15630.2432	20515.1875	13038.0713	12167.8213	11916.8203	13347.6025	13755.0137	14056.7129	12503.7129	17076.2383	17726.4219	13901.4404	14071.4912	14903.2744	14480.8789	14002.2744	12732.6416	15119.0977	12838.877	15520.8818	15829.3291	13037.335	11944.957	13630.0928	14626.6631	15017.4199	12211.3193	14810.8145	12696.7734	16600.5391	11359.3682
1.4676	15556.2012	14776.416	12401.2598	12796.8926	11198.6504	13233.2168	12964.0439	15621.1426	12653.6758	15153.5156	18011.2715	11794.8652	12017.7402	12220.4131	14078.0361	12687.3135	14556.2549	12659.9844	16012.75	17462.3555	12472.5938	13266.6943	14000.1904	14737.0928	13051.5293	12515.8818	14976.3516	13693.2129	14036.4072	15142.0352	12535.5322	11379.1279	12898.0117	14836.2539	14111.8779	13307.6846	15600.7627	12213.3467	16338.5352	11402.7197
1.6011	15585.7148	15150.9893	12280.8652	12330.5	11477.8604	13103.5586	12864.25	14910.8281	12874.8076	14858.8242	16536.4004	11912.3916	12132.2822	13277.2764	13101.749	12784.2158	13737.1143	12873.8408	14617.8252	17059.9531	11889.3965	12268.6084	14089.4277	15107.8926	13958.8574	11447.8594	15331.1543	13339.3486	12486.0889	15782.1738	13284.5908	11025.9678	12136.4346	14152.2422	13548.1953	14514.7217	15888.3027	12660.959	15768.9102	11506.4678
1.7345	15940.6826	15220.9268	11838.8486	12468.8418	11876.252	13414.0908	12710.5176	13914.4365	13018.0029	14177.7139	15963.5957	11895.6055	11784.999	12408.043	13541.1836	11694.2676	14955.1982	12190.9258	14026.3848	15745.2354	11999.1992	12244.0361	14917.5156	14213.6055	14719.5674	12129.0244	15388.7949	13266.6748	11828.5127	15701.209	13131.7041	11501.9092	11635.8389	13935.9795	14681.9346	14106.6611	14018.6953	12757.833	15521.7715	11658.125
1.8679	13697.3262	16245.9316	11775.8018	12706.0664	12493.4551	15413.8506	12233.9814	13737.9004	12978.8672	15190.4102	13007.1084	11946.2627	11791.1787	13526.7402	13550.6914	11156.3477	15575.9492	11575.0732	13694.8242	15471.0986	12646.8838	12669.9141	15918.6445	14793.4971	15140.2119	13127.4814	15786.1025	13388.0137	11562.1104	15312.6064	13531.8945	12357.1943	12056.9736	14176.4463	14817.8467	13339.5996	12770.5918	11810.6377	14889.5225	12090.2148
2.0013	12711.4336	17150.4688	12074.6455	13045.8516	12831.3457	16659.1777	11906.1426	13909.1025	13330.4912	14068.46	13678.96	13085.9512	11951.0635	14016.2588	12995.8291	10684.3164	16312.585	10954.8379	13865.3174	13791.3838	12316.4072	13177.1064	14471.041	14607.2676	15471.7422	12919.9004	14318.7939	14524.0371	11559.7275	15072.9629	13248.0732	12502.8096	12160.3984	14584.208	13858.9385	11842.9785	12660.833	12704.1953	13471.6582	12131.6084
2.1347	12285.4873	17526.166	12312.6133	13530.5	12290.8477	15494.4209	12441.4678	13409.4268	13369.9922	13626.7812	13369.501	12838.335	12273.4512	13207.8975	13218.5176	11035.0645	15544.7236	11155.3721	12978.0752	13905.8018	13005.2646	13778.0605	13412.8223	14311.4678	15008.8574	13132.75	12963.8428	14378.1699	11334.666	13600.5879	12322.9922	12112.6182	12786.9668	13698.1191	12985.5254	11638.1309	12847.6387	13928.5635	13513.6533	12047.2959
2.2682	12961.3926	16721.5059	12572.0625	12842.5684	12490.4492	14701.4404	12109.5947	12965.9131	14186.2168	13236.2471	14311.4824	12372.7285	11807.2266	13122.3945	13388.6094	11403.9121	15481.6816	11044.0332	11741.042	12878.0898	12912.8359	14149.0342	13182.0342	13770.1592	14311.1094	12024.917	12261.3574	12652.3203	11465.6543	12454.7051	12008.1875	11659.5889	13551.2324	13087.4238	12815.1934	12081.5791	12166.0762	13539.4932	12947.9766	12046.0986
2.4016	12924.7559	15101.4336	12007.5801	11812.7324	12021.0859	14141.0254	11950.3066	12382.1582	15030.1982	13041.0586	15319.2266	12106.4902	11703.5947	12180.5078	12283.3652	10945.2061	15705.5039	10645.75	10983.6738	12863.2383	12916.2969	14397.582	11523.7734	13532.2744	13915.7637	12150.9785	11374.0713	12311.8994	12131.7656	12478.6943	11776.373	11873.6777	12722.5664	13139.2119	12947.3047	11840.9707	11368.29	14103.4971	13154.5264	11932.8047
2.535	12193.2207	13939.5498	12623.2979	11113.8613	11704.7422	13811.0859	11907.8916	12222.3154	16384.8496	13023.4414	16612.6621	11873.168	11252.3623	11099.124	12096.2852	11238.3438	15076.5771	10297.46	10861.1328	12584.3145	12839.6377	13642.2051	11296.4707	12587.2744	13899.6406	11690.7646	11128.2842	12044.7256	12303.0205	12302.1865	11382.4707	11701.0547	13953.3359	12005.6396	12246.8926	11927.4551	11374.6953	13607.1484	12762.0449	12032.1162
2.6684	11716.0518	13463.8887	13159.1084	10749.3682	11385.3105	13579.2686	12209.6924	11988.6592	16443.6426	13336.9053	15559.3984	11335.75	NaN	11001.5859	12056.5137	11623.0762	14278.4775	10568.3027	11121.1846	12288.9502	13097.2197	13077.416	10558.375	12998.251	13886.0479	11438.623	10951.6611	12461.6621	12685.5645	11660.6572	11723.6836	11661.623	13586.416	11836.6279	11403.0039	12509.7041	10948.6709	13640.917	12352.9795	11399.373
2.8019	12098.6191	13455.4424	13468.4014	10342.8672	11866.6064	13270.7275	12348.1465	12114.9668	15184.999	13205.0029	16469.0684	11296.0459	NaN	11729.4229	11964.4023	11581.3086	13739.6172	NaN	11097.3271	11913.7041	13445.4707	12552.4248	11015.8369	12264.0215	13614.2168	11091.0059	10595.2324	11228.2441	13496.9062	11628.1973	11228.9922	NaN	14121.6318	12358.0693	11574.5352	NaN	10961.5918	12385.373	12125.0361	11418.3799
2.9353	12407.0703	12690.2764	13267.5596	10720.1426	NaN	13022.2988	NaN	12011.2178	14372.6221	12663.082	15274.7207	10843.8389	NaN	11564.5654	11282.8281	11172.9121	14434.4717	NaN	11431.1904	NaN	12446.1055	11748.8838	11406.8418	12474.085	13301.4688	11435.2061	10898.0137	10749.6641	12827.7959	12229.2559	11585.8643	NaN	13004.6768	12722.6523	11818.123	NaN	11396.6455	12817.8379	11521.5527	11961.8467
3.0687	NaN	13098.7803	12279.7793	9895.9951	NaN	12432.2812	NaN	12197.2373	13995.7256	12848.0176	14871.8174	10674.1201	NaN	11624.9473	11320.0908	11100.0605	14729.6299	NaN	12040.2861	NaN	12135.3555	11779.0166	12006.3359	12372.8623	12944.627	11543.3545	11231.5879	NaN	12940.7129	12466.2051	11797.3799	NaN	12209.7949	12510.0225	11738.7207	NaN	10738.9912	12912.8262	11062.583	11987.9209
3.2021	NaN	12960.8008	12137.1172	10040.5859	NaN	12616.0615	NaN	NaN	13183.1367	NaN	14880.5918	10774.0674	NaN	NaN	10833.2441	11227.7129	14145.5195	NaN	11972.1211	NaN	11570.8027	NaN	12044.0244	11872.21	13234.5322	NaN	11084.8242	NaN	NaN	NaN	NaN	NaN	12703.1885	12150.6533	11430.041	NaN	11490.8652	13129.4023	10820.0557	12680.9639
3.3355	NaN	12898.4561	12164.2158	NaN	NaN	NaN	NaN	NaN	12362.3193	NaN	13955.3115	10894.373	NaN	NaN	10832.0557	11268.7695	13328.585	NaN	11279.8057	NaN	11688.4629	NaN	12146.4316	NaN	13354.3857	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12010.3408	12633.0176	12090.0996	NaN	NaN	NaN	10738.2754	NaN
3.469	NaN	NaN	11561.2334	NaN	NaN	NaN	NaN	NaN	13043.4414	NaN	14269.2002	10189.8301	NaN	NaN	NaN	NaN	13286.041	NaN	11446.208	NaN	11329.8232	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11847.5889	12763.1182	NaN	NaN	NaN	NaN	NaN	NaN
3.6024	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12824.4561	NaN	15389.6348	10374.9326	NaN	NaN	NaN	NaN	13448.499	NaN	11622.3389	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12005.0732	NaN	NaN	NaN	NaN	NaN	NaN
3.7358	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12485.2754	NaN	13686.4492	10555.8506	NaN	NaN	NaN	NaN	13474.5117	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15046.7178	10686.3818	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
