x	Y_20181208_15100_11_4g	Y_20181208_15100_14_1g	Y_20181208_15100_16_1g	Y_20181208_15100_6_10g	Y_20181208_15100_6_3g	Y_20181208_15100_6_6g	Y_20181208_15100_7_8g
0	11460.54	12361.5508	12144.915	12587.0898	11174.5332	12550.9688	12764.752
0.1334	13540.8682	14705.9053	12448.6689	13131.2832	12886.6523	12867.7734	15988.4668
0.2668	16798.9004	19705.4473	15223.8125	14839.5469	16567.1953	14768.0273	21366.3438
0.4003	26014.3418	24186.4492	16943.8457	18716.8984	19057.4727	15107.7803	20573.4297
0.5337	34883.8477	23069.5645	18523.2012	18943.2324	18378.3711	19533.4531	18282.6562
0.6671	37155.668	19141.1426	18570.166	17387.0684	16513.1289	25194.3066	16401.5449
0.8005	32572.75	16050.5195	18409.8359	14486.8652	15673.2686	25995.3008	14935.4248
0.934	26932.5918	14367.8564	17374.2598	12937.4355	14945.6318	21462.7871	13966.6416
1.0674	24446.8457	14067.1143	15007.7822	12201.0361	14453.1299	18104.4238	14471.1426
1.2008	21801.9414	15103.1045	14873.3252	11758.6602	15055.4678	15971.207	14296.1611
1.3342	19845.3301	14773.6406	14609.4922	10931.1924	14053.7754	14753.6992	13335.7559
1.4676	18002.8281	14927.5312	14384.7334	10894.0566	14391.1426	13308.2646	13659.8555
1.6011	15956.1084	14262.3711	14084.0127	11876.1143	14220.6514	12394.9707	13854.7305
1.7345	16723.5078	14148.7021	14026.168	12903.3066	13939.9443	12591.7568	12955.8184
1.8679	16446.0859	14627.1191	14286.4736	12947.7305	14038.4229	12047.9492	12672.584
2.0013	16329.8486	17294.2598	15039.2764	13526.6084	14568.3643	12558.4541	12436.041
2.1347	16179.9746	17731.8223	15158.2549	13986.1367	14750.6406	13072.0869	12852.9336
2.2682	14714.7568	17029.5195	15436.4893	14161.6309	14934.7578	13266.9395	12084.2617
2.4016	13943.457	16183.8613	16229.5664	13952.1846	16814.4375	13354.2637	12580.1035
2.535	15937.5762	15336.458	17477.043	15836.2646	17186.2207	13163.0283	13159.1328
2.6684	16204.7539	14739.0439	17573.7031	15242.6943	16809.498	12591.9502	12530.6562
2.8019	16719.2578	14199.791	16337.5283	15147.8838	15119.8418	13467.1172	12046.249
2.9353	15668.4287	14444.4502	14986.417	15791.5127	13483.6514	14031.5078	NaN
3.0687	14544.9893	13848.1367	14546.8408	15265.8682	12923.9531	14388.8115	NaN
3.2021	14473.6523	14280.2129	13972.4395	14337.2217	12239.4404	14746.001	NaN
3.3355	14398.2998	14346.2988	NaN	13972.792	10480.5059	15356.9648	NaN
3.469	13777.8613	NaN	NaN	13225.9609	10063.251	14820.085	NaN
3.6024	13948.9346	NaN	NaN	13111.0908	NaN	16190.3447	NaN
3.7358	NaN	NaN	NaN	12898.2871	NaN	NaN	NaN
3.8692	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.0027	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.1361	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.2695	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.4029	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.5363	NaN	NaN	NaN	NaN	NaN	NaN	NaN
