x	Y_20180224_15100_10_4g	Y_20180224_15100_12_11g	Y_20180224_15100_12_1g	Y_20180224_15100_13_10g	Y_20180224_15100_17_5g	Y_20180224_15100_19_5_1g	Y_20180224_15100_19_7_1g	Y_20180224_15100_20_6g	Y_20180224_15100_20_7g	Y_20180224_15100_24_5g	Y_20180224_15100_28_6g	Y_20180224_15100_28_9g	Y_20180224_15100_30_4g	Y_20180224_15100_33_7g	Y_20180224_15100_7_1_1g	Y_20180224_15100_8_8g	Y_20180224_15100_9_4g
0	16445.221	15478.644	16327.54	16530.258	16769.455	16186.83	14730.862	15958.972	16110.734	13632.482	13687.284	18477.637	17512.646	14657.259	13376.322	14788.946	13534.4
0.1334	17739.543	16661.379	17597.674	16192.009	17240.41	17739.014	14998.63	16076.888	17053	14896.535	14525.045	19594.328	19307.875	15095.438	13813.251	14134.416	13886.464
0.2668	18679.916	17136.666	19180.131	16211.739	18507.951	19113.264	18094.275	17691.463	19518.857	17351.811	16402.959	25294.266	25011.689	17965.178	14950.988	15998.167	15208.327
0.4003	20876.594	17732.711	24074.846	17413.529	21554.008	21819.125	21136.273	21449.785	22911.057	20443.922	20222.053	33754.316	29388.697	24538.908	18471.25	22789.375	15721.856
0.5337	26455.807	20198.215	24556.43	20875.209	25518.184	23008.602	21341.055	25194.783	21822.1	24777.312	25210.75	36703.141	27098.699	29695.869	22575.221	28818.938	19491.609
0.6671	29329.857	24889.143	22288.623	24344.98	23557.582	22173.248	21165.598	26910.303	20634.512	25693.115	23260.658	32504.029	26945.359	26626.385	23612.664	28335.34	24397.236
0.8005	26878.705	31688.76	18994.191	23976.459	19534.924	22440.656	20194.568	23470.293	19355.186	24570.629	19857.549	26966.359	23533.812	23677.426	19117.93	24053.355	25619.25
0.934	23346.355	31798.172	18392.906	21649.695	17700.396	21229.314	19920.684	19236.748	17652.133	21953.289	17584.793	23615.977	20749.816	23165.129	18293.998	23592.658	20759.25
1.0674	21025.902	28885.412	17667.355	19691.422	17058.098	20463.854	20286.746	17623.016	17763.447	19909.912	17421.094	23270.83	18430.863	23654.561	17038.391	24398.283	18235.438
1.2008	20726.564	23003.465	17130.385	16873.855	18301.418	21035.414	19063.564	16901.508	17254.557	19510.863	18665.48	25496.021	17417.891	21985.232	16279.233	25177.734	16137.9
1.3342	20815.859	19486.924	17516.469	16221.529	20557.494	21029.664	18558.701	16889.139	16727.682	19514.211	19702.289	25433.578	17249.041	21716.281	15206.981	25348.678	16645.465
1.4676	20813.484	17212.836	17808.592	16275.908	21862.412	19333.922	18399.904	17232.73	16307.357	17423.178	20392.553	23347.578	17927.676	23316.797	14124.206	24391.297	16303.636
1.6011	19313.887	17368.33	20528.967	16052.77	22042.701	18352.227	19143.992	17131.322	15574.644	17160.023	19213.553	22536.902	17126.061	24553.377	15243.3	24344.465	19584.826
