x	Y_20181208_15693_1_1g	Y_20181208_15693_1_9g	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_3g	Y_20181208_15693_10_7g	Y_20181208_15693_10_8g	Y_20181208_15693_11_1g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_5g	Y_20181208_15693_14_10g	Y_20181208_15693_14_12g	Y_20181208_15693_14_8g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_15_2g	Y_20181208_15693_15_7g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_18_6g	Y_20181208_15693_19_2g	Y_20181208_15693_19_5g	Y_20181208_15693_19_6g	Y_20181208_15693_2_3g	Y_20181208_15693_20_2g	Y_20181208_15693_3_2g	Y_20181208_15693_3_7g	Y_20181208_15693_4_10g	Y_20181208_15693_4_6g	Y_20181208_15693_5_10g	Y_20181208_15693_5_15g	Y_20181208_15693_7_3g	Y_20181208_15693_7_5g	Y_20181208_15693_8_2g	Y_20181208_15693_8_6g	Y_20181208_15693_8_9g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_8g	Y_20181208_15693b_1_9g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_10_8g	Y_20181208_15693b_11_11g	Y_20181208_15693b_11_15g	Y_20181208_15693b_12_11g	Y_20181208_15693b_12_13g	Y_20181208_15693b_12_14g	Y_20181208_15693b_12_2g	Y_20181208_15693b_12_8g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_12g	Y_20181208_15693b_13_14g	Y_20181208_15693b_13_19g	Y_20181208_15693b_13_4g	Y_20181208_15693b_13_8g	Y_20181208_15693b_2_1g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_6g	Y_20181208_15693b_2_8g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_17g	Y_20181208_15693b_3_19g	Y_20181208_15693b_3_3g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_3g	Y_20181208_15693b_4_5g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_16g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_2g	Y_20181208_15693b_5_5g	Y_20181208_15693b_5_7g	Y_20181208_15693b_6_13g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_7_11g	Y_20181208_15693b_7_15g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_17g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_21g	Y_20181208_15693b_8_30g	Y_20181208_15693b_8_3g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_3g	Y_20181208_15693b_9_9g
0	26784.207	25187.375	30484.791	28430.4473	27141.5547	27431.9043	33197.7266	30521.1992	27417.5312	28286.0527	30960.7324	31794.9902	32050.4355	28727.2852	27615.6602	29927.7598	31561.3125	30334.4336	30864.1504	31106.9551	28740.1738	27478.0879	30450.5801	32689.6621	32962.4805	26865.6641	32648.0684	30331.252	31055.1055	29243.2871	29135.8887	31915.4199	29145.6074	24614.752	34065.0117	29540.7422	30955.7266	28178.2715	25864.6152	28508.4648	29984.668	29894.9355	32763.7812	31450.2852	34249.8438	31499.75	32527.8555	29257.7402	30513.2422	32623.7559	31269.9609	29080.3965	30840.6426	28794.6328	28537.6191	34445.7227	30232.2031	24819.9062	29076.3867	30756.3105	32878.707	26294.25	25396.1914	25769.9082	26694.8398	27014.1934	27697.1309	28772.4805	36036.3086	29558.0039	31250.5391	27125.377	31930.6699	30164.127	25074.6582	25963.1934	30675.8418	32599.2363	28748.8848	27507.666	26304.3535	27521.4004	30384.7441	31632.0801	32394.5742	35450.2422	31103.168	29141.4355	29269.2109	29937.0234	33715.7578	32236.0215	29137.6445	32024.8945	30143.7852	26158.125	25956.1641	27576.7754	25029.4902	30166.0723	26263.4355	29640.5547
0.1334	27847.2539	26733.8457	30474.1309	28072.2246	26551.1875	29128.9668	33136.7969	29671.3008	28154.6641	27641.4688	29475.4902	30972.8984	31659.291	27587.1836	29037.6523	30604.6348	32254.8691	30020.0859	29830.7363	30338.5996	27201.1309	26541.6113	29996.4336	32281.5918	30281.4102	27440.9883	31598.4336	30155.0664	32279.7617	29582.0352	28905.1367	30034.4414	27161.2793	24057.3496	33396	28940.7207	29817.2988	28419.6621	25164.6582	28692.0039	29874.7793	29511.5781	32923.9883	31129.0742	33318.6445	31286.6426	31610.3008	31454.6406	30521.877	31752.3066	31570.5195	29654.6328	30283.3711	29650.5801	26667.9336	32296.9668	31101.623	25044.2891	28543.7695	29494.3301	33088.8867	25661.668	25446.6289	25653.8789	26172.4551	28161.4531	27336.7285	27622.3652	33034.8359	31074.2383	30244.7598	28759.8594	31375.7168	30445.1035	26243.2637	25016.8457	31317.1758	31267.5781	28092.9844	27159.1816	25608.8965	28903.9551	30964.8496	30883.1699	31178.2305	34579.7812	29613.8086	27302.1133	27731.1289	30209.8555	31555.8633	31907.8398	28809.2988	32000.0684	30167.2559	27185.8203	25605.6895	27297.6309	25657.4844	30291.0625	27522.7109	28938.209
0.2668	27252.543	26829.0254	31390.2598	27366.3906	27545.1328	28134.875	33261.6055	29434.9805	29279.9102	27720.4629	31331.1621	31989.168	32294.0488	27199.9395	29523.043	31248.7012	32605.6797	29675.998	31856.9629	29426.1465	27303.3125	25879.8535	29819.8496	32969.3906	32221.2832	27297.8594	31124.0918	30353.7617	31781.623	30719.1934	28974.8125	31003.7891	26965.5254	24424.668	35621.8164	29516.5195	29552.377	26390.9551	24449.7852	29348.3086	29822.6738	32059.6797	32806.0469	31253.4648	31539.3477	30728.1934	31329.9336	31276.8477	29627.8906	32888.4102	30559.1797	29827.1797	30569.2812	28185.959	26606.373	33901.4688	31713.7109	25698.2188	28175.9141	29697.8711	32395.7246	25299.1074	25303.0879	25522.1699	26921.2539	27774.4609	27578.3281	28948.8711	32007.1406	32293.6055	30295.2305	29202.0312	31305.2109	29623.7188	24920.9629	25478.2715	30624.5859	31820.5977	28387.9766	28307.4688	25806.8594	30015.6289	29689.8516	30975.5586	30017.5137	35060.4453	27474.4551	27655.6367	27177.4707	31368.377	32633.8027	34352.2695	28158.998	29727.0059	29561.8691	27798.1406	24453.291	27808.5723	24610.5293	31117.8555	28828.5742	30152.1016
0.4003	27356.5234	26600.0664	32271.3438	27888.0469	26695.9141	28220.8105	33756.5039	30663.2402	27537.3477	27562.3438	31312.1973	31208.5059	32117.873	27877.2207	28405.2676	31464.127	31960.3184	30041.2305	31507.2188	29021.2051	28263.3027	26783.4336	31186.5957	33114.8164	33198.1758	27735.0312	31283.3242	31321.2676	32562.8203	30395.1543	28867.3438	31148.0137	26467.9414	24107.1953	36764.4492	30791.0566	29626.0703	28189.666	26069.9375	29559.9785	29412.0176	31253.9727	31995.5879	34034.5312	30584.5234	31038.0352	31137.584	30512.7773	29766.7363	34161.3828	31490.7617	29782.0332	29560.7402	29738.1113	25902.7734	32741.0645	31018.2383	24575.125	29025.2793	30668.4961	32828.8359	26220.8008	24449.6484	26470.5625	29489.6895	27123.1367	27111.8262	29053.3457	31699.8281	30174.3398	29956.4023	28070.6543	30197.0215	30092.3672	25059.6465	26807.6094	30458.7207	31572.8301	29793.4688	27457.2246	25055.7812	29718.5078	29734.1523	30902.3535	29485.3672	35121.1484	28760.2617	26653.1777	27911.4805	31442.1152	32294.1602	33067.668	28361.9141	30445.5527	30446.918	26510.6113	25471.9785	26201.3711	24304.9531	30685.252	27881.3594	28875.4453
0.5337	27060.5762	26525.625	32493.7461	27545.3984	27176.6445	29651.7246	31889.7617	30237.125	27748.2227	27659.5996	31934.918	30742.0352	31071.6699	27614.4824	28292.1699	30372.3945	33466.1836	30139.6055	32065.0957	28903.7695	29188.1523	26690.2754	30225.7715	32780.7656	31144.9023	26211.9688	30552.3262	29329.0469	30831.5762	30120.1465	29573.3262	31656.8633	26300.752	23201.9746	35608.1562	30857.8066	29749.5	29541.2949	25793.5508	29811.877	28365.4668	29801.2793	31409.9297	31231.0742	32064.127	30889.4082	31289.4102	30070.3145	29268.0273	32680.3535	31702.8164	28179.9297	29884.5586	29811.9395	26931.6758	33399.6562	30745.4492	25769.6562	29681.2402	31820.7383	32511.4414	26861.1309	25521.5996	24505.9531	28329.6543	30647.0898	28560.0859	29749.1484	33750.9766	30655.707	30128.9883	28686.6074	31274.4688	32744.3145	26478.252	26065.6582	31760.3848	30457.7285	30392.5508	27468.6094	24591.3223	31034.9766	30128.752	31389.4805	31320.248	34526.9609	29943.1094	27461.8008	28594.1504	32005.6484	32607.082	32449.6602	29308.2988	31059.127	30334.748	25639.5996	24720.1406	26074.084	24073.1152	30230.1055	28437.1953	28984.0684
0.6671	25597.5527	26194.2402	31792.9492	28748.2949	28838.9844	30130.9824	32777.7383	28853.4004	27308.2148	28101.6094	32705.1328	32458.8145	32879.1289	29812.5312	30047.6113	30635.3867	36911.2344	31388.0332	31917.9297	29648.4902	28624.8926	27155.7422	30781.291	32720.1191	32266.7617	27518.8281	32239.1484	31699.4375	32515.9512	30018.9473	27897.8242	32277.4785	26572.0762	25645.9355	34558.2734	30012.4141	30646.8965	28389.5352	25861.7012	28666.0156	28059.9258	31499.1992	32361.1074	31698.584	32737.8184	30855.8809	30308.8652	30908.2715	28884.5566	30752.0352	29885.6504	27526.1465	29031.9258	29743.1465	25579.2285	35981.6016	32468.6406	24954.2168	30058.1387	32019.3457	32153.7637	27743.8828	26057.4648	25286.5234	29295.0098	27339.5273	28863.2402	28766.3242	32094.2637	31068.7695	30982.4453	29001.4707	32089.8594	32499.9707	26432.8477	25340.9395	30906.8496	32228.3398	29912.3379	29383.4414	27086.9785	32920.4297	30046.8359	31423.9082	33728.6055	33614.5156	28190.623	29175.4414	27771.2109	32830.9062	33070.0273	31659.5547	30493.8594	30362.3594	28950.3574	25465.4258	25484.5762	28036.0898	25191.7402	31209.9785	26953.9922	28579.3008
0.8005	26157.1758	26204.127	30593.3809	28101.5137	27248.2012	30557.6699	32915.2539	30227.9199	28394.4531	29347.9707	31457.2676	33737.9453	33495.2422	31791.1133	30192.1914	31592.5488	39449.1953	32539.2793	30846.5879	29845.5547	29103.2637	26588.3984	29666.6016	31929.2188	32896.6953	27318.875	31543.9551	30676.334	32494.0977	29708.1953	29874.5605	34211.9062	26290.8906	25742.166	34342.4336	29223.6973	29809.0254	30906.2812	27012.373	30582.9336	29853.252	31676.707	33392.5977	32065.418	34316.9297	31474.3887	33274.0039	31670.8672	28492.5254	31197.6621	30801.9355	27946.5977	28598.9434	29796.168	25343.8496	37592.6484	33892.0117	25557.3691	27549.2402	32262.8555	31239.8926	29580.8711	26070.3711	26395.2734	31510.6328	28036.7246	27051.9824	28087.4336	32760.4453	30031.6113	29737.8145	30202.2344	31012.7168	32054.5508	26776.9375	24909.5938	32537.2793	34133.6875	28946.7148	29632.9473	27206.5391	36243.1484	29874.209	31361.4199	35464.6172	32997.4102	28082.4766	30232.543	28453.6152	32194.2871	32680.0703	31306.6328	29982.8555	30643.9922	28206.1191	25409.0078	26338.6562	27827.8633	24240.3672	30922.9746	30722.4062	29681.918
0.934	26078.584	27164.3047	30752.7578	28022.877	29419.4629	29953.043	32142.9727	33804.9102	27989.8047	29805.5449	31751.3691	36276.2734	35478.9062	31577.6836	30858.4258	35511.2344	51144.2773	33645.5	31496.0586	29712.8809	30228.916	26216.1406	29830.7754	32917.1172	33424.0234	27816.748	31381.3867	32266.3438	32639.9512	30984.7402	30536.1387	35111.2773	27598.0742	25665.3086	34496.5469	29436.873	30034.3633	32102.6797	27463.834	29635.8555	29727.8594	31621.5449	35114.8086	30696.2734	34769.5781	32880.5508	31597.4316	31673.6953	29736.7656	31208.2598	33397.1406	27640.7773	29764.2227	29719.1621	27513.6738	39819.2148	36041.0977	27342.6641	30263.1328	31794.7129	33027.9922	37572.0234	25757.9336	25500.4922	36732.5898	31077.8184	28138.457	29648.6328	32085.6582	31322.5234	30335.8633	28003.0293	32355.4609	33151.9297	26661.8027	25504.1543	33819.5156	37581.8125	28564.1797	31005.5703	26804.707	44231.6641	30213.7715	30668.4492	43758.8164	34344.9766	30450.3965	30187.5195	28196.9492	32822.625	31711.0195	32686.9922	32408.0391	30808.0195	29378.9219	25041.8672	26850.3711	27477.75	24496.416	31989.6133	27821.1738	30604.3047
1.0674	24678.2793	27341.1953	32983.0938	28921.0234	30247.9531	29250.4141	33976.8906	39333.375	28251.5605	29349.3301	33549.0078	43463.0352	42623.5391	33596.1836	32522.8594	44915.2227	73871.9844	35348.1875	31244.3574	30672.0156	31718.8066	28544.0938	30164.4551	32381.9609	34846.5938	28171.4824	34252.5977	30846.5527	33829.8594	30584.2148	28609.4238	38931.0547	28570.4121	30166.916	35571.9492	30745.8633	31540.4688	37169.875	27515.6641	29632.3535	30887.6621	32943.0977	35299.2812	33665.9219	38228.0977	35008.3438	32164.8926	31531.957	29609.1641	32373.123	34127.9062	28346.0293	32115.9336	31972.9258	25917.1582	53603.7305	40703.7344	27578.916	30219.9062	32265.8105	32330.0488	51194.8516	26904.2578	25474.5703	49555.2969	36213.7109	27692.3965	28387.5664	32787.6836	31471.2305	28651.2852	28503.3398	31680.8789	33012.9375	27387.7363	25950.4688	37987.7891	48495.4414	28662.1543	34310.4219	26816.2871	58478.4219	29651.4316	32848.1953	53812.25	34173.3438	32790.9297	30454.4023	28948.8809	34608.3242	32200.3398	32964.6211	36949.0586	34043.2539	30890.0859	26334.6758	27864.3906	28444.5645	25555.7871	32698.5234	30690.4121	29276.8848
1.2008	25449.3594	29078.9277	31765.332	29517.877	34785.5312	29792.7227	37631.7891	56778.5039	27608.4473	32035.7402	34336.2148	64039.9336	56395.9609	41710.7148	35267.4414	60560.8711	89185.3203	37513.0312	31932.0176	31512.9531	34787.1719	30578.1094	32791.6484	35493.5312	42198.207	29493.6016	39630.1484	31729.0547	36398.5312	32735.1309	31722.4922	54709.4961	31383.2891	38401.0156	36455.5781	31142.6367	30217.3887	52893.4922	28067.9102	30737.7012	31998.334	34879.0039	36279.3281	35805.293	48542.5508	40914.1172	32684.8281	31457.9199	30686.6055	34156.457	37023.4414	28339.2227	36694.9258	33947.4297	25767.5547	83754.5312	53208.8516	30258.1641	31725.8906	35500.2188	33154.1992	72015.5469	28810.0996	27647.6035	78618.6562	42635.5156	27467.0156	29922.8711	33372.3398	31415.4141	31175.5547	29491.8535	30937.541	32099.6445	27684.1602	26542.9512	43963.2383	65716.6719	28790.4648	41682.0312	27146.707	87544.1719	30443.4434	36319.9141	77330.2266	37006.5586	37708.8789	31147.0996	30937.3203	37375.1758	34849.0938	36232.3867	46996.7734	33595.4688	31353.7148	28072.666	28297.5059	29361.1719	25349.209	32663.2539	29485.8145	29510.7734
