x	Y_20180130_15100b_1_7g	Y_20180130_15100b_10_1g	Y_20180130_15100b_11_7g	Y_20180130_15100b_12_10g	Y_20180130_15100b_12_2g	Y_20180130_15100b_13_12g	Y_20180130_15100b_13_1g	Y_20180130_15100b_13_6g	Y_20180130_15100b_14_13g	Y_20180130_15100b_15_14g	Y_20180130_15100b_15_6g	Y_20180130_15100b_16_10g	Y_20180130_15100b_16_11g	Y_20180130_15100b_16_2g	Y_20180130_15100b_16_8g	Y_20180130_15100b_17_12g	Y_20180130_15100b_18_12g	Y_20180130_15100b_19_2g	Y_20180130_15100b_19_9g	Y_20180130_15100b_2_11g	Y_20180130_15100b_2_3g	Y_20180130_15100b_20_3g	Y_20180130_15100b_21_12g	Y_20180130_15100b_21_13g	Y_20180130_15100b_21_2g	Y_20180130_15100b_21_3g	Y_20180130_15100b_21_6g	Y_20180130_15100b_22_13g	Y_20180130_15100b_22_15g	Y_20180130_15100b_22_16g	Y_20180130_15100b_22_5g	Y_20180130_15100b_22_9g	Y_20180130_15100b_23_11g	Y_20180130_15100b_23_1g	Y_20180130_15100b_23_2g	Y_20180130_15100b_23_7g	Y_20180130_15100b_23_9g	Y_20180130_15100b_24_12g	Y_20180130_15100b_24_9g	Y_20180130_15100b_3_12g	Y_20180130_15100b_3_1g	Y_20180130_15100b_3_4g	Y_20180130_15100b_4_23g	Y_20180130_15100b_5_10g	Y_20180130_15100b_5_24g	Y_20180130_15100b_6_11g	Y_20180130_15100b_7_17g	Y_20180130_15100b_7_1g	Y_20180130_15100b_7_5g	Y_20180130_15100b_8_2g	Y_20180130_15100b_9_16g
0	36085.828	39150.555	39019.992	39055.805	32052.291	36423.422	36506.773	35112.074	39192.281	34931.855	36116.324	38951.047	37771.262	38046.512	37856.016	29987.516	36360.418	34599.621	33963.703	37956.164	34173.391	34934.461	35531.707	36017.375	31446.082	32983.062	32182.006	38587.973	37999.941	35020.535	33862.34	34717.445	33419.055	36281.352	37485.516	33218.945	36364.895	34688.613	35450.645	36353.68	39996.074	34859.734	37710.711	33917.309	38514.551	38620.168	36718.719	38092.672	33354.363	36782.828	33371.566
0.1334	36001.238	39413.129	37850.355	39748.055	32514.346	36115.578	36308.074	36507.719	38396.852	36030.012	34836.441	37739.027	38556	38078.855	40676.402	30303.955	36178.559	34675.871	33718.09	38775.629	35473.652	34012.348	35244.242	35490.848	33156.176	32599.32	32715.115	40651.504	37079.422	35114.398	33568.391	34782.898	33617.395	36078.734	38269.84	32852.344	38556.91	33703.379	37589.305	35328.246	37447.73	34405.965	37641.188	34597.789	38925.605	36246.211	37476.812	38575.934	33814.125	36898.586	33582.484
0.2668	36936.945	38216.348	37362.188	38818.781	32970.129	36793.441	36988.859	34745.922	37105.559	36961.418	34840.27	37871.277	36978.414	37893.07	39879.719	31965.502	36014.98	34635.785	35054.086	37919.816	33648.238	35354.508	34960.254	35211.277	32352.727	31863.471	31450.424	39800.145	38478.887	36183.441	34816.211	35049.934	32086.336	35329.785	37283.086	32990.977	38157.332	34604.293	37857.715	34666.816	37298.945	35206.828	38260	33207.117	39882.594	36473.934	38183.184	38149.473	34949.371	36561.129	30853.016
0.4003	36361.379	38319.586	39202.918	38465.27	33603.492	35817.18	37420.164	34375.047	37182.199	36211.762	34520.48	38259.238	36040.184	36817.477	40439.609	32930.773	36578.707	33526.43	33702.988	36925.848	35155.238	33840.941	34647.176	33382.043	32057.898	31276.633	32086.455	40215.453	38744.797	36386.27	34088.848	35374.262	32440.846	35764.859	37521.129	33172.359	35973.637	33541.355	37003.406	36878.707	37457.633	33450.82	37206.355	31702.428	40221.406	35155.488	39030.832	35854.047	33737.262	37308.219	32074.178
0.5337	36156.211	36354.77	39400.676	38315.965	33123.426	37597.285	37854.793	34612.418	35977.703	35564.848	35615.023	39716.293	36531.938	36920.027	40236.203	32280.662	34928.203	34491.195	34092.012	37418.066	34757.004	34727.742	34550.57	36299.926	31386.494	31159.006	33439.109	38835.004	39411.668	36252.551	36720.645	34809.441	33832.434	34866.246	36694.684	33207.145	37642.707	32897.055	36218.219	36927.613	39027.43	32968.738	38440.801	32619.26	38903.051	35106.633	37854.691	37143.965	31724.977	36743.258	33081.391
0.6671	36707.023	38159.473	38416.461	38902.27	32735.518	37108.18	36654.488	34562.59	38450.078	36951.105	35354.242	37567.703	36225.531	37125.574	38004.816	32967.527	34463.816	33553.238	33929.168	37095.656	34519.594	36547.02	35882.41	36363.93	32095.658	32377.32	33604.641	38202.699	38852.344	36135.848	35841.887	35113.879	33454.773	35642.246	36270.961	33108.746	37080.566	33046.414	36395.16	34851.664	38213.574	33758.266	36802.535	32481.434	39774.453	34342.625	39265.508	35616.98	33215.719	36514.262	31395.666
0.8005	36104.301	40890.473	40367.406	39964.648	33374.984	37391.363	38519.129	33341.809	39497.895	36347.891	37486.02	38384.773	37529.094	34680.785	38617.016	31807.42	35474.688	33305.48	35119.691	36843.672	34738.648	36122.211	34940.094	36111.719	31299.76	32350.221	33302.84	39632.508	38839.465	34783.34	34229.344	35441.883	33980.641	36336.574	37018.625	34614.082	39194.477	33163.152	36612.191	36035.445	37867.691	32655	37604.762	31751.346	40611.062	34089.055	39108.059	35539.926	33739.496	37565.016	32265.295
0.934	36322.871	37355.961	40510.102	38685.496	32500.701	36764.688	38481.113	33988.922	36790.5	36539.172	36060.738	39454.215	37755.766	35359.918	40295.918	32545.891	36783.406	31608.717	35610.414	36472.031	35474.414	35936.57	34254.5	34703.844	32459.652	32393.609	33300.289	40083.062	38168.531	35717.68	35223.371	36302.168	33197.637	35681.254	36942.988	34017.832	39652.902	33837.57	37680.941	36677.84	37503.781	33325.555	38265.488	31777.537	39796.336	35190.285	39732.648	35912.238	32498.943	38094.215	33014.758
1.0674	35512.34	36229.938	40325.926	38081.508	32262.104	36662.238	39306.719	34402.949	35809.859	34975.344	35528.012	39464.395	37208.602	34637.422	39872.254	32986.406	36557.551	33995.371	34847.258	37135.801	34980.32	37285.633	34999.109	37106.641	31163.881	31179.777	31792.99	38234.383	37544.574	36244.883	37260.016	35414.316	33943.812	37136.961	38799.27	32845.477	39161.633	34110.688	37512.035	34243.969	38204.445	33883.531	37748.93	31837.172	39545.461	36144	40609.559	36888.508	33869.672	38411.293	31853.842
1.2008	35133.008	36271.027	40704.625	39916.176	33185.062	36397.105	39941.785	32995.16	35109.582	35946.824	36593.938	41493.484	38791.664	34032.496	41248.035	32435.33	35898.742	34604.809	34979.16	36463.234	33924.941	35104.391	34322.297	36092.254	30351.732	31959.895	31972.637	37370.512	38923.035	36024.879	35401.852	35585.367	33593.613	36854.383	37437.578	34048.828	39164.234	35565.016	37887.852	34719.438	38317.051	33679.562	37368.348	31608.086	39644.75	37284.281	40425.117	37511.734	34150.594	37272.191	32908.836
1.3342	36599.668	38945.363	41494.605	37860.648	33740.527	36878.316	36962.789	33191.695	34979.086	38227.641	35637.109	40807.012	39368.613	34974.469	39397.496	32320.266	36020.77	33975.512	34998.352	37350.113	33365.664	38036.344	34927.406	36164.77	30934.01	32312.342	32605.156	39522.82	40370.664	36505.512	33692.078	35440.332	33412.598	34850.008	37690.559	34195.492	39241.57	35352.648	37424.715	34730.695	39049.176	34807.887	36342.266	31669.018	40055.277	35660.812	43417.824	38315.543	34715.344	35984.645	33639.375
1.4676	36524.297	37814.871	40747.906	37337.715	33442.863	37535.078	37118.402	33397.797	36096.387	37395.559	37112.168	39686.258	39160.691	34362.23	39841.297	32793.844	37760.035	34502.332	33959.793	39124.945	33791.328	37459.148	36184.594	37158.672	32058.279	32591.338	32002.768	39474.012	41187.441	35038.547	34287.953	34830.137	33203	35956.062	39134.855	31890.703	39530.055	34140.969	39071.766	35553.449	39851.434	33620.945	38134.543	33736.219	40062.855	34804.758	40011.062	38657.84	33951.301	36432.227	35183.496
1.6011	36110.949	37097.508	40412.934	37030.574	33988.641	38631.777	37293.641	33863.367	37116.762	37326.957	36936.949	41408.754	38673.602	34160.852	36727.719	34373.629	37458.156	34666.891	35359.652	37920.688	34402.844	36430.77	35006.867	35238.344	32130.26	31664.65	32605.416	37279.797	43178.789	35673.801	35653.938	35955.77	34372.848	36695.793	38770.109	35659.602	39391.266	33844.543	40076.105	36092.453	39852.742	34260.926	37931.605	32479.816	39648.363	37210.938	37723.988	39628.656	33531.125	36386.539	34824.137
1.7345	38479.652	38240.289	40871.727	39234.305	33683.934	38957.168	38433.387	34201.121	37090.023	38610.223	36672.93	39787.648	39648.625	34966.492	37407.836	35774.742	39972.266	34780.016	37042.016	38816.293	33336.301	37104.613	35446.461	35625.012	33584.895	34564.742	32392.271	39181.695	48032.359	38011.977	36781.273	35769.48	35018.746	37503.113	39497.211	38591.371	37725.164	34294.516	45596.988	36353.977	39521.332	34883.398	38692.391	33624.734	39579.992	39562.586	37633.172	39345.672	34842.508	37695.754	36806.605
1.8679	36622.934	41713.043	39944.633	43169.117	35526.582	42553.445	40262.852	35460.824	36926.328	43388.027	36871.402	39016.156	38725.609	37731.074	37222.266	40574.957	40599.141	35600.203	36510.012	39390.777	32658.17	39627.574	36234.895	37156.715	34476.285	36393.707	35132.469	39923.879	59327.148	39384.945	38654.164	35060.359	35713.004	40609.469	39215.926	47372.906	38930.262	33375.148	54426.613	36662.434	38954.062	37062.102	40821.895	34861.695	41331.648	46561.66	36355.367	39079.742	37505.395	38115.527	41476.316
2.0013	38167.09	41243.582	40357.477	47199.371	39799.816	45065.504	39639.102	38166.699	39878.023	49278.211	39623.262	41083.535	39153.359	39573.797	39819.621	53306.25	43270.473	37220.832	38832.785	39656.973	34717.637	43005.359	37422.949	39053.594	35513.824	41842.551	38115.402	38363.789	76481.078	43684.043	38025.633	35993.473	36505.066	48997.793	40367.469	64249.676	39062.984	33821.852	77053.438	39371.309	38757.406	39235.969	41629.223	36641.68	42308.672	60372.941	38803.402	42055.961	43009.219	40012.535	56657.309
2.1348	46486.707	44269.102	42250.582	65609.852	49611.746	58490.566	41619.102	44111.652	45031.422	67750.945	43756.316	42347.297	43234.395	48488.668	40126.66	75446.875	47432.07	38630.688	43773.754	41454.285	35292.68	49698.098	43195.809	43294.027	37943.891	61056.73	44531.164	39369.145	88295.984	54702.816	41513.863	40643.504	38906.031	72913.078	44443.988	79449.312	36719.402	37718.266	117925.109	41474.973	40509.664	45568.082	48473.75	43051.543	49382.148	78538.25	39139.301	47992.156	50649.82	45147.449	90457.742
2.2682	65741.445	52465.777	42981.559	95332.383	67881.141	75240.883	48868.566	61993.062	56961.496	105979.109	53955.328	49492.832	49347.629	58008.266	45036.98	80003.453	60791.5	48875.66	59218.473	47797.102	38281.207	64665.91	50814.105	53425.781	46110.086	90627.578	60195.082	43262.457	112228.891	82386.086	50845.918	50728.531	44644.188	92752.703	53712.66	100547.859	37572.027	40365.422	132391.5	51948.484	41998.164	58086.938	62133.648	59285.664	64534.824	76931.047	41291.223	63895.469	55925.234	54165.535	110210.898
