x	Y_20181208_15692_31_8g	Y_20181208_15692_32_14g	Y_20181208_15692_34_6g	Y_20181208_15692_37_1g	Y_20181208_15692_37_6g	Y_20181208_15692_38_19g	Y_20181208_15692_40_15g	Y_20181208_15692_44_14g	Y_20181208_15692_44_17g	Y_20181208_15692_45_11g	Y_20181208_15692_46_15g	Y_20181208_15692b_11_13g	Y_20181208_15692b_12_2g	Y_20181208_15692b_13_4g	Y_20181208_15692b_14_1g	Y_20181208_15692b_14_5g	Y_20181208_15692b_16_5g	Y_20181208_15692b_17_2g	Y_20181208_15692b_3_1g	Y_20181208_15692b_7_7g
0	10288.0264	9433.4307	9277.1631	11915.4053	11376.9902	10221.5244	10285.1006	10493.3994	11577.3408	9948.9141	9444.8154	11045.6045	11065.1807	9444.4229	11306.0645	10416.7344	10569.7451	9523.9873	11490.6064	12095.6807
0.1334	10769.3047	10745.2002	9225.5996	11709.6533	12711.2656	10617.9023	12354.2412	12109.126	12731.3096	10186.0898	9947.4912	12373.7627	12200.5693	10260.4619	11893.917	11786.9189	10705.6914	10111.9395	13058.8613	13076.1436
0.2668	11358.8291	12538.6719	9675.502	12294.2764	15434.1582	11244.2695	14932.459	14897.0771	16319.3691	10780.4678	10312.042	16324.71	15095.3145	11912.791	11960.915	15275.3486	12662.3066	10460.9678	15972.0723	16056.2822
0.4003	12160.7236	14799.9492	10771.4424	12147.3887	15213.209	12474.8076	14429.9043	17703.0547	18274.3906	12225.0645	11151.8672	18155.1895	16794.5176	13904.8008	12742.2646	17837.2832	14464.0781	11135.4258	17162.1191	17917.0137
0.5337	15463.9258	19943.1504	11797.6416	13711.9102	14462.25	14833.9648	14073.249	16717.4199	17646.957	14246.6797	12086.5977	17832.3262	15509.3125	15954.1797	13505.6172	20644.1934	16055.9902	13961.3057	16428.1309	17035.207
0.6671	16597.5645	25657.377	13390.3105	14298.4551	12744.8008	17055.8633	14627.1221	14886.3525	16865.7266	15613.835	13682.502	16164.291	15230.792	15769.1758	15365.8379	20725.7773	16154.3516	16022.1582	15566.9463	14875.9912
0.8005	15694.8301	22485.9824	13934.3174	13994.7109	12838.0029	15606.5342	14806.0225	14540.4971	16600.791	15058.5732	13469.2588	15753.9121	16218.4473	15343.251	15838.9814	18605.8008	15582.2314	18616.293	14693.5615	12447.042
0.934	15460.124	18257.5684	14160.6738	14089.7607	12335.5693	15800.75	16010.6475	14906.1699	16316.4893	15429.665	13087.6641	14488.3799	16657.3086	14772.9473	14762.1689	17808.3145	16323.7051	18152.8105	14980.8906	11469.6729
1.0674	14122.9365	15574.5771	13080.4434	13438.8271	13253.4385	14724.373	15022.9336	14043.8711	17595.5332	14589.9463	12323.3066	15146.8877	17191.3691	14711.3662	14176.6162	17664.2891	16680.3555	17218.8809	15765.918	11532.8057
1.2008	15343.2959	14915.6387	12337.4629	13900.8525	13339.417	13769.6172	14833.7539	13752.7178	16366.7529	14161.417	12459.9062	14108.7715	17505.1777	14187.4443	14587.5146	17015.9258	16372.373	16166.5576	16778.4258	11698.0732
1.3342	14986.5752	15006.6123	11871.5195	14128.3252	13721.4268	14188.9287	14687.5635	14188.8545	16734.1094	13636.376	13138.7734	13765.2529	17458.8496	15403.9805	15352.3887	16474.0078	15910.5771	15582.1514	15438.4805	11517.6855
1.4676	15275.5371	15319.8516	12004.0146	13666.792	14767.1074	13775.3691	14192.8984	15211.8643	17504.4531	13517.4512	13377.8379	13500.5645	17581.8184	14735.3115	15972.1631	15552.9414	15043.2207	15402.3252	14673.4971	11366.6143
1.6011	14626.3691	15571.9482	13764.5332	14501.543	15464.4736	14632.8252	13310.7422	15335.0332	16093.7129	12735.5557	13722.1133	13952.8467	17121.4805	13915.9697	16145.4004	14456.4121	13798.7109	16090.5693	14362.5352	11783.5352
