x	Y_20181208_15100_11_4g	Y_20181208_15100_14_5g	Y_20181208_15100_17_5g	Y_20181208_15100_17_8g	Y_20181208_15100_18_10g	Y_20181208_15100_20_3g	Y_20181208_15100_20_4g	Y_20181208_15100_21_13g	Y_20181208_15100_21_2g	Y_20181208_15100_21_7g	Y_20181208_15100_21_9g	Y_20181208_15100_23_1g	Y_20181208_15100_23_9g	Y_20181208_15100_26_10g	Y_20181208_15100_28_2g	Y_20181208_15100_3_3g	Y_20181208_15100_30_1g	Y_20181208_15100_32_6g
0	29926.084	26201.8516	31855.5293	28722.4492	29612.2285	27879.1348	28421.543	30524.8945	30255.8574	28852.5586	31818.5703	28061.8496	30067.2617	29651.6699	30855.1328	28828.0273	26635.0352	30329.7715
0.1334	29351.8926	26332.5938	30810.8145	28378.5586	28897.7148	28507.4316	28854.1367	30066.8223	30240.8125	27619.8496	31204.918	28558.2441	30019.6992	31276.3359	30471.8906	29138.6367	26564.1719	30260.3203
0.2668	30207.2363	25959.1738	31672.2129	28478.9785	29134.3633	29099.998	28945.3633	29301.2871	29472.5117	26446.1133	31646.2148	28237.4941	32126.8887	30845.5801	30743.3887	30101.6641	28051.1973	30773.5645
0.4003	30125.0508	25638.4629	32672.748	28823.3633	30014.6113	28047.7617	29453.0254	30653.1367	29967.7559	27055.5039	31417.0605	28502.7734	30762.5332	30630.5508	30569.4297	29887.7461	27021.6738	30985.3867
0.5337	29434.791	26507.3711	30476.2266	28827.1016	30411.4492	27636.1914	29712.2363	31049.084	29899.4316	27149.6816	29449.6152	28043.1738	31761.4688	30235.2207	30621.5645	29447.1602	28405.3047	32769.0195
0.6671	29038.7734	26372.7637	31604.1328	29399.1836	28634.9668	28226.6738	30156.8789	30764.8262	29277.8926	27570.5566	30157.332	28100.7344	31748.0508	30568.5156	30595.502	29866.0918	27538.2305	31135.8242
0.8005	29203.6309	26634.3359	32003.7598	29822.0332	28251.6855	28360.4707	28884.0645	31187.1074	30190.1934	26849.6035	31668.959	28837.9141	32102.7871	30405.6758	30502.3242	29602.6504	27704.7109	31997.248
0.934	29403.5449	26911.3047	31851.168	28799.2754	28697.2812	27925.5078	27279.2246	30954.3262	31112.6074	26657.9648	31154.041	28433.1582	32163.2637	32099.3926	30937.0742	27575.9336	27039.9395	31606.4492
1.0674	29962.1855	26757.7715	33491.4375	28595.6367	29854.1543	27787.2246	28820.252	31138.8867	28861.9629	27818.5117	32402.6133	28079.5645	32936.4805	32817.125	30675.6406	29156.3887	27295.3203	31329.5645
1.2008	29070.8711	27887.7676	33966.0234	28029.8164	29784.4922	27761.7148	27693.3008	30395.4785	30516.3184	28981.6543	31577.8574	28695.9844	32169.9785	31771.4004	30495.0781	30590.9395	28012.7266	32354.1914
1.3342	29048.2988	27092.0684	32858.375	27965.5645	28314.8613	27446.1289	28555.1562	32552.7949	31974.125	27890.4844	30602.0352	28574.373	32792.4062	31921.5469	31702.0918	29620.5508	27061.082	32306.9023
1.4676	30031.9609	27286.3945	33209	28769.9023	27630.5645	26721.3828	29881.3594	35436.3086	34942.5312	28312.8945	30429.4082	28294.9395	32939.9141	30734.5566	32689.625	30770.8711	29517.5488	32493.8594
1.6011	30781.9004	28770.2598	34796.5703	28415.793	28336.0332	27733.1582	30275.377	42203.8242	43626.1289	28046.9238	32184.2598	29231.123	34430.9883	31814.9355	35376.9609	33348.3828	29535.5273	32429.9941
1.7345	31456.5566	31041.3516	36347.5703	28461.2324	28253.9629	28062.1855	30428.8125	57928.4414	65916.9922	28216.6348	34628.5	31785.9141	35810.7812	34149.5742	36103.4922	36736.4023	30166.4121	33297.6406
1.8679	30958.6309	31086.6113	37731.1836	31782.9453	29065.666	29075.2695	34958.543	85509.9453	108461.3984	28425.5117	38260.8398	36523.832	43124.2734	40194.043	41339.0273	44554.3477	35379.2734	36291.3867
