x	Y_20181208_15693_10_11g	Y_20181208_15693_10_1g	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_11_4g	Y_20181208_15693_14_10g	Y_20181208_15693_14_8g	Y_20181208_15693_15_13g	Y_20181208_15693_15_14g	Y_20181208_15693_17_3g	Y_20181208_15693_18_5g	Y_20181208_15693_19_6g	Y_20181208_15693_20_2g	Y_20181208_15693_5_10g	Y_20181208_15693_7_3g	Y_20181208_15693_8_6g	Y_20181208_15693_9_3g	Y_20181208_15693_9_9g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_11_15g	Y_20181208_15693b_2_6g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_7_15g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_30g	Y_20181208_15693b_9_13g
0	30484.791	28430.4473	27431.9043	27417.5312	28286.0527	28727.2852	29927.7598	30864.1504	31106.9551	30450.5801	32689.6621	30331.252	29243.2871	34065.0117	30955.7266	28508.4648	29894.9355	32763.7812	32527.8555	29257.7402	30513.2422	29080.3965	27014.1934	28772.4805	36036.3086	27125.377	25963.1934	30675.8418	26304.3535	29141.4355	29937.0234	32024.8945	30143.7852	25956.1641	30166.0723
0.1334	30474.1309	28072.2246	29128.9668	28154.6641	27641.4688	27587.1836	30604.6348	29830.7363	30338.5996	29996.4336	32281.5918	30155.0664	29582.0352	33396	29817.2988	28692.0039	29511.5781	32923.9883	31610.3008	31454.6406	30521.877	29654.6328	28161.4531	27622.3652	33034.8359	28759.8594	25016.8457	31317.1758	25608.8965	27302.1133	30209.8555	32000.0684	30167.2559	25605.6895	30291.0625
0.2668	31390.2598	27366.3906	28134.875	29279.9102	27720.4629	27199.9395	31248.7012	31856.9629	29426.1465	29819.8496	32969.3906	30353.7617	30719.1934	35621.8164	29552.377	29348.3086	32059.6797	32806.0469	31329.9336	31276.8477	29627.8906	29827.1797	27774.4609	28948.8711	32007.1406	29202.0312	25478.2715	30624.5859	25806.8594	27655.6367	31368.377	29727.0059	29561.8691	24453.291	31117.8555
0.4003	32271.3438	27888.0469	28220.8105	27537.3477	27562.3438	27877.2207	31464.127	31507.2188	29021.2051	31186.5957	33114.8164	31321.2676	30395.1543	36764.4492	29626.0703	29559.9785	31253.9727	31995.5879	31137.584	30512.7773	29766.7363	29782.0332	27123.1367	29053.3457	31699.8281	28070.6543	26807.6094	30458.7207	25055.7812	26653.1777	31442.1152	30445.5527	30446.918	25471.9785	30685.252
0.5337	32493.7461	27545.3984	29651.7246	27748.2227	27659.5996	27614.4824	30372.3945	32065.0957	28903.7695	30225.7715	32780.7656	29329.0469	30120.1465	35608.1562	29749.5	29811.877	29801.2793	31409.9297	31289.4102	30070.3145	29268.0273	28179.9297	30647.0898	29749.1484	33750.9766	28686.6074	26065.6582	31760.3848	24591.3223	27461.8008	32005.6484	31059.127	30334.748	24720.1406	30230.1055
0.6671	31792.9492	28748.2949	30130.9824	27308.2148	28101.6094	29812.5312	30635.3867	31917.9297	29648.4902	30781.291	32720.1191	31699.4375	30018.9473	34558.2734	30646.8965	28666.0156	31499.1992	32361.1074	30308.8652	30908.2715	28884.5566	27526.1465	27339.5273	28766.3242	32094.2637	29001.4707	25340.9395	30906.8496	27086.9785	29175.4414	32830.9062	30362.3594	28950.3574	25484.5762	31209.9785
0.8005	30593.3809	28101.5137	30557.6699	28394.4531	29347.9707	31791.1133	31592.5488	30846.5879	29845.5547	29666.6016	31929.2188	30676.334	29708.1953	34342.4336	29809.0254	30582.9336	31676.707	33392.5977	33274.0039	31670.8672	28492.5254	27946.5977	28036.7246	28087.4336	32760.4453	30202.2344	24909.5938	32537.2793	27206.5391	30232.543	32194.2871	30643.9922	28206.1191	26338.6562	30922.9746
0.934	30752.7578	28022.877	29953.043	27989.8047	29805.5449	31577.6836	35511.2344	31496.0586	29712.8809	29830.7754	32917.1172	32266.3438	30984.7402	34496.5469	30034.3633	29635.8555	31621.5449	35114.8086	31597.4316	31673.6953	29736.7656	27640.7773	31077.8184	29648.6328	32085.6582	28003.0293	25504.1543	33819.5156	26804.707	30187.5195	32822.625	30808.0195	29378.9219	26850.3711	31989.6133
1.0674	32983.0938	28921.0234	29250.4141	28251.5605	29349.3301	33596.1836	44915.2227	31244.3574	30672.0156	30164.4551	32381.9609	30846.5527	30584.2148	35571.9492	31540.4688	29632.3535	32943.0977	35299.2812	32164.8926	31531.957	29609.1641	28346.0293	36213.7109	28387.5664	32787.6836	28503.3398	25950.4688	37987.7891	26816.2871	30454.4023	34608.3242	34043.2539	30890.0859	27864.3906	32698.5234
1.2008	31765.332	29517.877	29792.7227	27608.4473	32035.7402	41710.7148	60560.8711	31932.0176	31512.9531	32791.6484	35493.5312	31729.0547	32735.1309	36455.5781	30217.3887	30737.7012	34879.0039	36279.3281	32684.8281	31457.9199	30686.6055	28339.2227	42635.5156	29922.8711	33372.3398	29491.8535	26542.9512	43963.2383	27146.707	31147.0996	37375.1758	33595.4688	31353.7148	28297.5059	32663.2539
