x	Y_20181208_15693b_12_1g	Y_20181208_15693b_12_9g	Y_20181208_15693b_13_15g	Y_20181208_15693b_13_16g	Y_20181208_15693b_13_1g	Y_20181208_15693b_2_13g	Y_20181208_15693b_5_1g	Y_20181208_15693b_6_9g
0	29979.0918	29803.1426	28965.0879	28371.0156	26788.7871	28013.3008	26889.3281	27759.502
0.1334	29856.5664	29574.8398	28736.875	28362.5059	26290.8848	26856.4727	26694.3477	27929.125
0.2668	30602.1367	29329.4824	29015.8418	29230.1211	25903.8418	28479.7812	26562.127	28285.4961
0.4003	30139.3086	30271.4668	29315.7129	29720.584	25575.2773	26910.9414	27547.8867	27738.5215
0.5337	29800.1699	29087.6387	28015.0098	30113.8203	24861.4043	27822.9688	27460.0527	28573.4473
0.6671	30149.7012	29303.2715	28533.4531	29739.3086	26237.252	26138.7871	28056.3613	28423.3418
0.8005	29653.6016	29252.1738	29264.7773	30998.2363	26301.8281	27169.6855	28733.7969	28853.8613
0.934	29673.5176	29490.0547	29297.4766	30995.7539	27904.1562	26514.1211	26878.9922	28326.1445
1.0674	31159.502	29457.8262	29426.3242	30886.8691	26401.4199	27557.3457	28505.2656	28783.7637
1.2008	30569.248	30277.8691	30783.7344	29634.4453	27478.9902	26916.0801	29131.291	28634.5859
1.3342	31106.6699	30162.7422	29373.8496	31245.2832	26543.7676	27514.7285	28478.9238	29034.627
1.4676	30990.5273	29005.8379	29123.3145	30674.8066	27758.7676	26073.8496	28048.7676	29860.5957
1.6011	30011.0488	29021.9531	29697.6973	30944.3047	26656.1426	28086.6055	28103.4512	30090.5059
1.7345	30235.4434	29779.002	29074.916	30448.5	26133.8633	27050.1816	29940.9609	29276.375
1.8679	30411.5664	29155.1445	29367.4941	31355.7734	26676.7422	26313.2832	28867.3945	29940.207
2.0013	29224.3105	28558.4004	28090.3867	30445.5195	27315.2695	26729.4648	28626.5488	27962.7266
2.1347	30315.9355	28747.8887	27325.0664	30535.9746	26874.0996	26343.9258	28219.1113	29296.7383
2.2682	28567.9668	29725.7344	28376.8418	30365.4668	27506.4434	26654.7188	27320.6777	29919.9082
2.4016	28736.6113	30094.7285	28498.623	30290.3164	26449.1172	26342.1953	27670.1406	28925.6484
2.535	30804.2363	30179.4883	28178.1309	28637.6406	26039.8242	27376.8184	27718.0098	28329.2305
2.6684	31869.2285	30787.6641	28598.6426	27694.4961	25900.3652	27695.0879	28390.2129	31643.5996
2.8019	32280.4727	31327.6797	29080.1621	28614.7109	25755.6348	30390.0391	28395.9727	30493.8555
2.9353	32503.7148	31385.6816	30304.5156	28721.1719	25290.2812	30231.8262	28365.5938	29941.4023
3.0687	32757.5234	31899.6172	28502.5371	29728.4219	27073.834	32768.5586	30498.9355	31788.5996
3.2021	35491.9453	30891.2637	32674.1133	30837.0078	26790.9688	38427.9062	37039.2617	32933.4258
3.3355	43628.5391	33106.4375	36493.8203	33308.5859	29127.3711	52949.7344	52915.4453	34620.6953
3.469	59864.6406	36099.6094	49408.8008	41548.2695	30858.6133	73678.6719	78057	35574.6289
3.6024	85505.4375	41694.0938	70942.9844	49889.6211	33591.8086	82687.8359	89344.7891	42891.3906
3.7358	98997.1484	52278.9141	73239.3281	56010.0391	43342.3594	60351.4023	68598.4453	58419.2617
3.8692	85788.0234	57774.3672	52717.1953	55092.2891	59279.3555	40387.1602	45403.4492	72378.8125
4.0027	64483.0391	52110.1211	41259.4648	47367.0078	62016.8438	32075.5098	35569.9297	69718.9922
4.1361	45233.5586	41122.9922	37940.9297	46209	46273.918	31746.1484	32934.8906	58987.5625
4.2695	37294.1875	36452.9961	NaN	NaN	34727.7969	30238.7129	31382.3984	NaN
4.4029	34844.8555	33529.0898	NaN	NaN	32671.0605	NaN	31608.6738	NaN
4.5363	NaN	32143.541	NaN	NaN	29548.0273	NaN	NaN	NaN
4.6698	NaN	32473.9766	NaN	NaN	29659.0254	NaN	NaN	NaN
4.8032	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4.9366	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
