x	Y_20181208_15693_10_3g	Y_20181208_15693_10_5g	Y_20181208_15693_10_8g	Y_20181208_15693_11_12g	Y_20181208_15693_11_3g	Y_20181208_15693_11_5g	Y_20181208_15693_11_8g	Y_20181208_15693_11_9g	Y_20181208_15693_13_10g	Y_20181208_15693_13_4g	Y_20181208_15693_13_5g	Y_20181208_15693_13_7g	Y_20181208_15693_14_3g	Y_20181208_15693_14_6g	Y_20181208_15693_15_10g	Y_20181208_15693_15_12g	Y_20181208_15693_15_7g	Y_20181208_15693_15_8g	Y_20181208_15693_17_2g	Y_20181208_15693_18_6g	Y_20181208_15693_18_9g	Y_20181208_15693_19_3g	Y_20181208_15693_19_5g	Y_20181208_15693_2_6g	Y_20181208_15693_2_9g	Y_20181208_15693_3_11g	Y_20181208_15693_3_7g	Y_20181208_15693_4_6g	Y_20181208_15693_5_1g	Y_20181208_15693_5_2g	Y_20181208_15693_5_5g	Y_20181208_15693_6_11g	Y_20181208_15693_6_6g	Y_20181208_15693_7_5g	Y_20181208_15693_7_8g	Y_20181208_15693_7_9g	Y_20181208_15693_8_7g	Y_20181208_15693_9_7g	Y_20181208_15693b_1_11g	Y_20181208_15693b_1_12g	Y_20181208_15693b_1_3g	Y_20181208_15693b_10_16g	Y_20181208_15693b_10_1g	Y_20181208_15693b_10_7g	Y_20181208_15693b_10_8g	Y_20181208_15693b_12_10g	Y_20181208_15693b_12_4g	Y_20181208_15693b_12_5g	Y_20181208_15693b_13_10g	Y_20181208_15693b_13_3g	Y_20181208_15693b_13_4g	Y_20181208_15693b_2_11g	Y_20181208_15693b_2_15g	Y_20181208_15693b_2_3g	Y_20181208_15693b_2_7g	Y_20181208_15693b_3_18g	Y_20181208_15693b_3_19g	Y_20181208_15693b_4_12g	Y_20181208_15693b_4_14g	Y_20181208_15693b_4_2g	Y_20181208_15693b_4_30g	Y_20181208_15693b_5_14g	Y_20181208_15693b_5_23g	Y_20181208_15693b_5_26g	Y_20181208_15693b_5_9g	Y_20181208_15693b_6_15g	Y_20181208_15693b_6_18g	Y_20181208_15693b_6_2g	Y_20181208_15693b_7_16g	Y_20181208_15693b_7_1g	Y_20181208_15693b_7_5g	Y_20181208_15693b_7_6g	Y_20181208_15693b_8_7g	Y_20181208_15693b_9_10g	Y_20181208_15693b_9_3g
0	27141.5547	27761.1953	33197.7266	30267.5254	26378.9902	30846.082	29638.1758	30960.7324	31794.9902	29650.2305	32050.4355	29847.6895	27739.8086	29686.7969	31561.3125	30334.4336	27478.0879	30500.5547	28506.8066	32962.4805	30841.0684	28848.416	32648.0684	28360.4395	32234.9766	34561.2969	31915.4199	24614.752	26262.8066	27024.0781	31687.3672	31769.0508	28591.0547	28178.2715	26304.4688	23611.9336	29762.3906	30304.5332	32903.5391	31450.2852	32727.6387	32172.2051	28461.8633	28383.5859	32623.7559	26838.4727	31628.9941	29763.4238	24819.9062	24474.3496	26294.25	31235.6895	31332.0508	26694.8398	29607.9453	27480.3926	31250.5391	29780.7656	30956.5273	28038.8594	28063.5605	32599.2363	31759.293	27507.666	27910.9043	32394.5742	35450.2422	31103.168	33715.7578	31858.7266	28767.1094	29137.6445	25029.4902	26637.1621	26263.4355
0.1334	26551.1875	27479.4434	33136.7969	31636.0254	26373.9629	30324.8633	30144.6289	29475.4902	30972.8984	30015.8711	31659.291	30704.0645	28946.1465	29019.8828	32254.8691	30020.0859	26541.6113	29575.5195	28073.9297	30281.4102	30257.7246	28233.916	31598.4336	29079.0742	32216.3633	32760.584	30034.4414	24057.3496	28536.3574	26308.1699	31961.7441	32036.3359	28612.7461	28419.6621	25912.3379	24162.9492	28175.1055	30431.5215	30964.1543	31129.0742	34838.2188	34172.9922	29416.9805	29074.0742	31752.3066	27838.9648	30649.3223	31261.3809	25044.2891	25541.2812	25661.668	29807.3672	30384.2344	26172.4551	28944.2441	27286.4492	30244.7598	28740.5117	31481.2676	27483.6602	28042.6152	31267.5781	31580.3594	27159.1816	28531.0781	31178.2305	34579.7812	29613.8086	31555.8633	34777.0781	28688.4902	28809.2988	25657.4844	26734.5293	27522.7109
0.2668	27545.1328	28338.0645	33261.6055	31253.4512	26700.9121	30567.7793	28929.1875	31331.1621	31989.168	28424.6094	32294.0488	30566.8926	29765.4473	30119.4551	32605.6797	29675.998	25879.8535	29676.7461	28219.2656	32221.2832	30593.0098	28836.6953	31124.0918	28466.4414	30337.6777	32621.834	31003.7891	24424.668	27947.8633	27208.6641	31445.0801	32654.5762	28715.8984	26390.9551	27689.8691	24670.9238	29268.2031	30491.8281	32269.5449	31253.4648	32220.5645	33945.0117	28470.1621	29168.418	32888.4102	27469.1406	31214.8223	30255.9004	25698.2188	26372.6992	25299.1074	29422.0605	29612.2422	26921.2539	29872.8398	27421.5371	30295.2305	28429.1289	31562.7734	29467.9043	29063.166	31820.5977	32143.1172	28307.4688	27977.8457	30017.5137	35060.4453	27474.4551	32633.8027	41889.8359	28609.6621	28158.998	24610.5293	27172.3164	28828.5742
0.4003	26695.9141	28281.377	33756.5039	32219.8379	26589.8789	30306.252	28530.2148	31312.1973	31208.5059	29100.8262	32117.873	30174.3027	31321.918	30632.5039	31960.3184	30041.2305	26783.4336	30237.5723	29825.0117	33198.1758	30405.7168	29339.9355	31283.3242	28199.0059	31461.7754	32982.3047	31148.0137	24107.1953	28986.2324	27186.0879	32109.0605	31932.3613	27849.4512	28189.666	27807.5625	23723.1719	28079.293	30626.4688	32255.4121	34034.5312	33122.1641	33390.4609	28666.0234	29870.0215	34161.3828	27892.1211	31151.1699	30249.1836	24575.125	28017.3281	26220.8008	31951.623	29217.9531	29489.6895	31115.7461	27449.3828	29956.4023	31027.9023	31690.7383	28820.9609	28759.5234	31572.8301	32761.2812	27457.2246	27733.8984	29485.3672	35121.1484	28760.2617	32294.1602	61402.3516	28028.5254	28361.9141	24304.9531	26996.6582	27881.3594
0.5337	27176.6445	28906.2246	31889.7617	30184.6797	26341.9688	30045.207	28271.4277	31934.918	30742.0352	30303.8184	31071.6699	29390.5059	34859.5938	31747.5586	33466.1836	30139.6055	26690.2754	29829.9062	29316.6406	31144.9023	30338.6309	30212.1953	30552.3262	28450.1152	30238.7617	32874.375	31656.8633	23201.9746	29309.0762	27041.4785	35200.0508	31376.5273	26015.9473	29541.2949	27629.5117	23715.5586	29168.8867	30638.6426	33385.4141	31231.0742	32579.0508	35935.207	31131.043	30013.0156	32680.3535	28421.7031	31989.7773	31303.0645	25769.6562	27476.9336	26861.1309	31237.7207	29404.123	28329.6543	29673.0059	28489.6992	30128.9883	32403.541	31773.2871	30850.2109	29359.9414	30457.7285	34164.4727	27468.6094	27589.8301	31320.248	34526.9609	29943.1094	32607.082	86595.0703	29299.7012	29308.2988	24073.1152	28880.2129	28437.1953
0.6671	28838.9844	27501.5273	32777.7383	31216.8047	27287.4844	29566.873	29236.1719	32705.1328	32458.8145	32088.2793	32879.1289	29830.1758	44737.625	34124.0234	36911.2344	31388.0332	27155.7422	30325.4883	29010.1973	32266.7617	31042.0605	30003.3438	32239.1484	28464.9316	33040.1016	33333.9258	32277.4785	25645.9355	32052.9629	26827.5059	37265.2773	32452.4746	27628.3457	28389.5352	29737.7324	24586.334	29882.0332	31821.8887	33504.918	31698.584	32869.0938	40103.7266	32446.8086	30583.1445	30752.0352	28850.0742	32480.748	34583.8555	24954.2168	27316.9785	27743.8828	34528.0977	29554.8613	29295.0098	29902.9551	29675.5957	30982.4453	32449.873	33086.3867	29738.6016	27630.7734	32228.3398	37126.1055	29383.4414	29318.8828	33728.6055	33614.5156	28190.623	33070.0273	84523.4922	29200.6133	30493.8594	25191.7402	34456.918	26953.9922
0.8005	27248.2012	28956.9531	32915.2539	32585.8828	30160.3105	29697.0312	28296.6797	31457.2676	33737.9453	31298.4727	33495.2422	29440.2559	64906.6289	38211.4688	39449.1953	32539.2793	26588.3984	32837.1484	29592.7148	32896.6953	32269.7559	29929.8223	31543.9551	30514.1797	32625.8457	35996.6758	34211.9062	25742.166	39000.9336	29108.0703	46673.4531	32544.6152	29009.8086	30906.2812	29551.4824	25766.8066	31279.8086	31885.3301	34476.2383	32065.418	33306.4062	46038.3711	35228.9609	31915.6445	31197.6621	25967.623	31864.1523	41240.9297	25557.3691	26301.7422	29580.8711	41293.2539	29427.7344	31510.6328	30020.3555	33018.3398	29737.8145	35979.2031	35821.7461	31172.666	27080.8242	34133.6875	44827.5977	29632.9473	31309.6562	35464.6172	32997.4102	28082.4766	32680.0703	58844.8555	29849.3887	29982.8555	24240.3672	40108.1289	30722.4062
0.934	29419.4629	31266.7324	32142.9727	32434.125	32587.8457	31835.6777	29602.0586	31751.3691	36276.2734	34902.7734	35478.9062	30894.7695	92424.0781	44699.8164	51144.2773	33645.5	26216.1406	33987.6992	29941.6816	33424.0234	36622.9688	32806.9297	31381.3867	31513	34429.5078	36710.9023	35111.2773	25665.3086	50687.5859	29223.1191	67477.5312	34034.4688	29613.8164	32102.6797	32770.8867	25683.1133	35950.7578	34911.4609	39568.0078	30696.2734	33815.6758	64268.5195	37384.5273	36454.7734	31208.2598	27907.9316	32214.0176	60752.0039	27342.6641	27381.1406	37572.0234	57626.2695	28563.3594	36732.5898	28995.2227	43105.4141	30335.8633	41401.7852	38349.9258	36726.6641	29343.1621	37581.8125	59536.9023	31005.5703	30258.6875	43758.8164	34344.9766	30450.3965	31711.0195	40447.7656	31377.4141	32408.0391	24496.416	56750.0273	27821.1738
1.0674	30247.9531	36636.5312	33976.8906	36697.4531	41143.6367	37596.5352	31075.6797	33549.0078	43463.0352	39780.7266	42623.5391	32338.9316	103325.1875	55283.1562	73871.9844	35348.1875	28544.0938	40909.5039	31244.7812	34846.5938	47303.0352	35975.0977	34252.5977	31680.7578	39738.1328	43258.1211	38931.0547	30166.916	79451.5859	30443.9434	87263.3906	33323.8984	32319.875	37169.875	43707.3516	30799.8711	51599.1953	37813.5352	57052.6367	33665.9219	37373.6523	81994.5156	44920.6289	45537.6445	32373.123	30747.4336	34764.3125	91961.5625	27578.916	28290.2578	51194.8516	85260.2031	30603.8613	49555.2969	29639.3047	60197.793	28651.2852	57041.957	46931.2461	43717.8828	30928.6191	48495.4414	88905.9062	34310.4219	36599.2656	53812.25	34173.3438	32790.9297	32200.3398	34049.4023	34894.0664	36949.0586	25555.7871	81381.2188	30690.4121
1.2008	34785.5312	48852.1094	37631.7891	48941.1953	60064.1523	52128.8359	33257.0078	34336.2148	64039.9336	53068.8008	56395.9609	32422.377	70957.3672	55686.2422	89185.3203	37513.0312	30578.1094	55040.332	38026.1836	42198.207	65687.8047	40339.2656	39630.1484	35660.0352	47563.5156	64461.1328	54709.4961	38401.0156	86552.3359	34497.7109	82450.6875	36573.332	33828.9062	52893.4922	59969.5898	41638.2695	72587.5625	45128.8164	91502.5859	35805.293	49879.6133	75972.7031	69892.1094	65035.0938	34156.457	32070.0215	38179.8398	88575.1016	30258.1641	27756.7793	72015.5469	87188.1328	33214.9492	78618.6562	29749.9258	65288.9727	31175.5547	73271.2109	66143.0938	54823.9531	36948.418	65716.6719	95724.7109	41682.0312	44771.8555	77330.2266	37006.5586	37708.8789	34849.0938	34759.9062	43154.418	46996.7734	25349.209	93042.5703	29485.8145
