x	Y_20181208_15692b_10_7g	Y_20181208_15692b_11_12g	Y_20181208_15692b_11_20g	Y_20181208_15692b_11_21g	Y_20181208_15692b_11_23g	Y_20181208_15692b_11_2g	Y_20181208_15692b_11_6g	Y_20181208_15692b_11_9g	Y_20181208_15692b_12_15g	Y_20181208_15692b_12_16g	Y_20181208_15692b_12_1g	Y_20181208_15692b_14_2g	Y_20181208_15692b_16_3g	Y_20181208_15692b_16_4g	Y_20181208_15692b_16_5g	Y_20181208_15692b_16_6g	Y_20181208_15692b_16_7g	Y_20181208_15692b_17_2g	Y_20181208_15692b_17_3g	Y_20181208_15692b_17_6g	Y_20181208_15692b_5_2g	Y_20181208_15692b_5_5g	Y_20181208_15692b_6_2g	Y_20181208_15692b_7_8g	Y_20181208_15692b_8_1g	Y_20181208_15692b_8_4g	Y_20181208_15692b_8_6g	Y_20181208_15692b_8_7g	Y_20181208_15692b_9_2g	Y_20181208_15692b_9_4g
0	8958.6318	13343.5068	13056.1025	11821.4355	12674.457	12230.917	11458.1064	10391.5459	11102.1445	11674.7012	15318.9268	12077.3545	14465.0068	12521.084	12778.4824	10808.4248	11419.6045	13756.7148	10673.6758	12201.2314	11203.2646	11340.5479	13325.3008	12217.8975	11583.3379	11558.6787	11830.5498	11688.3506	12007.0723	11005.0977
0.1334	8896.3594	13634.9131	14072.9736	13049.6406	12752.3174	13862.9902	12294.4805	10307.5039	11591.1191	12425.167	16764.6328	12454.5098	15988.083	12583.1777	12881.8105	11315.1416	13085.9727	15206.1338	11323.042	12735.0537	11604.9971	11993.2607	13853.3232	12400.5381	12627.0205	13911.8428	13445.5781	11598.2949	13986.5635	11340.8398
0.2668	9624.3311	13705.9551	15622.79	13975.5068	13435.8711	16235.209	13569.2891	10927.8311	13197.9629	14319.0742	20441.8047	14265.7002	17593.3652	13162.3887	14898.6221	12286.3857	15494.1484	17784.9297	12584.4512	15346.5215	12276.5234	13159.374	15477.1143	13304.2207	13875.0674	15118.626	14387.3428	12940.8438	17628.0898	11362.833
0.4003	10323.71	15507.4717	17878.6152	14692.2305	13263.3369	19254.0781	15786.123	13181.7295	14221.9971	18249.1641	24292.9043	18112.1094	17426.8594	14788.9639	17301.6348	12940.6201	16426.9609	20066.8906	15019.6426	15831.1318	14751.293	15643.4834	16607.4727	14248.5596	13618.4268	14115.666	16456.0781	15368.1094	19651	12404.5518
0.5337	11046.5566	18231.4668	18729.7578	17986.0566	14801.624	16681.8203	16901.5391	15168.9434	14448.4141	19710.2812	25178.8477	22377.3828	14532.9111	17389.3477	18565.7891	15222.4248	15214.4111	19204.1875	16382.1904	14978.5557	16924.2168	17151.0605	16668.0234	14154.9463	13519.6094	13172.918	17492.8594	18983.6621	18219.7891	14577.666
0.6671	13301.8086	21610.9453	16000.1719	17393.6797	15814.7109	14683.6475	16318.833	14359.3281	15346	17329.9824	22077.1016	23320.1543	12385.4746	18204	17403.6875	16366.3057	13801.1406	15452.2363	15344.4912	13455.2197	17883.959	17709.8652	16499.0762	13657.543	12368.7158	12428.6162	15604.918	20509.3379	16004.876	14588.2188
0.8005	15367.1299	20998.6914	14149.8135	14863.4824	15711.9814	13000.7393	16772.9043	13542.4326	14607.7178	15367.458	17806.5605	19416.6016	12352.5693	18008.25	15953.2041	15184.1094	13534.7949	13608.8818	14514.458	12751.3467	15409.2539	15502.9131	15189.5791	12459.4795	12106.3701	12254.7822	13550.6094	17126.2773	14979.6162	13163.252
0.934	15647.4854	19085.043	12897.6367	13782.2158	13849.8643	12831.2686	15638.3555	13075.2988	13162.6924	14270.6846	17453.5723	17039.1113	11622.7178	16500.8301	14173.5195	15337.4268	13142.7412	13504.8506	13704.7461	13586.5293	14342.2715	14656.749	14667.0186	12709.2188	12544.5996	11764.8623	12442.0088	13891.6113	14282.9326	13183.752
1.0674	13914.7861	17552.2754	12769.4922	13106.1641	13414.8789	13037.8623	14385.9551	13643.1396	12468.415	13946.3037	15916.083	14621.9004	12605.3789	15999.8271	13992.8604	14331.667	14633.0332	12931.4697	13452.3779	13670.0518	13525.8242	13486.9219	16113.8623	13425.6982	12290.3525	11889.8896	11706.9541	13096.54	15071.2832	14950.7461
1.2008	13548.4248	16767.8711	12729.0518	12575.4141	14173.2598	14333.793	13442.4287	14145.4541	13131.8584	14109.6895	16281.5322	14000.749	12769.5342	14666.5488	13693.2393	12053.5752	16633.6094	12336.4951	12876.8018	13590.2188	14462.7715	13598.0264	14874.5596	14325.6523	12027.708	12222.6748	11429.709	12342.4326	14140.0703	14810.3594
1.3342	14189.8457	15913.4922	13555.667	12069.7764	14731.0078	15343.043	12930.2861	15772.9561	13065.8574	14956.2646	16474.0117	14678.5508	12990.4492	15058.9131	14910.2383	11812.7754	17247.9922	11927.8262	12815.4424	14182.1621	14969.9424	14141.4971	13324.5547	14988.7949	11153.7266	13238.4102	11918.4316	12161.4072	13455.8604	15131.6641
1.4676	14156.4043	14800.126	12398.3164	11085.248	13851.3574	14361.4658	12703.0869	14964.4424	13808.4912	13885.4551	17218.0039	14182.8555	12904.7705	15000.0732	14690.0088	11468.2656	17857.1016	11385.7695	13127.1289	13712.9873	14320.0889	14361.5312	12625.96	15008.2002	11647.1709	13221.6816	12310.8965	11343.9844	14303.4805	14462.9736
1.6011	13986.8076	14411.5566	11532.4004	10439.1299	12863.5859	13108.3369	13405.9375	14577.3008	14595.9766	13863.666	17066.0723	15453.874	13304.916	14500.9268	13280.0557	11077.3994	16442.1797	11604.5654	14210.2695	13393.9717	13826.3584	14344.9414	12222.3115	14771.0352	13172.0723	12799.043	12417.0322	11884.251	14889.1113	14389.9434
1.7345	13554.2217	13793.9541	11565.2461	9887.2666	12748.3818	12328.8574	12153.209	15158.1865	14591.0791	13258.0146	16521.1758	16639.0117	13282.5137	14184.5918	12822.4697	11649.0703	15795.6875	11705.6807	14572.9834	12556.6211	13295.625	16121.3701	11919.6631	14410.5381	12510.4912	12400.0293	11533.2002	11797.3818	14390.4219	15158.2422
1.8679	13773.9385	13877.0977	10905.8086	9734.6641	12251.2197	12547.8447	11726.0264	15751.6709	14139.1699	12234.2549	16234.2764	16471.5488	13037.374	13758.4795	12776.4033	12055.4014	13873.9688	11788.0166	13917.7754	12720.0029	13150.7129	15442.1992	12750.1963	14433.3223	12526.875	12595.9229	11935.1543	11680.5234	12918.333	14306.6611
2.0013	13003.6992	13206.0068	10764.623	10410.4365	12289.1465	11697.54	12004.9277	13863.0166	14323.7178	13338.2109	14857.1641	16214.6797	12281.6621	13305.0459	12975.125	11097.7461	13597.3604	12647.7168	13913.832	12450.9951	12460.7939	14877.8838	12761.8623	13652.9395	11622.9277	13514.8047	13006.7812	11415.0596	12747.8145	14792.4424
2.1347	13347.042	12437.2578	10290.5537	10611.4863	12274.3506	11492.6699	12438.1738	12701.9717	13886.791	12818.0645	13950.6572	15526.8027	12854.1133	13339.3496	11977.9121	10608.0156	12796.1465	12679.2969	14160.7139	12326.2432	11753.2266	14521.2168	12748.1963	12645.9062	11358.9082	13418.8857	12915.0254	11220.917	12886.0322	13910.1045
