x	Y_20181208_15693b_1_10g	Y_20181208_15693b_1_13g	Y_20181208_15693b_1_2g	Y_20181208_15693b_1_6g	Y_20181208_15693b_10_10g	Y_20181208_15693b_10_11g	Y_20181208_15693b_10_13g	Y_20181208_15693b_10_14g	Y_20181208_15693b_10_6g	Y_20181208_15693b_11_10g	Y_20181208_15693b_11_15g	Y_20181208_15693b_12_12g	Y_20181208_15693b_13_7g	Y_20181208_15693b_2_14g	Y_20181208_15693b_2_4g	Y_20181208_15693b_2_5g	Y_20181208_15693b_2_6g	Y_20181208_15693b_3_10g	Y_20181208_15693b_3_11g	Y_20181208_15693b_3_14g	Y_20181208_15693b_3_16g	Y_20181208_15693b_3_3g	Y_20181208_15693b_4_10g	Y_20181208_15693b_4_16g	Y_20181208_15693b_4_4g	Y_20181208_15693b_4_6g	Y_20181208_15693b_5_10g	Y_20181208_15693b_5_13g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_22g	Y_20181208_15693b_5_2g	Y_20181208_15693b_6_3g	Y_20181208_15693b_6_8g	Y_20181208_15693b_7_15g	Y_20181208_15693b_8_12g	Y_20181208_15693b_8_18g	Y_20181208_15693b_8_19g	Y_20181208_15693b_8_1g	Y_20181208_15693b_8_20g	Y_20181208_15693b_8_30g	Y_20181208_15693b_8_5g	Y_20181208_15693b_9_12g	Y_20181208_15693b_9_13g	Y_20181208_15693b_9_14g	Y_20181208_15693b_9_4g
0	13795.2949	13889.5361	14738.4697	13721.5967	11684.3135	12143.6514	11233.3643	12132.3076	11206.2148	11557.1777	11127.1387	12045.0342	11724.4014	12417.8574	12572.457	15358.9717	12314.6367	10809.499	12218.9756	11764.7861	11178.5977	10635.5234	11744.96	11070.1387	11752.5	11448.084	12153.9609	14888.6924	13214.6582	13115.4277	11852.5791	12142.168	11789.1104	11147.5098	13207.4277	10654.1875	12934.1738	11586.2637	11118.0947	11019.5557	10439.5488	11658.7314	11240.0342	11536.5098	11445.5273
0.1334	18128.4961	14738.7832	13916.1328	13637.8291	12483.2881	12143.958	10888.6094	14012.8643	11502.9102	13205.8252	11660.0068	12622.0439	11368.5498	12516.8848	13713.7627	16196.1621	14275.166	11018.6514	13766.4688	11331.3311	11145.7969	11112.2725	12212.793	12450.5967	12024.2852	11392.9531	14613.1953	15329.7725	13560.6768	14509.9863	11650.3262	13636.666	11552.4229	13086.7031	13920.2402	11327.3477	15424.1611	11787.5215	12135.7695	11755.4277	12347.3584	12176.5713	11724.9639	12356.8984	11336.5811
0.2668	21743.5137	17773.4785	13768.375	15567.6816	15964.9766	12848.085	11740.1758	15722.0283	11800.2461	15105.5566	12077.3105	14231.7178	11426.1992	12752.6758	15952.9863	15680	14805.959	11951.8799	17843.3066	11267.4551	12079.1387	12798.292	12043.0488	13416.3516	13616.1982	12365.5684	16267.9697	15007.0273	14263.3613	19372.6406	11743.3389	15514.6338	12770.2109	15615.8535	15961.5674	11863.3389	18733.1641	13298.1924	12197.5547	14469.5342	15793.5869	12372.8096	12024.1465	12299.623	11593.9053
0.4003	24475.1172	20689.1602	13414.7129	18493.0371	18314.873	13816.7129	12927.2021	19356.209	13726.209	17619.4766	12499.9697	14219.543	12778.3926	14826.4609	18670.8223	16432.793	11909.377	14095.9521	22143.5293	12164.2021	13038.9189	14847.5645	12451.8857	14707.127	14794.6094	14871.0635	16465.0176	15625.3467	16450.8926	23723.8066	12855.3291	15892.6787	14037.5557	17468.5078	16771.2637	12369.8711	21271.1699	14638.0361	13488.7529	16404.084	17798.7656	13750.7949	14790.9404	12439.3965	13033.6602
0.5337	21075.5918	21287.4434	15172.0459	21566.2188	17895.084	14914.6533	12617.6514	22522.8379	16799.127	17050	13967.4727	13224.9316	15084.9336	17025.7363	18101.8398	16459.375	11229.2529	16762.6133	21849.877	13830.0566	14325.6172	16132.7422	14857.5537	14127.9375	15089.334	17040.416	15330.6797	19542.9766	17480.2168	20430.9766	14869.4092	16754.5273	14987.8438	17747.1191	15165.6699	13601.5596	19690.3555	15508.7158	14119.4473	15002.6729	17677.3945	16605.2559	16730.9297	14105.8408	14695.8291
0.6671	18055.2383	18222.9414	18125.8691	22469.7012	15915.7285	14042.1436	11837.2129	21892.8633	17677.2402	15060.6816	13696.334	12746.6104	18337.4844	16697.5352	16146.5	15373.9189	11310.0176	18693.8984	19546.4238	15088.4795	14365.9121	14678.7451	17442.4395	13146.3896	13582.7168	15440.2041	14261.5527	22717.4473	15508.1592	16386.5059	17222.6523	16549.998	14908.833	16246.0537	12934.4756	13363.7764	16547.7246	14302.9463	13745.9424	13208.5137	16103	20636.7676	18012.877	16688.6367	13621.0879
0.8005	17415.1934	17522.7656	21460.7559	20599.0234	14737.166	13931.4482	12038.7432	18139.8398	14510.21	13409.2168	12320.3047	12662.5508	18147.6406	16767.0078	15541.8496	15530.3564	10846.1084	19270.9648	16756.4609	14543.3379	14170.4033	13197.3467	20238.2715	12682.0078	12810.6885	13673.7871	13564.9043	23251.1172	14305.7148	14859.5332	15579.7422	14301.4365	13982.2568	15699.0068	12591.3848	12487.7236	13299.3955	15402.7236	13715.291	12092.1162	15149.4668	25228.0273	16965.2598	17268.3184	13026.4951
0.934	17959.959	16754.4453	20986.4844	18499.4375	15830.5674	12806.7637	11676.4033	16179.6377	13426.6055	13397.0703	11388.5381	12666.4102	17240.1797	17052.0059	14478.9141	15608.4668	10861.6855	16617.4844	15882.9365	13746.1279	14316.0508	12063.0801	19807.5254	11734.8809	11784.2812	13176.9121	14374.0645	20264	13337.5898	13589.8682	15172.2539	13194.6895	13160.4082	16039.3232	12942.2656	11094.3887	13476.0811	16124.7783	12975.5576	11701.335	13722.002	25830.3359	15273.376	16122.7314	13092.0166
1.0674	20141.1172	16011.25	19767.0312	15164.042	16731.3496	13412.5508	12173.0742	15396.4541	12878.1475	12787.9873	11117.5498	12555.1592	15327.4473	16853.7539	13242.9463	14942.6572	11837.874	13296.8105	15396.9707	12758.8652	13492.9434	12123.3818	16977.8574	12340.4629	12544.9141	12754.0156	14213.7314	16566.7871	12520.876	13969.9551	13576.2188	13406.3223	12683.5635	16518.6387	12426.3291	10624.4219	13680.0117	16086.041	13088.7158	11234.5684	13455.332	21699.8125	14787.8584	15755.126	13550.8105
1.2008	20616.6719	14019.3564	19723.1406	15300.9639	16693.877	13494.5752	12557.5127	14041.9551	12629.9766	12328.5088	10981.916	13200.2217	14088.9346	15944.7725	13166.3467	14712.0664	11650.3555	12289.3584	14747.3311	12292.0811	12827.9922	12172.085	16061.2842	12365.3574	12849.5117	13499.9463	14373.8975	15679.6934	12297.877	13575.5605	13469.9707	13556.8545	11617.0947	15817.6611	12265.6777	11168.9209	12715.0254	14751.2227	12315.8994	11461.9756	13799.2812	19207.5566	15980.8467	15252.5723	13869.4004
1.3342	20422.0469	13465.5391	18836.2539	16765.7676	15268.0762	13096.4307	13903.0947	12860.0605	12070.7002	12807.6826	10649.9834	12854.0273	13364.0713	16993.7246	13339.3242	15118.208	11193.7373	11797.3018	14871.4336	11505.1416	13007.5918	12556.7295	16139.9746	12879.9492	11928.8975	13877.0078	14297.2461	14767.8164	12575.1436	13737.3281	14389.3643	12783.4678	11418.7344	15208.0479	13088.5146	11510.4893	12163.1172	13513.7188	12147.8994	11420.8242	14173.8223	16658.8398	16301.0664	13083.332	15257.2988
1.4676	17817.5039	12558.2891	16467.5332	16481.1465	14417.7256	13677.2061	14342.7246	13167.3701	12665.2842	13497.4219	10924.6172	13020.5527	13677.9355	17493.9023	14562.3711	14403.8545	11447.7471	12742.8398	15422.6855	11888.4805	12656.8213	13627.7344	16670.4258	13640.7383	11796.9307	15565.499	13034.2842	14601.6924	14421.623	13464.0283	13504.5586	13645.3057	12029.5596	15000.543	12091.1484	11718.6523	11737.2842	12430.6182	12374.5459	11613.1709	13746.0332	14676.6846	16110.873	13243.2207	15720.2969
1.6011	16677.5508	12541.2979	15512.9834	16039.5078	13966.8076	12898.499	13678.1514	13313.7295	12128.0508	13158.3711	11295.1875	12643.1846	12864.5518	17079.5254	13498.3906	13036.6133	10339.1055	13133.4209	14721.8867	11381.8613	12906.4365	14885.9473	16806.3184	15044.874	12003.1182	15849.3789	12142.8535	13384.8174	17129.1504	13170.0146	13262.9609	14925.0264	12770.9229	14232.4326	12435.4609	11691.5469	11509.0654	11636.6719	12774.7363	11401.3223	13227.957	14033.249	15867.3281	12869.6416	13986.9404
