x	Y_20181208_15693_10_7g	Y_20181208_15693_11_2g	Y_20181208_15693_12_2g	Y_20181208_15693_13_1g	Y_20181208_15693_13_9g	Y_20181208_15693_18_7g	Y_20181208_15693_2_7g	Y_20181208_15693_20_4g	Y_20181208_15693_5_2g	Y_20181208_15693_6_5g	Y_20181208_15693_7_3g	Y_20181208_15693_8_3g	Y_20181208_15693_9_4g	Y_20181208_15693_9_6g	Y_20181208_15693b_12_1g	Y_20181208_15693b_13_19g	Y_20181208_15693b_2_8g	Y_20181208_15693b_4_13g	Y_20181208_15693b_4_7g	Y_20181208_15693b_5_21g	Y_20181208_15693b_5_4g	Y_20181208_15693b_9_19g	Y_20181208_15693b_9_1g	Y_20181208_15693b_9_8g
0	31164.7871	27557.4395	30140.7109	27683.3359	26157.0371	31152.0117	27837.3008	29820.5215	27271.002	29141.5117	27706.6895	30686.5547	25780.5312	30218.209	28804.2754	34894.2422	29814.2891	34238.7383	29933.5195	29814.5195	28012.9609	30265.0918	29027.9414	29835.7383
0.1334	31335.5137	28168.1797	29351.082	27995.0879	27650.2363	30634.3789	29388.2969	29651.0977	27012.5273	29921.1719	29105.9238	30779.6211	27437.8105	29855.7324	27292.9805	34694.8281	29539.3984	34755	28893.3613	29566.0781	29926.1406	29973.7637	28131.9844	29993.0391
0.2668	31468.957	28187.2363	29160.0234	28664.9648	27183.4434	32832.6016	29958.3047	29691.8184	26677.6621	30179.9375	29334.4668	31897.7227	29027.416	30225.6562	28798.9375	33296.293	29485.8047	34264.7578	29668.6953	30806.3926	28328.8047	29811.4922	29095.8398	29314.7949
0.4003	29896.0195	27419.375	29139.6387	28877.6719	27551.6211	31655.0645	29154.3086	30049.5879	26905.4668	30453.7168	30349.7988	32312.9941	28798.0801	30109.3887	28898.2832	35000.5234	29274.6133	35759.1797	31023.4453	30382.2969	30068.1016	30357.4238	30066.5098	28794.873
0.5337	29626.3926	27571.8164	29021.248	29354.707	27531.2891	30968.127	30045.2812	30249.8945	28211.502	30595.1602	29434.2734	32436.2363	27172.0273	30230.3535	30603.5996	34967.5938	28807.207	35091.3828	30503.6719	30884.3184	30843.8906	31137.8867	29444.2344	29454.7227
0.6671	30821.793	28608.3477	29525.8398	29096.3867	27274.7734	31753.1289	31162.1914	30980.9766	28305.9277	28952.9121	30912.2539	30623.6504	27016.8926	30113.9219	28910.625	35655.3867	29178.4531	36632.1328	31773.4023	31252.2812	31593.0879	32280.0605	29534.6426	30160.3301
0.8005	31234.6406	27445.2363	29485.8379	31487.3457	26793.3594	32302.877	29955.7656	29417.9219	28586.8906	30141.8555	28977.2168	31253.2266	27020.6582	29908.9375	29006.2363	34617.0664	28322.7812	36357.1523	31846.8516	32022.5879	31693.791	32613.543	29374.6211	31508.6348
0.934	31713.6309	28256.1426	31338.3105	30351.9102	27821.4746	31201.3711	29979.6211	31035.5117	28721.9629	31984.5586	30603.9414	32457.543	27826.25	30486.5156	30130.9609	34066.875	28327.5977	34419.3594	32223.2109	33013.1641	32779.0508	32943.4844	29648.0723	31045.625
1.0674	32396.418	28131.3906	29221.8809	31103.1445	27027.9043	31520.2188	31673.3594	29941.3691	28783.8359	32038.291	32825.7266	33843.7578	28674.5898	31581.166	28343.5996	35150.6289	29524.209	34643.0547	31958.6309	32230.4531	33588.3789	33584.9492	29340.8281	30714.2207
1.2008	32406.5586	27587.5156	29395.0352	29801.3262	28232.666	32008.5977	31939.5801	31551.3594	29183.2715	35340.8789	30774.9102	36443.6562	28441.332	32060.8047	30309.3223	37437.7266	29799.8984	35383.1133	31412.0957	30920.4375	34782.4922	36175.0664	31015.8652	31484.1445
1.3342	32706.123	30117.6758	30661.541	31352.4258	28395.1289	33416.7695	31736.3984	30313.9922	32888.8164	37506.668	35251.9727	42153.4883	28534.6367	35053.0508	30234.9941	37467.3672	30547.4121	36389.8281	31863.9844	30513.4805	34327.2266	40797.0781	31906.1094	31538.1758
1.4676	33047.1758	29024.8672	30475.4688	32636.4141	29097.1816	32928.1289	35538.1172	31143.418	41801.1719	45596.1367	43483.2031	59309.5859	29442.4375	39025.2578	31381.3027	42433.8242	31353.3359	37803.043	33074.6016	32365.3418	39336.3477	49719.3086	35562.9766	32411.791
1.6011	37062.0625	32382.6113	32561.2559	36548.3203	30067.959	33052.5039	45304.9453	32789.4336	60821.1719	68499.5312	60892.3789	88750.6953	28489.2871	50263.8008	35577.7891	53668.8359	31431.918	46319.7422	32527.3125	32961.4141	47892.1172	71082.0156	44735.168	32357.9883
1.7345	50466.9727	36759.6484	38484.9961	46162.7656	36813.3594	35837.6172	58669.6016	33665.5117	63247.7188	85214.1328	72056.9375	109196.9297	27304.7441	51567.5781	44782.4844	79209.6875	36891.0742	63127.207	34542.8789	34736.9727	71809.6953	84513.5312	56769.1523	34384.1133
1.8679	60656.9727	43130.2383	48626.2031	70381	44160.1836	40301.3242	63669.2188	36923.4609	50318.8711	75474.3125	62939.0781	84626.3516	27617.4609	40284.6523	58284.3438	107404.9375	45995.3438	71048.6875	38632.1992	40135.8789	103918.6797	68828.8359	59919.8672	35129.8984
2.0013	61618.4062	41716.2422	49613.6055	86255.0547	49794.9609	56042.2461	47652.8242	41775.1719	38562.375	52414.2773	44949.1953	56916.7852	29000.1445	34927.8828	60659.6094	100464.5781	54477.0586	58069.7617	51205.7109	47404.8164	102840.4219	47855.125	55986.3281	37928.8047
2.1347	45844.6641	33370.5156	40659.5195	67987.8359	42802.2773	71839.9219	38311.6289	45904.0547	33999.8945	41301.6133	35275.8438	39837.918	29341.1348	33239.125	47800.0156	65657.0156	49290.1367	43759.1914	72213.3984	54043.793	70697.75	38221.9141	48167.9023	43808.5508
2.2682	36873.8398	32187.8301	34558.7109	44435.7109	34097.3867	63815.1562	33848.0078	38737.6328	NaN	35441.6289	32786.543	36253.3828	36357.9453	NaN	37429.6641	50302.3984	38441.0039	37336.7812	83338.4922	48497.7812	48930.4062	36263.9141	40845.3555	47562.7188
