x	Y_20180224_15102_1_1g	Y_20180224_15102_10_8g	Y_20180224_15102_10_9g	Y_20180224_15102_11_11g	Y_20180224_15102_12_2g	Y_20180224_15102_12_4g	Y_20180224_15102_13_8g	Y_20180224_15102_14_2g	Y_20180224_15102_15_6g	Y_20180224_15102_16_7g	Y_20180224_15102_18_6g	Y_20180224_15102_19_8g	Y_20180224_15102_20_2g	Y_20180224_15102_20_6g	Y_20180224_15102_21_2_S_g	Y_20180224_15102_21_9g	Y_20180224_15102_22_1g	Y_20180224_15102_22_5g	Y_20180224_15102_23_6g	Y_20180224_15102_25_13g	Y_20180224_15102_25_4g	Y_20180224_15102_26_1g	Y_20180224_15102_26_5g	Y_20180224_15102_27_10g	Y_20180224_15102_27_2_S_g	Y_20180224_15102_27_5g	Y_20180224_15102_27_7g	Y_20180224_15102_28_1g	Y_20180224_15102_28_9_S_g	Y_20180224_15102_29_2_1_S_g	Y_20180224_15102_29_2_2_S_g	Y_20180224_15102_3_6g	Y_20180224_15102_4_3g	Y_20180224_15102_4_5g	Y_20180224_15102_4_7g	Y_20180224_15102_4_8g	Y_20180224_15102_4_9_S_g	Y_20180224_15102_6_2g	Y_20180224_15102_8_3g
0	14462.098	15734.603	15711.586	15194.7	13812.648	12232.784	15840.998	12765.244	13715.848	13466.013	17704.863	17000.004	14221.134	12996.342	15750.588	15931.029	15400.58	12488.6	15806.626	13148.585	11842.349	13621.503	13974.54	15652.796	13354.448	13489.829	17664.717	14896.636	13042.326	17329.264	14790.744	18016.801	16259.249	16269.353	13233.459	14757.723	15149.642	13939.137	17925.357
0.1334	14810.949	20015.715	19088.154	15569.84	16135.42	13375.839	16530.262	14799.863	14949.47	14197.689	18957.4	17983.35	15526.535	14566.613	15796.812	18313.877	16768.105	12791.918	17625.99	13476.013	13373.893	14470.081	15326.649	19006.168	15168.581	13881.399	19317.404	16096.877	14636.238	18595.16	16468.779	19778.877	20579.73	20553.842	14563.052	19631.031	19298.137	15490.095	23242.656
0.2668	16513.266	25313.361	24854.84	17353.65	19407.85	14646.182	20784.82	17201.859	18511.566	15447.344	25060.26	23757.758	18354.426	18774.637	16451.811	24417.184	18092.758	14017.627	21609.65	15562.964	15714.821	17531.68	16989.486	25814.725	18814.334	15649.977	20763.992	17085.406	18904.812	21616.006	23716.352	27102.252	27559.084	27518.117	15517.778	27579.789	23484.678	19209.652	26242.686
0.4003	20528.441	27698.361	34721.777	20475.275	23261.047	18473.973	29109.496	20661.879	23463.164	16984.229	32974.512	31502.498	24768.922	27731.287	20103.504	35237.711	23553.123	16724.307	29829.762	19379.535	20885.824	22167.141	22354.52	28535.152	27154.666	21663.131	22742.221	21296.783	22940.395	29428.375	33534.125	32939.297	31243.762	30975.605	20387.072	30231.746	25571.41	24223.816	23782.787
0.5337	29783.865	23533.428	51010.949	24644.506	23147.488	25664.387	32613.787	20215.439	26328.52	18399.938	39336.332	35662.508	32162.932	31284.775	25020.562	43914.059	26539.164	23180.908	37688.66	25873.51	24737.299	28152.896	25269.672	25289.127	32752.895	32923.047	29035.535	33223.18	24562.785	40397.68	34155.777	29006.018	27849.533	27630.219	27771.436	27290.736	21405.404	26720.514	20902.92
0.6671	47536.109	20838.982	53721.887	28599.365	22258.041	29585.393	27238.184	19709.598	29363.65	17856.094	37155.359	29560.164	31104.902	30103.104	28258.723	43831.344	26361.617	29036.791	36895.379	23287.914	24430.367	27997.723	23720.473	20282.273	28038.865	44006.688	40138.578	42859.684	22522.744	43309.844	28654.338	25808.512	23027.607	22870.328	29903.1	20830.457	18822.082	22814.602	19499.949
0.8005	54744.836	20384.793	44644.586	28180.447	23613.715	26735.691	22832.508	18908.645	31349.941	16207.123	32736.01	26459.857	26629.271	25584.908	26107.977	41591.641	24714.014	29731.041	29679.506	20628.414	22434.717	25598.068	20476.883	19906.391	21746.963	41109.242	45636.566	42579.824	20813.486	35354.875	25867.607	26051.465	20492.916	20465.893	25498.273	18261.477	18223.797	17940.281	17888.002
0.934	48660.441	20606.451	35288.988	25109.48	22843.852	24603.844	21470.096	17862.66	28204.508	16191.032	30006.502	26632.377	24170.436	24015.518	23609.045	39768.613	23685.695	24275.928	22547.113	20923.674	22361.584	23102.029	19536.285	18653.158	18685.426	34752.57	39138.109	39114.359	19766.557	29305.176	24687.414	26414.174	18974.152	18886.924	21805.225	17629.355	18176.33	17402.211	17326.787
1.0674	38793.547	21285.453	29831.482	22900.572	22241.48	24776.896	20533.957	17245.777	24884.303	16012.595	26063.545	26268.48	22932.055	22644.119	21819.916	36131.738	22861.779	19809.764	19217.523	19024.484	21934.535	21637.25	19373.949	17276.68	18170.189	30956.74	28636.635	34395.586	19830.766	24361.639	23171.416	24725.564	17678.75	17517.176	17732.24	17253.801	19983.27	16938.512	16906.27
1.2008	35058.945	21444.031	28333.855	21483.42	21071.383	26803.656	19458.061	17845.705	24685.988	14797.521	22552.84	24423.068	21942.146	21932.25	20717.926	34306.43	22715.461	17823.717	19369.299	18454.803	21397.303	20610.914	18839.979	15815.979	19366.186	27926.051	21721.096	29747.115	19315.766	20841.936	22318.607	23731.002	17137.605	17012.178	18129.947	16193.752	21352.809	17509.754	16756.844
1.3342	30215.975	19516.225	27535.781	21427.795	21028.332	27670.543	18910.346	17749.773	24147.443	15821.868	21550.129	21910.521	21571.859	22107.287	19325.436	34162.695	21808.664	16977.275	18377.445	18281.77	20560.887	18845.35	17773.125	15538.771	18797.279	24570.666	18824.564	27297.258	19096.705	19525.371	22464.262	21285.826	17552.812	17496.889	17553.266	16283.243	22725.957	17566.838	17825.492
1.4676	26710.404	19371.143	27180.146	21910.336	21856.277	25467.002	18369.646	16926.398	23357.844	17109.928	21273.922	21378.574	20214.111	21686.881	18580.797	34552.191	20518.992	18068.529	18202.057	16901.062	17998.344	17285.561	17809.934	17140.836	18658.062	22015.166	18199.732	26754.688	18683.475	18938.164	21431.832	21597.373	18229.928	17930.264	16802.467	16971.107	20769.461	16890.52	17758.508
1.6011	21823.859	18095.957	27638.248	21329.684	21070.484	23807.902	19186.109	18150.73	22664.818	16788.613	21611.596	20743.902	19081.322	20906.039	19413.369	32756.414	20947.078	18760.602	19017.74	16787.783	17411.703	16913.146	17711.072	17465.549	18770.041	20866.041	17687.953	27046.418	18456.52	18458.734	21116.1	19185.014	18146.062	17956.611	16206.418	15930.297	20278.113	16845.193	18879.725
1.7345	18926.332	16292.464	25005.559	20183.717	20173.174	21453.178	19098.65	18228.201	22625.916	16176.064	20856.084	19459.049	20296.801	20314.834	20925.965	29414.281	20168.053	20011.926	17948.244	15921.743	16818.729	16531.078	18192.135	16517.504	18190.881	20027.021	18409.646	26114.129	19168.617	18100.074	20430.322	16404.035	17119.473	17039.74	15539.628	15540.735	19381.859	17542.633	19310.758
1.8679	16620.84	16838.59	22569.457	19409.961	19235.387	20976.754	20004.461	16741.932	21596.865	17072.213	20389.006	17639.201	18856.111	19416.355	22757.219	28577.432	18933.297	18897.172	17096.389	14960.412	18113.713	16130.014	18341.34	15803.05	17027.441	19493.246	17646.383	24405.164	18844.281	18919.281	21260.449	16647.332	16903.719	16781.48	15777.89	15413.801	19584.891	15973.736	19739.846
2.0013	15036.611	17223.697	21598.477	18556.684	20540.117	21637.875	22203.24	15954.117	21576.256	16586.861	18383.334	17872.164	17540.938	19304.227	19866.23	27071.822	17007.305	17879.254	16470.418	14271.68	18553.301	16514.498	18905.055	16216.286	16296.248	18137.957	17073.16	21917.879	19466.439	19168.689	20953.545	19451.002	16510.273	16352.419	14978.86	15602.229	19840.129	15294.47	18193.283
2.1348	15253.483	17364.508	20714.602	17933.084	18902.883	22953.457	22865.049	15733.423	21711.209	15797.396	16800.703	17910.721	17319.809	19584.68	17502.693	24130.082	17185.16	18134.07	15192.498	14266.831	16766.244	16801.771	16410.416	16369.348	15632.535	16997.949	17941.656	18707.436	20243.291	19802.199	19212.332	21945.457	15811.542	15780.83	14273.764	16277.776	18528.48	16084.692	19226.584
2.2682	15422.913	16682.812	18944.484	17321.924	16775.254	25874.049	23239.652	15398.86	21384.062	15432.873	16352.606	18440.605	19194.689	18791.355	15978.419	20876.152	19025.904	17418.301	14323.774	15256.615	14946.161	17085.762	15905.974	15412.571	16813.572	16876.191	18449.547	17767.031	19328.008	20540.318	20689.99	22103.072	15290.639	15128.074	14693.776	16038.935	17827.717	14791.925	19228.918
2.4016	15905.139	16550.865	17956.918	17373.34	15232.975	26478.775	20631.77	14414.912	22257.146	14733.197	17980.947	18893.51	20386.777	16114.217	16065.379	18487.092	19235.064	18729.855	15428.286	15966.459	14322.028	17139.195	16352.735	15460.715	17444.205	16835.254	18565.496	17695.379	19379.395	18834.953	20122.34	21195.283	15565.734	15657.288	13644.135	15777.663	17124.096	15211.418	18940.756
2.535	16521.529	16980.045	17473.412	17531.988	14096.196	22336.289	17995.057	13925.382	21597.285	14418.873	18028.625	18223.293	20559.049	15880.17	15127.061	18559.223	18932.287	21531.113	16001.07	16529.008	14117.353	17327.303	15366.187	15972.987	18878.225	16495.424	19136.496	16502.416	20238.537	19136.318	19516.551	19400.955	18271.35	18083.121	13992.764	16539.107	16150.858	14005.233	18140.326
2.6684	17080.156	18585.963	17204.289	16897.668	14062.262	19476.582	16963.725	13860.545	19285.578	13540.242	17897.51	20975.666	18413.912	15087.85	14140.073	19136.551	18570.918	22343.936	14934.698	15931.152	13815.576	17770.062	14816.686	16108.439	19475.598	17984.488	19402.139	15710.058	19047.377	20580.627	19918.318	20668.336	17469.574	17587.238	13319.269	16263.748	16293.448	13264.479	16981.166
2.8019	16690.525	18503.924	17811.488	15661.725	13633.641	17739.152	16425.754	13728.074	17859.104	13807.488	17555.828	22991.633	18293.016	14251.06	14400.916	20076.025	18697.203	19164.648	14398.97	15921.648	13116.215	17035.924	15547.949	15144.104	20697.564	18095.895	20726.715	15653.065	17586.533	21249.232	20692.357	20944.242	15854.272	15991.039	12632.456	14506.207	15886.518	14159.672	16336.017
2.9353	16585.219	20208.242	17709.99	15677.797	13711.691	18084.953	14724.148	14974.059	17939.984	14342.289	17326.217	28614.031	17742.205	13836.743	14989.344	19408.195	16812.594	16329.457	14369.815	17750.887	13366.534	17809.648	16385.912	14665.977	20066.816	19139.801	21599.279	16100.172	15271.091	23171.945	21992.883	18427.199	14494.087	14340.554	12461.698	13332.223	15638.515	13864.488	15350.656
3.0687	16850.102	19785.879	16963.932	16599.652	13494.251	17269.574	14057.374	14488.322	17502.863	13842.892	17309.188	32549.979	17274.15	14288.51	13241.763	16521.23	16354.582	14700.023	14187.26	18231.975	13386.202	18728.391	16942.861	15286.989	17504.676	20757.975	20743.822	16131.665	14471.051	22304.41	21622.816	18635.357	14104.051	14169.762	12144.727	13821.16	14463.047	13709.955	15139.871
